d92a55db880d42ec15d0462ba6238f4d707fce77973b83f9c3660d60edad9665,0addf0c4f45fcbd7d04a6154d9b2d28ff74dc2e54b341ceb76134df5df9ae458,21ef40308d4c4e65e9d19cdfa65154494c746cae482d1bbc2ff8fb899075fcef,3403e8943ee08b9370093560313d39603f3234658247601efc4b3d2d20866724,06941f58caa94c0c63cb68558fba4b89159eaad2c4360620eae614d947a73d56,f3f5eec4bc71287c1bedead1ce47eb03bf2df82cb3f89f0e1a434cdbed273a7c,eddcd92628bf86d1c143f8a628fbe4fa8a3b59eeaaa4d6d1288fe7d908d74046,d51bbee678ad9c77dc1b3b3a8d8a53059bfc645ed285672cd739b01a842cea10,49a81d6fda0d52a65df328f7bbb06f9f2cad1d979a6855677c4838f0486ecec8,91776cf2f29938e395b40e82b68a159de40f6d7dbab7c1acc966b3297dd74570,6d7cd54c6e7aca6e8bd61e565e3a4e8b75caa2651d1db0aeccb3e9081f19512c
"1001","-216","1","5","idle_normal","1","1","1","1.4","-103","100"
"1002","-140","","31","","13","1","13","0","1","-57"
"1003","-140","","31","","14","1","14","0","1","-57"
"1004","","","91","","0","1","0","","",""
"1005","top_luis_arm_crossed_idle","0","3","","top_luis_arm_crossed_in","1","1","0.2","1","0"
"1006","","","93","","0","1","4","","",""
"1007","top_luis_approach_idle","0","3","","top_luis_approach_in","1","1","0.2","1","0"
"1008","","","93","","0","1","3.5","","",""
"1009","","","3","","top_luis_thinking","1","1","0.2","","1"
"1010","","","93","","0","1","3.5","","",""
"1011","","","3","","top_luis_walk_think","1","1","0.2","","1"
"1012","2","","2","","-495","1","1","","0","-103"
"1013","","","93","","0","1","2","","",""
"1014","","","4","","0","1","1","","",""
"1015","2","","2","","-216","1","1","","0","-103"
"1016","","","93","","0","1","2","","",""
"1017","","","3","","top_luis_notice","1","1","0","","1"
"1018","","","93","","0","1","1","","",""
"1019","","","3","","top_luis_walk_jog","1","1","0.2","","1"
"1020","0.5","","2","","-100","1","1","","0","-130"
"1021","","","93","","0","1","0.5","","",""
"1022","","","4","","1","1","1","","",""
"1023","top_luis_sit_idle","0","3","","top_luis_sit_in","1","1","0.2","1","0"
"1024","","","93","","0","1","0.1","","",""
"1025","0.4","","2","","-57","1","1","","0","-140"
"1026","","","93","","0","1","1","","",""
"1027","","","3","","top_luis_experiment_failer_in","1","1","0.2","","0"
"1028","","","93","","0","1","2.3","","",""
"1029","","","3","","top_luis_experiment_failer_mix","1","1","0.1","","0"
"1030","","","93","","0","1","2.7","","",""
"1031","","","32","","1","1","13","","",""
"1032","","","3","","top_luis_experiment_failer_burst","1","1","0.1","","0"
"1033","","","93","","0","1","2.7","","",""
"1034","","","3","","top_luis_experiment_failer_out","1","1","0.1","","0"
"1035","","","93","","0","1","1.1","","",""
"1036","idle_normal","0","3","","top_luis_sit_out","1","1","0.2","1","0"
"1037","0.3","","2","","-100","1","1","","0","-130"
"1038","","","93","","0","1","1","","",""
"1039","","","3","","walk_normal","1","1","0.2","","0"
"1040","1","","2","","-216","1","1","","0","-103"
"1041","","","93","","0","1","1","","",""
"1042","","","3","","idle_normal","1","1","0.1","","0"
"1043","","","93","","0","1","0.8","","",""
"1044","","","32","","0","1","13","","",""
"1045","top_luis_arm_crossed_idle","0","3","","top_luis_arm_crossed_in","1","1","0.2","1","0"
"1046","","","93","","0","1","4","","",""
"1047","top_luis_approach_idle","0","3","","top_luis_approach_in","1","1","0.2","1","0"
"1048","","","93","","0","1","3.5","","",""
"1049","","","3","","top_luis_thinking","1","1","0.2","","1"
"1050","","","93","","0","1","3.5","","",""
"1051","","","3","","top_luis_walk_think","1","1","0.2","","1"
"1052","2","","2","","-495","1","1","","0","-103"
