52f19e0082a2a758bfdcd3e49465ea5f39f60cbc957e26f829ed96b2816bab55,1c88d0085d8b630fa76a8a083423cc6c586c7ed75b71ead1dcc2a659d82ccd13,460cc9eeced767e1c1e37fcd61f6d35c467e448b8a6b47f336a712d3a71347ea,54a29cc5d1434d90b3a2f2812f8484c39148ac91cd819025b27d248cb4aa345e,61ee59993b25bdd275e9c39096644879bebef562fd2b050b637e57c3b882e990,1d770c2991c21e5a88970ea1a41dad8eaa1dfb759820c24d0d682fcdc97ef203,2400b81c76d669aca99ab481c095a6b5003895114607fd8cba6ff53d9c3e2a76,b142e9e0b372f764e94ba911c088de16da438e04b5ecfae857b1a68df11d8c99
"20000","96001","2","1","1","1","1","21952"
"10000","96001","2","2","1","1","1","21904"
"10000","96001","2","3","1","1","1","41000"
"2000","96001","2","4","1","5","5","31803"
"1500","96001","2","5","1","5","5","31215"
"1500","96001","2","6","1","5","5","31210"
"1500","96001","2","7","1","5","5","31211"
"1250","96001","2","8","1","5","10","90005"
"500","96001","4","9","1","10","20","140001"
"500","96001","2","10","1","5","10","25001"
"100","96001","4","11","1","5","5","150003"
"130","96001","4","12","1","5","5","150004"
"150","96001","4","13","1","5","5","150005"
"180","96001","4","14","1","5","5","150006"
"200","96001","4","15","1","5","5","150007"
"230","96001","4","16","1","5","5","150008"
"500","96001","2","17","1","100","5","20004"
"200","96001","2","18","1","100","5","22003"
"1000","96001","2","19","1","100","0","20004"
"400","96001","2","20","1","100","0","22003"
"20000","96002","2","21","2","1","1","21952"
"10000","96002","2","22","2","1","1","21904"
"10000","96002","2","23","2","1","1","41000"
"1500","96002","2","24","2","5","5","31233"
"1500","96002","2","25","2","5","5","31229"
"1500","96002","2","26","2","5","5","31225"
"1250","96002","2","27","2","5","10","90005"
"500","96002","4","28","2","10","20","140001"
"500","96002","2","29","2","5","10","25001"
"100","96002","4","30","2","5","5","150003"
"130","96002","4","31","2","5","5","150004"
"150","96002","4","32","2","5","5","150005"
"180","96002","4","33","2","5","5","150006"
"200","96002","4","34","2","5","5","150007"
"230","96002","4","35","2","5","5","150008"
"500","96002","2","36","2","100","5","20004"
"200","96002","2","37","2","100","5","22003"
"1000","96002","2","38","2","100","0","20004"
"400","96002","2","39","2","100","0","22003"
"20000","96003","2","40","3","1","1","21952"
"10000","96003","2","41","3","1","1","21905"
"10000","96003","2","42","3","1","1","41000"
"2000","96003","2","43","3","5","5","31805"
"1500","96003","2","44","3","5","5","31240"
"1500","96003","2","45","3","5","5","31238"
"1500","96003","2","46","3","5","5","31236"
"2500","96003","2","47","3","10","5","90005"
"2500","96003","4","48","3","50","5","140001"
"500","96003","2","49","3","5","5","25001"
"500","96003","4","50","3","30","5","150003"
"650","96003","4","51","3","30","5","150004"
"750","96003","4","52","3","30","5","150005"
"900","96003","4","53","3","30","5","150006"
"1000","96003","4","54","3","30","5","150007"
"1150","96003","4","55","3","30","5","150008"
"2500","96003","2","56","3","500","5","20004"
"1000","96003","2","57","3","500","5","22003"
"1000","96003","2","58","3","100","0","20004"
"400","96003","2","59","3","100","0","22003"
"20000","96004","2","60","4","1","1","21952"
"10000","96004","2","61","4","1","1","21905"
"10000","96004","2","62","4","1","2","41000"
"2000","96004","2","63","4","5","5","31807"
"1500","96004","2","64","4","5","5","31245"
"1500","96004","2","65","4","5","5","31248"
"1500","96004","2","66","4","5","5","31250"
"1500","96004","2","67","4","5","5","31091"
