4aeb2fff2fca9abc74af2a4c5be4f33bc6f2545e173ae20637b9e436a50fbf4f,acfd8786b137cc9cc4cb0ac89b855e1260dc83ebd1dcc31b2b38ae9c2d195f78,934fba0abb1bf23ead8433cc09b06763b19cfce9feda2d52f25786d7a514f68b,3b59f3e52c434a73eded8107f4d3de64dc49873f9aa0ae025ea9f9d548b4b80c,9191ba644ea5543d2c3111df3ceb65aa20a900ff13082bb0d43e05d717f59b63
"135","1","1","1","300"
"425","1","2","1","-100"
"-100","1","3","2","125"
"375","1","4","2","-415"
"25","1","5","3","-50"
"-25","1","6","3","-300"
"-195","1","7","4","-335"
"105","1","8","4","-415"
"135","1","9","5","-160"
"345","1","10","6","-40"
"-230","1","11","7","90"
"230","1","12","8","-420"
"30","1","13","9","250"
"280","1","14","10","-245"
"-150","1","15","11","-110"
