81743d03c50a704bf5feb211df9ed03459d534de8747ba9482cbe1a07388b0fc,b922a964e4d931be28f10a0a109cf58a66a4308aec31f12886743eb1dafe9ab1,74e1c7ac4d415724ac3118cd70bd134009bc83fd94d4f798667896ffd8d93c64,2d004a337506953bd915c4b1e2983202b4378254f9a661c1749ffc8e518b9859,76a9de876e28b9d8041c545c64549c0c174517c758d943fac4b2e7db7a1df128,6624e2dffe8bddc7fe37b5bbfe9507118a26a6a8cfe01494a7dc6bee27a737f9,2434a44b11d3dac731cbc4be79f90977143028f540e4062e812eda9cb839a250,dc36d9df29e1cc9e21d2a3585737c25eb5a49024452eec38e79ca8abc3120848,1d29d1591bd140a8ae70aa2503b743617ccd0a6da9dfbf69434c5c43189fbe85,9b0396a3f46205a2a30b0a0f757b1b43e36a292ad2248a1e59a97da236e21a21,41f178898c6f760ce3cf58fee65ce0638ac20224611527163e6b01f92b812442,b981f3ced1e0740658fc58ff443c25ef4e3e128b87468b9cafecd7d83f8db946,58f395e2762cf06b6a8bc0e90f63b77cef5137fbcda5e4cd6b2f5dfe44ac9d43,b21be65297e3ef1cfd12f47c3adea3258a69fcb20bd2359cf8ef072b48039715,0622bf5d0ff1e0ce60c0b5cf1b1994b2115d4b76d84a53ef4279b0074c4a2484,e4219d94e4fa632497e183df5e66875b36c21858a615074e8cd722e0a19dddec,f216d56490345718c3076a3bc0734eab064c963d6e145ea3b3a4e38cf31c12bb
"4101401","4104401","108","11001001","7200","1","43200","4201401","スィオネ\n樹林","4101351","-470","11001","10","1","4104351","100000","11001001"
"4106401","4110401","90","11001002","7200","2","43200","4203401","ヘリケ巨木","4106351","-235","11001","10","1","4110351","100000","11001002"
"4102401","4105401","108","11001003","7200","3","43200","4201401","イオカステ\n岩山","4102351","0","11001","10","1","4105351","100000","11001003"
"4108401","4109401","90","11001004","7200","4","43200","4203401","ハルパリ\n大滝","4108351","235","11001","10","1","4109351","100000","11001004"
"4103401","4107401","108","11001005","7200","5","43200","4201401","ムネメー川","4103351","470","11001","10","1","4107351","100000","11001005"
"4104401","4201401","108","11002001","7200","6","43200","4301401","アルバ浜堤","4301351","-470","11002","10","1","4101401","100000","11002003"
"4110401","4203401","90","11002002","7200","7","43200","4305401","サダルスド\n砂浜","4305351","-235","11002","10","1","4106401","100000","11002002"
"4105401","4201401","108","11002003","7200","8","43200","4302401","ダルリク\n巨岩","4302351","0","11002","10","1","4102401","100000","11002001"
"4109401","4203401","90","11002004","7200","9","43200","4304401","アンカル川","4304351","235","11002","10","1","4108401","100000","11001005"
"4107401","4201401","108","11002005","7200","10","43200","4303401","ダクビア\n森林","4303351","470","11002","10","1","4103401","100000","11001001"
"4101401","4104401","108","11003001","7200","11","43200","4109401","ミーマス\n洞穴","4201351","-470","11003","10","1","4201401","100000","11003001"
"4108401","4102401","90","11003002","7200","11","43200","4110401","レアント川","4202351","-155","11003","10","1","4202401","100000","11003002"
"4103401","4105401","108","11003003","7200","11","43200","4109401","ケランド\n廃墟","4203351","160","11003","10","1","4203401","100000","11003003"
"4106401","4107401","90","11003004","7200","11","43200","4110401","デオネカ\n氷海","4204351","470","11003","10","1","4204401","100000","11003004"
