2223d207f5794543fb7e9ff85516171dde22bc6e19bc3d51ba9d5427ec25a22f,2bcee003f10a45f806d6d85b2dfe1ce90874212bc917dbaa9fc930dc9b010695,576a39272fc37a4df4e1d07c79e3a85e4c20b655440df1d33c68bc0513630d12,db1177cb3cf238984b4e0f3823b35c4fe9b1e3709adc65cf47298b5586d11312,44ea3d00d9b9f8722a3e0a1408e0421d21ff9ec942ed4ba8ee723c9e1cc8bb5e,75c0adbc31732d613dd63126ca14e0c3b5c988c759050c3b069e1d00c01fbeaf,5b5100f8c2cf139c14e1b46b8602ade98f0bb073f5166404ae046e792808ad45,831706b87ca5ee4bb0540a1db2890e5738ed90afe7ba435b62464cb68be784c7,bf719e53b3fcf0a7918830cce504eaf147ce60fa1b20bc7cbb839103081c8aa5,18213c49fd08363738a3ab93c75b542a7ec0277089c99ad305f8e016588e98fc,aed014d1699cb80e019d00e2a30306bad1dc5382a29259b8494d6bfcfd5b6c23,826d1a1472e1f4137c79e20e9e7c1ab4e103e10c3d726dfd45486d2009f62083,68ed6d5faa8f82b03517db4b6d24306b0d96cbc3e38eb5f82509083bba3ae7f6
"","31001_01","3100101","","29","","","","","","1","",""
"","31001_03","3100101","","59","","","","","","30","",""
"","31001_05","3100101","","-1","","","","","","60","",""
"","31001_01","3100102","","29","","","","31001_01","","1","",""
"","31001_03","3100102","","59","","","","31001_03","","30","",""
"","31001_05","3100102","","-1","","","","31001_05","","60","",""
"","31001_01","3100103","","29","","","","31001_01","","1","","31001_01"
"","31001_03","3100103","","59","","","","31001_03","","30","","31001_03"
"","31001_05","3100103","","-1","","","","31001_05","","60","","31001_05"
"","31001_01","3100104","","29","","","","31001_01","31001_01","1","","31001_01"
"","31001_03","3100104","","59","","","","31001_03","31001_03","30","","31001_03"
"","31001_05","3100104","","-1","","","","31001_05","31001_05","60","","31001_05"
"","61003_01","3100201","","29","","","","61003_02","","1","",""
"","61003_03","3100201","","49","","","","61003_04","","30","",""
"","61003_05","3100201","","79","","","","61003_06","","50","",""
"","61003_07","3100201","","99","","","","61003_08","","80","",""
"","61003_09","3100201","","109","","","","61003_10","","100","",""
"","61003_11","3100201","","119","","","","61003_12","","110","",""
"","61003_13","3100201","","129","","","","61003_14","","120","",""
"","61003_15","3100201","","139","","","","61003_16","","130","",""
"","61003_17","3100201","","149","","","","61003_18","","140","",""
"","61003_19","3100201","","159","","","","61003_20","","150","",""
"","61003_21","3100201","","169","","","","61003_22","","160","",""
"","61003_23","3100201","","179","","","","61003_24","","170","",""
"","61003_25","3100201","","189","","","","61003_26","","180","",""
"","61003_27","3100201","","199","","","","61003_28","","190","",""
"","61003_29","3100201","","209","","","","61003_30","","200","",""
"","61003_31","3100201","","219","","","","61003_32","","210","",""
"","61003_33","3100201","","229","","","","61003_34","","220","",""
"","61003_35","3100201","","239","","","","61003_36","","230","",""
"","61003_37","3100201","","249","","","","61003_38","","240","",""
"","61003_39","3100201","","259","","","","61003_40","","250","",""
"","61003_41","3100201","","269","","","","61003_42","","260","",""
"","61003_43","3100201","","279","","","","61003_44","","270","",""
"","61003_45","3100201","","289","","","","61003_46","","280","",""
"","61003_47","3100201","","299","","","","61003_48","","290","",""
"","61003_49","3100201","","309","","","","61003_50","","300","",""
"","61003_51","3100201","","319","","","","61003_52","","310","",""
"","61003_53","3100201","","-1","","","","61003_54","","320","",""
