02136f52a814c3331f9759994da0eb72bbad268af8ace0e1117823d73e382373,99928a31a3e5d5e956eff7cabcdf7e9b89f772815fccef689488d56b68ec4ce6,105640d40ae91137e701397d13869c16bc6ed7ed19658c640e47b8d54c4f5a82,e0d2495ac67d26c4de8a8e8e22b0111c45c4b5ee602af759bebf38122c3de882,795c7584fd4df2d91bc0bcfed7763e6cd1c9513e77fa2e1f2d97b78fe2d8434b,ac3848773e98ae2511e0629d30adef8f3af4bb1ba798db5691b2405d7600e05b,940186537e879ec30ef95c5835522159056784d8f2163c4d7632f42f66ab76a9
"10201101","2025/01/31 12:00:00","10201","1","5201401","10201101","0"
"10201151","2025/02/06 12:00:00","10201","1","5201402","10201102","0"
"23","2025/01/31 12:00:00","10201","2","5201411","10201201","5201010"
"0","2025/02/06 12:00:00","10201","3","5201601","10201401","0"
"10202101","2025/02/28 12:00:00","10202","1","5202401","10202101","0"
"23","2025/02/28 12:00:00","10202","2","5202411","10202201","0"
"10203101","2025/03/31 12:00:00","10203","1","5203401","10203101","0"
"23","2025/03/31 12:00:00","10203","2","5203411","10203201","5203007"
"10204101","2025/04/30 12:00:00","10204","1","5204401","10204101","0"
"23","2025/04/30 12:00:00","10204","2","5204411","10204201","5204006"
"10205101","2025/05/31 12:00:00","10205","1","5205401","10205101","0"
"23","2025/05/31 12:00:00","10205","2","5205411","10205201","0"
"10206101","2025/06/30 12:00:00","10206","1","5206401","10206101","0"
"23","2025/06/30 12:00:00","10206","2","5206411","10206201","5206007"
"10207101","2025/07/31 12:00:00","10207","1","5207401","10207101","0"
"23","2025/07/31 12:00:00","10207","2","5207411","10207201","5207007"
