c1c6f098e489e887dee280061fb0c14d97aca97c1624bf7016b71244151e7f7b,189e4c7af2ede3b3f955da0b76a5e7e0c2ef3107b6073c31a27d68847b7bee11,be9098e380327a959faf70b61b70b4fe506e1feb847bd266dac38fbb74d1fd26,a0c4b13f9c1fafadd42702c65fcd67ea60259a243fc3025cf7b98074a6e1b016,277e1f4517f883ca1fdc023b8ce59bb84d9e43db4ee4a67ad06c23365ebab36b,5af791727b35c54a67f8d99079cdc1cb43dfc8e5bc0815f41f5ba888e95d0615,b7fc60c709e1e5fc027b62ab41c56eefd5a1e6c7603577a316007af21d1b9c60,732eb8de8d329ff7ec3d9b0160b8eab28894724c98ce85827b8cc46eeaf71e6f,e7aa2acd8731caa4cbec8eea6f78f0b3a16980302454a558b43dc27929f072e9,f06b8dc3e01a559baf4c071a5befbb6f0cab248fb437f146141828db11de0a7c
"10001","0","0","0","0","0","0","0","2018/01/01 15:00:00","2019/02/15 14:59:59"
"10002","1001","1001","1001","1","1","0","0","2019/02/15 15:00:00","2019/02/28 11:59:59"
"10003","0","1001","0","1","1","0","0","2019/02/28 12:00:00","2020/02/15 14:59:59"
"10004","1002","1001","1002","1","1","1002","0","2020/02/15 15:00:00","2020/02/29 11:59:59"
"10005","1002","1002","1002","2","2","1002","2015009","2020/02/15 15:00:00","2020/02/29 11:59:59"
"10006","0","1001","0","1","1","0","0","2020/02/29 12:00:00","2020/08/15 14:59:59"
"10007","0","1002","0","2","2","0","2015009","2020/02/29 12:00:00","2020/08/15 14:59:59"
"10008","0","1001","0","1","1","1003","0","2020/08/15 15:00:00","2020/08/31 11:59:59"
"10009","0","1002","0","2","2","1003","2015009","2020/08/15 15:00:00","2020/08/31 11:59:59"
"10010","0","1001","0","1","1","0","0","2020/08/31 12:00:00","2021/02/15 14:59:59"
"10011","0","1002","0","2","2","0","2015009","2020/08/31 12:00:00","2021/02/15 14:59:59"
"10012","1003","1001","1003","1","1","1004","0","2021/02/15 15:00:00","2021/02/28 11:59:59"
"10013","1003","1002","1003","2","2","1004","2015009","2021/02/15 15:00:00","2021/02/28 11:59:59"
"10014","0","1001","0","1","1","0","0","2021/02/28 12:00:00","2021/08/15 14:59:59"
"10015","0","1002","0","2","2","0","2015009","2021/02/28 12:00:00","2021/08/15 14:59:59"
"10016","0","1001","0","1","1","1005","0","2021/08/15 15:00:00","2021/08/31 11:59:59"
"10017","0","1002","0","2","2","1005","2015009","2021/08/15 15:00:00","2021/08/31 11:59:59"
"10018","0","1001","0","1","1","0","0","2021/08/31 12:00:00","2030/02/15 14:59:59"
"10019","0","1002","0","2","2","0","2015009","2021/08/31 12:00:00","2030/02/15 14:59:59"
"10020","1004","1001","1004","1","1","1006","0","2022/02/15 15:00:00","2022/02/28 11:59:59"
"10021","1004","1002","1004","2","2","1006","2015009","2022/02/15 15:00:00","2022/02/28 11:59:59"
"10022","0","1001","0","1","1","0","0","2022/02/28 12:00:00","2022/08/15 14:59:59"
"10023","0","1002","0","2","2","0","2015009","2022/02/28 12:00:00","2022/08/15 14:59:59"
"10024","0","1001","0","1","1","1007","0","2022/08/15 15:00:00","2022/08/31 11:59:59"
"10025","0","1002","0","2","2","1007","2015009","2022/08/15 15:00:00","2022/08/31 11:59:59"
"10026","0","1001","0","1","1","0","0","2022/08/31 12:00:00","2023/02/15 14:59:59"
"10027","0","1002","0","2","2","0","2015009","2022/08/31 12:00:00","2023/02/15 14:59:59"
"10028","1005","1001","1005","1","1","1008","0","2023/02/15 15:00:00","2023/02/28 11:59:59"
"10029","1005","1002","1005","2","2","1008","2015009","2023/02/15 15:00:00","2023/02/28 11:59:59"
"10030","0","1001","0","1","1","0","0","2023/02/28 12:00:00","2023/08/15 14:59:59"
"10031","0","1002","0","2","2","0","2015009","2023/02/28 12:00:00","2023/08/15 14:59:59"
"10032","0","1003","0","3","2","0","2201005","2023/03/15 12:00:00","2023/08/15 14:59:59"
"10033","0","1001","0","1","1","1009","0","2023/08/15 15:00:00","2023/08/31 11:59:59"
"10034","0","1002","0","2","2","1009","2015009","2023/08/15 15:00:00","2023/08/31 11:59:59"
"10035","0","1001","0","1","1","0","0","2023/08/31 12:00:00","2024/02/14 23:59:59"
"10036","0","1002","0","2","2","0","2015009","2023/08/31 12:00:00","2024/02/14 23:59:59"
"10037","0","1003","0","3","2","1009","2201005","2023/08/15 15:00:00","2023/08/31 11:59:59"
"10038","0","1003","0","3","3","0","2201005","2023/08/31 12:00:00","2024/02/14 23:59:59"
"10039","1006","1001","1006","1","1","1010","0","2024/02/15","2024/02/29 11:59:59"
"10040","1006","1002","1006","2","2","1010","2015009","2024/02/15","2024/02/29 11:59:59"
"10041","0","1001","0","1","1","0","0","2024/02/29 12:00:00","2024/08/15 14:59:59"
"10042","0","1002","0","2","2","0","2015009","2024/02/29 12:00:00","2024/08/15 14:59:59"
"10043","1006","1003","1006","3","3","1010","2201005","2024/02/15","2024/02/29 11:59:59"
"10044","0","1003","0","3","3","0","2201005","2024/02/29 12:00:00","2024/08/15 14:59:59"
