53f8bc6a4fa715166476a11d4bca6773a7cd569e2708231b57af4662b488c821,8ad89f2a3f5bcb28fa77f6ef0c62a17204c273b9717e053af32dabce034adebb,88ab9b51d6ef15ecf5711d40c289608d9ed5979eec32ac63b31f4800e4595aac,2816eed97de11cc0b437f06d431ccec1d01cbcaa009fa359ab4d857ff281bf5e,e93f44cce6467076bedc34af583d4795291b652303312f1941cf70bfcba7f31f
"81000104","bgm_M125","70","1","0"
"81000104","bgm_M125","110","2","0"
"81000104","bgm_M125","130","3","0"
"81000104","bgm_M125","150","4","0"
"81000104","bgm_M125","170","5","0"
"81000104","bgm_M125","190","6","0"
"81000104","bgm_M125","210","7","0"
"81000104","bgm_M125","230","8","0"
"81000104","bgm_M125","250","9","0"
"81000104","bgm_M125","270","10","0"
"81000104","bgm_M125","290","11","0"
"81000104","bgm_M125","310","12","0"
"81000104","bgm_M125","330","13","0"
"81000104","bgm_M125","350","14","73140350"
"81000104","bgm_M125","360","15","73150360"
"81000104","bgm_M125","370","16","73160370"
"81000104","bgm_M125","380","17","73170380"
"81000104","bgm_M125","390","18","73180390"
"81000104","bgm_M125","400","19","73190400"
"81000104","bgm_M125","410","20","73200410"
"81000104","bgm_M125","420","21","73210420"
"81000104","bgm_M125","430","22","73220430"
"81000104","bgm_M125","440","23","73230440"
"81000104","bgm_M125","450","24","73240450"
"81000104","bgm_M125","460","25","73250460"
"81000104","bgm_M125","470","26","73260470"
"81000104","bgm_M125","480","27","73270480"
"81000104","bgm_M125","490","28","73280490"
"81000104","bgm_M125","500","29","73290500"
"81000104","bgm_M125","510","30","73300510"
"81000104","bgm_M125","520","31","73310520"
"81000104","bgm_M125","530","32","73320530"
"81000104","bgm_M125","540","33","73330540"
"81000104","bgm_M125","550","34","73340550"
"81000104","bgm_M125","560","35","73350560"
"81000104","bgm_M125","570","36","73360570"
"81000104","bgm_M125","580","37","73370580"
"81000104","bgm_M125","590","38","73380590"
"81000104","bgm_M125","600","39","73390600"
"81000104","bgm_M125","610","40","73400610"
"81000104","bgm_M125","620","41","73410620"
"81000104","bgm_M125","630","42","73420630"
"81000104","bgm_M125","640","43","73430640"
"81000104","bgm_M125","650","44","73440650"
"81000104","bgm_M125","660","45","73450660"
"81000104","bgm_M125","670","46","73460670"
"81000104","bgm_M125","680","47","73470680"
"81000104","bgm_M125","690","48","73480690"
"81000104","bgm_M125","700","49","73490700"
"81000104","bgm_M125","710","50","73500710"
"81000104","bgm_M125","720","51","73510720"
"81000104","bgm_M125","730","52","73520730"
"81000104","bgm_M125","740","53","73530740"
"81000104","bgm_M125","750","54","73540750"
