e1f91559023c9b8d3ba27a0d15925f4178d53356290a169b2cb985673d2d9c3a,5bed69c219db2b57007b6d27ad78f19b58d5126d915a32f60d5d439d4870d378,730e961502bcafe699f82ae26b238e9a052889b5addc85e1bfb330c2a89453e2,e64d33214478b4c337a979a582f72e22951f839571efec102e7d4bd6f5965484,88f60b99f7b0a06cde1074574425d04458443f62346d15ae5064e5be33cbf2d0,81c62e4ecca60579874aebb2a52aece7c0e66ba49080b4c2a03d446cd38b7804,593ceded1a7192509850f45555d10d28d223a9c92e28143a5f9e72d9cacb988e,bfab4020fe1e6004ac0f7223fe1778edf5b92194d2041b20f0d49a29efbcf1f4,97dc9bd3e78d048b8b9f4901332f425fae707bfcf70d0f2ce577597eb379b19d,a1a66fdc316f32b4c21693e5c88ef2a3f29dd9c80ab53abd345e82efb069be0d,1b3e888eb51acb80ccee24eccb1bfc84a366d3f2bfe041148f1f4d9f4236a936
"31","2","1","8","281001001","10","25011","2","8","91002","25021"
"31","2","2","8","281001002","10","25011","2","8","91002","25021"
"32","2","3","8","281001003","10","25011","2","8","91002","25021"
"32","2","4","8","281001004","10","25011","2","8","91002","25021"
"33","2","5","8","281001005","10","25011","2","8","91002","25021"
"33","2","6","8","281001006","10","25011","2","9","91002","25021"
"34","2","7","8","281001007","10","25011","2","9","91002","25021"
"35","2","8","8","281001008","10","25011","2","9","91002","25021"
"35","2","9","8","281001009","10","25011","2","9","91002","25021"
"37","2","10","8","281001010","30","25011","2","10","91002","25021"
"41","2","11","8","281001011","10","25011","2","10","91002","25021"
"43","2","12","8","281001012","10","25011","2","11","91002","25021"
"46","2","13","8","281001013","10","25011","2","11","91002","25021"
"48","2","14","8","281001014","10","25011","2","12","91002","25021"
"50","2","15","8","281001015","10","25011","2","12","91002","25021"
"53","2","16","8","281001016","10","25011","2","13","91002","25021"
"55","2","17","8","281001017","10","25011","2","14","91002","25021"
"58","2","18","8","281001018","10","25011","2","14","91002","25021"
"60","2","19","8","281001019","10","25011","2","15","91002","25021"
"62","2","20","8","281001020","30","25011","2","15","91002","25021"
"68","2","21","8","281001021","10","25011","2","16","91002","25021"
"70","2","22","8","281001022","10","25011","2","16","91002","25021"
"72","2","23","8","281001023","10","25011","2","16","91002","25021"
"75","2","24","8","281001024","10","25011","2","17","91002","25021"
"77","2","25","8","281001025","10","25011","2","18","91002","25021"
"79","2","26","8","281001026","10","25011","2","18","91002","25021"
"82","2","27","8","281001027","10","25011","2","19","91002","25021"
"84","2","28","8","281001028","10","25011","2","19","91002","25021"
"86","2","29","8","281001029","10","25011","2","19","91002","25021"
"89","2","30","8","281001030","30","25011","2","20","91002","25021"
"94","2","31","8","281001031","10","25011","2","20","91002","25021"
"96","2","32","8","281001032","10","25011","2","21","91002","25021"
"99","2","33","8","281001033","10","25011","2","21","91002","25021"
"101","2","34","8","281001034","10","25011","2","22","91002","25021"
"103","2","35","8","281001035","10","25011","2","22","91002","25021"
"106","2","36","8","281001036","10","25011","2","23","91002","25021"
"108","2","37","8","281001037","10","25011","2","23","91002","25021"
"111","2","38","8","281001038","10","25011","2","24","91002","25021"
"113","2","39","8","281001039","10","25011","2","25","91002","25021"
"115","2","40","8","281001040","30","25011","2","25","91002","25021"
"121","2","41","8","281001041","10","25011","2","26","91002","25021"
"123","2","42","8","281001042","10","25011","2","27","91002","25021"
"125","2","43","8","281001043","10","25011","2","28","91002","25021"
"128","2","44","8","281001044","10","25011","2","28","91002","25021"
"130","2","45","8","281001045","10","25011","2","29","91002","25021"
"132","2","46","8","281001046","10","25011","2","30","91002","25021"
"135","2","47","8","281001047","10","25011","2","30","91002","25021"
"137","2","48","8","281001048","10","25011","2","31","91002","25021"
"139","2","49","8","281001049","10","25011","2","31","91002","25021"
"142","2","50","8","281001050","30","25011","2","31","91002","25021"
"144","2","51","8","281001051","10","25011","2","32","91002","25021"
"146","2","52","8","281001052","10","25011","2","32","91002","25021"
"149","2","53","8","281001053","10","25011","2","32","91002","25021"
"152","2","54","8","281001054","10","25011","2","33","91002","25021"
"155","2","55","8","281001055","10","25011","2","33","91002","25021"
"157","2","56","8","281001056","10","25011","2","33","91002","25021"
"160","2","57","8","281001057","10","25011","2","34","91002","25021"
"163","2","58","8","281001058","10","25011","2","34","91002","25021"
"166","2","59","8","281001059","10","25011","2","34","91002","25021"
"169","2","60","8","281001060","30","25011","2","35","91002","25021"
"171","2","61","8","281001061","10","25011","2","35","91002","25021"
"174","2","62","8","281001062","10","25011","2","35","91002","25021"
"177","2","63","8","281001063","10","25011","2","36","91002","25021"
"180","2","64","8","281001064","10","25011","2","36","91002","25021"
"182","2","65","8","281001065","10","25011","2","36","91002","25021"
"185","2","66","8","281001066","10","25011","2","37","91002","25021"
"187","2","67","8","281001067","10","25011","2","37","91002","25021"
"190","2","68","8","281001068","10","25011","2","37","91002","25021"
"193","2","69","8","281001069","10","25011","2","38","91002","25021"
"196","2","70","8","281001070","30","25011","2","38","91002","25021"
"200","2","71","8","281001071","10","25011","2","39","91002","25021"
"204","2","72","8","281001072","10","25011","2","39","91002","25021"
"208","2","73","8","281001073","10","25011","2","40","91002","25021"
"212","2","74","8","281001074","10","25011","2","40","91002","25021"
"216","2","75","8","281001075","10","25011","2","41","91002","25021"
"220","2","76","8","281001076","10","25011","2","41","91002","25021"
"224","2","77","8","281001077","10","25011","2","42","91002","25021"
"228","2","78","8","281001078","10","25011","2","42","91002","25021"
"232","2","79","8","281001079","10","25011","2","43","91002","25021"
"236","2","80","8","281001080","30","25011","2","43","91002","25021"
"240","2","81","8","281001081","10","25011","2","44","91002","25021"
"244","2","82","8","281001082","10","25011","2","44","91002","25021"
"248","2","83","8","281001083","10","25011","2","45","91002","25021"
"252","2","84","8","281001084","10","25011","2","45","91002","25021"
"256","2","85","8","281001085","10","25011","2","46","91002","25021"
"260","2","86","8","281001086","10","25011","2","46","91002","25021"
"264","2","87","8","281001087","10","25011","2","47","91002","25021"
"268","2","88","8","281001088","10","25011","2","47","91002","25021"
