b6f894805c0ca55028de2b174573734069352cd6df671953920744c72dd8b69e,75518ac4e9a89a184692cab884df7295702b5548e2e64789fa315baf10850f4b,85ac3e51409ff2e1011ad16101c54b77f858d58649eed23e833c31e3c3665fe8,754aeecafc5d99e682a5c32cd158a07ed3db93500b27af00b0f982e4f7efe9be,006c464231282c5c8ed51ebfb651933b59c05638c58e8768aca60ab435202e4a,903188cb11cc1a6604a6b460f8cba578e5f1a61bfcb2738d01b25f23546b8f0c,8b4803c3744dd56ed659e874fb1e5b3894c3ad71c70368dd4ad357d356c9cb87,7f0c30992b87d0c849b2f13a86fb81122bf6c79272e3f4e95ac5646549d5931f,9fbff0858fca3bc0c4cf65e7b58d561eef7183ac0ef8f83ab0815fcb6fe3e195,61cb568ed4292b6255ac26c7fdf43ac0ab95be5289099163b16390683771acc4,11f5ef47ddd3785bbcdb8b30105c7d07170dd08b0d6ce081ec1e9ab7e6833dc1,bf9a4fe0582ec7a977b939a2ddfa519a33adbb8cbbfabcc74ff05f967adde497,fd7aadd511cc8dddcd3b64d556453ad9186abf84032eb0036f3c7003cb8923d8,04bc3b74437c181971bc8c65e573c932039e4bd54fd09fe1e3e231101f5de859,6a6198ed4e6b610f712338d7bb92c8184a93c125515771ca0c039b07fae7ec4c,240ecf189f4fee21d56ebdab13177c3191b38614b6cf0feb7b269c83e78f11de,e64409e2b1d4fe78ef6f0591038b4cf3bf56bb8d9e2ed6e95e52701cf7556075,804de7e885c490a755f980b931ef86bf0d8587c3495e3e7197f0a697a7a3710f
"5","20","2","1","94002","1","12","8","2","0","0","150000","20003","91002","22003","5","150","0"
"9","15","2","6","94002","2","12","8","2","0","0","100000","20003","91002","22003","2","145","0"
"19","11","2","10","94002","3","12","8","2","0","0","80000","20003","91002","22002","5","140","0"
"29","10","2","20","94002","4","12","8","2","0","0","80000","20003","91002","22002","5","130","0"
"39","9","2","30","94002","5","12","8","2","0","0","70000","20003","91002","22002","4","120","0"
"49","8","2","40","94002","6","12","8","2","0","0","70000","20003","91002","22002","4","110","0"
"99","7","2","50","94002","7","12","8","2","0","0","60000","20003","91002","22002","3","100","0"
"499","2","2","100","94002","8","12","8","2","0","0","40000","20003","91002","22002","2","80","0"
"999","7","2","500","94002","9","12","8","2","0","0","20000","20002","91002","22002","1","50","0"
"4999","4","2","1000","94002","10","12","8","2","0","0","16000","20002","91002","22001","3","20","0"
"9999","3","2","5000","94002","11","12","8","2","0","0","9000","20002","91002","22001","2","15","0"
"11999","8","2","10000","94002","12","12","8","2","0","0","4000","20001","91002","22001","1","10","0"
"13999","7","2","12000","94002","13","12","8","2","0","0","3000","20001","91002","22001","1","5","0"
"14999","6","2","14000","94002","14","12","8","2","0","0","2000","20001","91002","22001","1","4","0"
"30000","5","2","15000","94002","15","12","8","2","0","0","1800","20001","91002","22001","1","3","0"
