c1a6c2daafe89f9646f30bde6c2d7bcad79f6c3081e9dfc47ff8ea6ee93cae01,309e10c55dc89780ab381a9d613901476578335bb6c649d417f7f811bdb917a1,6ac97ebab02cffdda05fa943b094c6f7e1c07d6f8aab3ed4e125e8e015eb535b,5099830951d5f293f7b09e21a10f44223ad6bcc368ae71eed5e3272cf58c98a3,670546cd15f5de3ec72a8c877a6678b4f84e561b52b00e2b20fad4d25836ec60
"12","94002","1001","8000000","1"
"2","90005","1001","40","2"
"12","94002","1002","8000000","3"
"2","90005","1002","50","4"
"12","94002","1003","8000000","5"
"2","90005","1003","60","6"
"12","94002","1004","8000000","7"
"2","90005","1004","70","8"
"8","91002","1005","150","9"
"12","94002","1005","8000000","10"
"2","90005","1005","80","11"
"12","94002","1006","8000000","12"
"2","90005","1006","90","13"
"8","91002","1007","300","14"
"12","94002","1007","8000000","15"
"2","90005","1007","100","16"
"12","94002","2001","8000000","17"
"12","94002","2002","8000000","18"
"12","94002","2003","8000000","19"
"12","94002","2004","8000000","20"
"12","94002","2005","8000000","21"
"12","94002","2006","8000000","22"
"12","94002","2007","8000000","23"
"12","94002","2008","8000000","24"
"12","94002","2009","8000000","25"
"12","94002","2010","8000000","26"
"12","94002","2011","8000000","27"
"12","94002","2012","8000000","28"
"12","94002","2013","8000000","29"
"12","94002","2014","8000000","30"
"12","94002","2015","8000000","31"
"12","94002","7001","8000000","32"
"2","90005","7001","5","33"
"12","94002","7002","8000000","34"
"2","90005","7002","5","35"
"12","94002","7003","8000000","36"
"2","90005","7003","5","37"
"12","94002","7004","8000000","38"
"2","90005","7004","10","39"
"12","94002","7005","8000000","40"
"2","90005","7005","10","41"
"12","94002","7006","8000000","42"
"2","90005","7006","10","43"
"12","94002","7007","8000000","44"
"2","90005","7007","15","45"
"12","94002","7008","8000000","46"
"2","90005","7008","15","47"
"12","94002","7009","8000000","48"
"2","90005","7009","15","49"
"12","94002","7010","8000000","50"
"2","90005","7010","20","51"
"12","94002","7011","8000000","52"
"2","90005","7011","20","53"
"12","94002","7012","8000000","54"
"2","90005","7012","20","55"
"12","94002","7013","8000000","56"
"2","90005","7013","25","57"
"12","94002","7014","8000000","58"
"2","90005","7014","25","59"
"12","94002","7015","8000000","60"
"2","90005","7015","25","61"
"12","94002","7016","8000000","62"
"2","90005","7016","30","63"
"12","94002","7017","8000000","64"
"2","90005","7017","30","65"
"12","94002","7018","8000000","66"
"2","90005","7018","30","67"
"12","94002","7019","8000000","68"
"2","90005","7019","35","69"
"12","94002","7020","8000000","70"
"2","90005","7020","35","71"
"12","94002","7021","8000000","72"
"2","90005","7021","35","73"
"12","94002","7022","8000000","74"
"2","90005","7022","40","75"
"12","94002","8001","8000000","76"
"2","90008","8001","1000","77"
"12","94002","8002","8000000","78"
"2","90008","8002","1250","79"
"12","94002","8003","8000000","80"
"2","90008","8003","1500","81"
"12","94002","8004","8000000","82"
"2","90008","8004","1750","83"
"12","94002","8005","8000000","84"
"2","90008","8005","2000","85"
"12","94002","8006","8000000","86"
"2","90008","8006","2250","87"
"12","94002","8007","8000000","88"
"2","90008","8007","2500","89"
