7481cf3b1dc7ca84bd669f8f5472fead4a990c7b07a2432f726060af7efd5fc4,0e5a81074a2eeaec43af6149521f06757700c7c22ef8b00547a2d3c0ff03e305,17d9171b66a91f0eba822af3375b51fee462893435588f388459a531dd2d4bd6,4f23705b3d37303ed744ee12facb24c7ea9d91c789dfa4c5d05797f4ec58415d,5cef61d265797a318805b2b4784bcf4a049e8e8fe1d2bde48cdbdb44d3d574da
"3","1","1","0","111011101"
"3","1","1","0","111021101"
"3","1","1","0","133011101"
"5","1","1","0","133011201"
"3","1","1","0","133020101"
"3","1","1","1","133020201"
"3","1","1","0","133030101"
"3","1","2","0","133030201"
"3","1","3","0","133030301"
"3","1","1","1","133030401"
"3","1","2","1","133030501"
"3","1","3","1","133030601"
"3","1","1","0","133040101"
"3","1","1","1","133040201"
"3","1","1","2","133040301"
"3","1","1","3","133040401"
"3","1","1","0","133051101"
"5","1","1","0","133051201"
"3","2","1","0","134010101"
"3","2","3","0","134010201"
"3","1","1","0","134021101"
"5","1","1","0","134021201"
"4","2","1","0","140010101"
"1","2","1","1","140010201"
"1","2","1","0","140010301"
"1","1","3","0","140020101"
