333501bf8976146b56ba3d202f3f1fb86d97133f11194f40be81561918685b18,8484ab82dd8f3dda8f7a49139b18961bb0ff18148f3220f2f59cc1934bf17c1e,3959d3117a07434732854bef80f84b53586d6acfb8328297c87404ab987be3b3,1db78eb842e75c1de4fdf17c59043e63ea87685088c44091cdaebd1c1e3c3877,e29cfa0f7e76219b22db4b69f75159020a2c20f927ee060b1015266cbd6bd42b,269f915f8be96db79ebeeebce29c7858a28c2eb8ebe98879c89b8df178784353,dc69c39554e8e124c1fd24fb2cd4034b2421dd7f5943925eefd4b8b66206e5e2,70006dcc7eeb9a42ea211ab3755052fcb7b1494331ef2e98a236638ce2eb3cd0,eaf4b0dcc0adc60b43312a10f090beff91f3420c69872360899827e240ec86f5,d0e36d407995d6559a4edc3caa596aa3c777fbb5ea786c9130c14e05e3883961,1b2a05f6af06784c7e06a2f4983f07b4d4b880a73d0a05ebfcb2499a2aee2dc4
"100111","bgm_MC294","1","bgm_MC294","1001","1001","78100111","１戦目","90","103624","78100111"
"100112","bgm_MC294","1","bgm_MC294","1001","1001","78100112","２戦目","90","103624","78100112"
"100113","bgm_MC294","1","bgm_MC294","1001","1001","78100113","３戦目","90","103624","78100113"
"100114","bgm_MC294","1","bgm_MC294","1001","1001","78100114","４戦目","90","103624","78100114"
"100115","bgm_MC295B","2","bgm_MC295B","1001","1001","78100115","５戦目","90","103624","78100115"
"100121","bgm_MC294","1","bgm_MC294","1001","1001","78100121","１戦目","90","103624","78100121"
"100122","bgm_MC294","1","bgm_MC294","1001","1001","78100122","２戦目","90","103624","78100122"
"100123","bgm_MC294","1","bgm_MC294","1001","1001","78100123","３戦目","90","103624","78100123"
"100124","bgm_MC294","1","bgm_MC294","1001","1001","78100124","４戦目","90","103624","78100124"
"100125","bgm_MC295B","2","bgm_MC295B","1001","1001","78100125","５戦目","90","103624","78100125"
"100131","bgm_MC294","1","bgm_MC294","1001","1001","78100131","１戦目","90","103624","78100131"
"100132","bgm_MC294","1","bgm_MC294","1001","1001","78100132","２戦目","90","103624","78100132"
"100133","bgm_MC294","1","bgm_MC294","1001","1001","78100133","３戦目","90","103624","78100133"
"100134","bgm_MC294","1","bgm_MC294","1001","1001","78100134","４戦目","90","103624","78100134"
"100135","bgm_MC295B","2","bgm_MC295B","1001","1001","78100135","５戦目","90","103624","78100135"
"100211","bgm_MC294","1","bgm_MC294","1002","1002","78100211","１戦目","90","103624","78100211"
"100212","bgm_MC294","1","bgm_MC294","1002","1002","78100212","２戦目","90","103624","78100212"
"100213","bgm_MC294","1","bgm_MC294","1002","1002","78100213","３戦目","90","103624","78100213"
"100214","bgm_MC294","1","bgm_MC294","1002","1002","78100214","４戦目","90","103624","78100214"
"100215","bgm_MC295B","2","bgm_MC295B","1002","1002","78100215","５戦目","90","103624","78100215"
"100221","bgm_MC294","1","bgm_MC294","1002","1002","78100221","１戦目","90","103624","78100221"
"100222","bgm_MC294","1","bgm_MC294","1002","1002","78100222","２戦目","90","103624","78100222"
"100223","bgm_MC294","1","bgm_MC294","1002","1002","78100223","３戦目","90","103624","78100223"
"100224","bgm_MC294","1","bgm_MC294","1002","1002","78100224","４戦目","90","103624","78100224"
"100225","bgm_MC295B","2","bgm_MC295B","1002","1002","78100225","５戦目","90","103624","78100225"
"100231","bgm_MC294","1","bgm_MC294","1002","1002","78100231","１戦目","90","103624","78100231"
"100232","bgm_MC294","1","bgm_MC294","1002","1002","78100232","２戦目","90","103624","78100232"
"100233","bgm_MC294","1","bgm_MC294","1002","1002","78100233","３戦目","90","103624","78100233"
"100234","bgm_MC294","1","bgm_MC294","1002","1002","78100234","４戦目","90","103624","78100234"
"100235","bgm_MC295B","2","bgm_MC295B","1002","1002","78100235","５戦目","90","103624","78100235"
"100311","bgm_MC294","1","bgm_MC294","1003","1003","78100311","１戦目","90","103624","78100311"
"100312","bgm_MC294","1","bgm_MC294","1003","1003","78100312","２戦目","90","103624","78100312"
"100313","bgm_MC294","1","bgm_MC294","1003","1003","78100313","３戦目","90","103624","78100313"
"100314","bgm_MC294","1","bgm_MC294","1003","1003","78100314","４戦目","90","103624","78100314"
"100315","bgm_MC295B","2","bgm_MC295B","1003","1003","78100315","５戦目","90","103624","78100315"
"100321","bgm_MC294","1","bgm_MC294","1003","1003","78100321","１戦目","90","103624","78100321"
"100322","bgm_MC294","1","bgm_MC294","1003","1003","78100322","２戦目","90","103624","78100322"
