381f0725483a0538b9ec1068ef888e5b1b154d9ee3d64603ea1f3dd7c14ad86e,4f8b9f65f7e3b720605cafae06b194f50dcc902de57ad86874f08008be8d0302,31b2dae4049267e248e5ed7bb4a91b480fa3c0bb2699a7d26cc62ecded7255e5,6da92747b63bd61fe759cd43d4ec0a0101544e1f01bf3e9577aea4c7a0389da6,d8f50853cc539cce6f8c9c5f1dd7ebfb6a1e109bc189a4d090139e8a892f20b5,88c19392cea9b8f25f06e17ebc632de2c42f38b41a5416f620aa25581cfa4e32,092417f0bf7d45441a59bd1a76ba1c5ea386dee7b448d6214616f0e52685f10c,5b030e4358832c1ec461800b63c514fba71aefd86b0b24caa3fabd2766116431,73a9378156d531531e73444149e5454f5a2a724c811ac306fda90b3270b0521f,776efe87f14e956c0a2938ed5caa9a7b6ebd019b54058c54599ec2157a177edc,1175c3452d59106eb66ca526f519137c4ee5847d50be9d1a47fa12fc97f0b314,a0aeb7e3d9cf3bca676412ba3fea3f0f5a76e2742c4239e9b9ee8df0173bc7ae,9ad796d0520316e9d485282c9846f06abf313f73513c155ada4ba6f13404ce24,1d3f80cea03b52f859331d615097f8f55c76f98b859c4234077f25afd73a1724,880c81d503420324acd610b9b018b0efb1cd91a5b533133245fbed49eab69a81
"2001","0","1","40001","1","20011","7","0","0","0","20012","0","2","1","0"
"2002","0","1","40001","1","20021","7","0","0","0","20022","0","2","1","0"
"2003","0","1","40001","1","20031","7","0","0","0","20032","0","2","1","0"
"2004","0","1","40001","1","20041","7","0","0","0","20042","0","2","1","0"
"2005","0","1","40001","1","20051","7","0","0","0","20052","0","2","1","0"
"2006","0","1","40001","1","20061","7","0","0","0","20062","0","2","1","0"
"2007","0","1","40001","1","20071","7","0","0","0","20072","0","2","1","0"
"2008","0","1","40001","1","20081","7","0","0","0","20082","0","2","1","0"
"2009","0","1","40001","1","20091","7","0","0","0","20092","0","2","1","0"
"2010","0","1","40001","1","20101","7","0","0","0","20102","0","2","1","0"
"2011","0","1","40001","1","20111","7","0","0","0","20112","0","2","1","0"
"2012","0","1","40001","1","20121","7","0","0","0","20122","0","2","1","0"
"2013","0","1","40001","1","20131","7","0","0","0","20132","0","2","1","0"
"2014","0","1","40001","1","20141","7","0","0","0","20142","0","2","1","0"
"2015","0","1","40001","1","20151","7","0","0","0","20152","0","2","1","0"
"2016","0","1","40001","1","20161","7","0","0","0","20162","0","2","1","0"
"2017","0","1","40001","1","20171","7","0","0","0","20172","0","2","1","0"
"2018","0","1","40001","1","20181","7","0","0","0","20182","0","2","1","0"
"2019","0","1","40001","1","20191","7","0","0","0","20192","0","2","1","0"
"2020","0","1","40001","1","20201","7","0","0","0","20202","0","2","1","0"
"2021","0","1","40001","1","20211","7","0","0","0","20212","0","2","1","0"
"2022","0","1","40001","1","20221","7","0","0","0","20222","0","2","1","0"
"2023","0","1","40001","1","20231","7","0","0","0","20232","0","2","1","0"
"2024","0","1","40001","1","20241","7","0","0","0","20242","0","2","1","0"
"2025","0","1","40001","1","20251","7","0","0","0","20252","0","2","1","0"
"2026","0","1","40001","1","20261","7","0","0","0","20262","0","2","1","0"
"2027","0","1","40001","1","20271","7","0","0","0","20272","0","2","1","0"
"2028","0","1","40001","1","20281","7","0","0","0","20282","0","2","1","0"
"3001","0","1","40001","1","30011","7","40","0","0","30012","0","1","1","0"
"3002","0","5","40001","1","30021","7","40","0","0","30022","0","1","1","0"
"3003","0","6","40001","1","30031","7","40","0","0","30032","0","1","1","0"
"3004","0","6","40001","2","30041","0","-58","0","0","30042","0","1","1","0"
"3005","0","1","40001","1","30051","-20","-42","0","0","30052","0","1","1","0"
"3006","0","5","40001","1","30061","-20","-42","0","0","30062","0","1","1","0"
"3007","0","1","40001","1","30071","40","0","0","0","30072","0","1","1","0"
"3008","0","5","40001","1","30081","40","0","0","0","30082","0","1","1","0"
"3009","0","6","40001","1","30091","40","0","0","0","30092","0","1","1","0"
"4001","0","1","40001","1","40011","0","0","0","0","40012","0","1","2","0"
"4002","0","5","40001","1","40021","0","0","0","0","40022","0","1","2","0"
"4005","0","1","40001","1","40051","0","0","0","0","40052","0","1","2","0"
"4006","0","5","40001","1","40061","0","0","0","0","40062","0","1","2","0"
"4007","0","6","40001","2","40071","0","0","0","0","40072","0","1","2","0"
"4009","0","6","40004","2","40091","0","0","0","0","40092","0","1","2","0"
"4010","0","1","40004","1","40101","0","0","0","0","40102","0","1","2","0"
"4011","0","5","40004","1","40111","0","0","0","0","40112","0","1","2","0"
"4012","0","6","40001","1","40121","0","0","0","0","40122","0","1","2","0"
"4013","0","1","40004","1","40131","0","0","0","0","40132","0","1","2","0"
"4014","0","5","40004","1","40141","0","0","0","0","40142","0","1","2","0"
"4015","0","6","40001","1","40151","0","0","0","0","40152","0","1","2","0"
"4016","0","1","40004","1","40161","0","0","0","0","40162","0","1","2","0"
"4017","0","5","40004","1","40171","0","0","0","0","40172","0","1","2","0"
"4018","0","6","40001","1","40181","0","0","0","0","40182","0","1","2","0"
