9ebcd12cf3a6f41582a799aca95d9d77e56ad95007e3b7ea504948f983b716df,6db436a32d73953acf5a2a440790e8106bd007ccc7ff21f98eda949ad825d433,c28dae04aede5a4a2ffb07dfe0c86e3fc949a06991ac373227c9e7e9daf9956f,67246a2229154b13aeb767532a3c0f5d41391ad6f4d020d03137f3fb36ea3346,9be9af2c67d44e706a3a8f7e93cb0f198f64371e1418b81dbf28468d07f061b0,5b45b2522304391fd0d8294d62a81d7ed2769068104014bf92575e3081bc8126,29eba411275a1d00ed74350eb6fc09085b67a20fbcc56e610423827ab565b999,629c48e3b6236412189f4dfa21fa6ccfffee5dd2a8babfbf24d3b3fa622cffac,f40eb64d8e4ca40ddcc430b707c3b06f1943b9b1c3a25117002342f63534db27,22252106a26b585170e37b6a9971e5da1437665deb24a5a81b6670f74e2126a5
"vo_10011600_0101","1","","vo_10011600","0","2","0","0","1","1010001"
"0","2","　明日から","0","8","1","0","0","1","1010002"
"0","3","","0","0","4","1","1.625","1","1010003"
"0","4","聖テレサ女学院に通うことになっちゃった！","0","10","1","0","0","1","1010004"
"0","5","","0","0","4","1","4","1","1010005"
"vo_10011600_0102","6","","vo_10011600","0","2","0","0","1","1010006"
"0","7","　なんで、","0","8","1","0","0","1","1010007"
"0","8","","0","0","4","1","1.375","1","1010008"
"0","9","どうしてこんなことになっちゃったんだろう。\n","0","9","1","0","0","1","1010009"
"0","10","","0","0","4","1","3.33333333333333","1","1010010"
"vo_10011600_0103","11","","vo_10011600","0","2","0","0","1","1010011"
"0","12","ミサト先生は","0","8","1","0","0","1","1010012"
"0","13","","0","0","4","1","1.75","1","1010013"
"0","14","私ならきっとやれると言ってくれたけど……","0","10","1","0","0","1","1010014"
"0","15","","0","0","4","1","3","1","1010015"
"0","16","絶対ムリだー！\n","0","8","1","0","0","1","1010016"
"0","17","","0","0","4","1","3.875","1","1010017"
"vo_10011600_0104","18","","vo_10011600","0","2","0","0","1","1010018"
"0","19","でも。","0","8","1","0","0","1","1010019"
"0","20","","0","0","4","1","2.375","1","1010020"
"0","21","でも……","0","8","1","0","0","1","1010021"
"0","22","","0","0","4","1","2.5","1","1010022"
"vo_10011600_0105","23","","vo_10011600","0","2","0","0","1","1010023"
"0","24","でも、","0","8","1","0","0","1","1010024"
"0","25","","0","0","4","1","1.375","1","1010025"
"0","26","もしも、","0","8","1","0","0","1","1010026"
"0","27","","0","0","4","1","1.5","1","1010027"
"0","28","私が聖テレサ女学院で頑張ることが出来たら。\n\n","0","8","1","0","0","1","1010028"
"0","29","","0","0","4","1","4.875","1","1010029"
"vo_10011600_0106","30","","vo_10011600","0","2","0","0","1","1010030"
"0","31","……友達、","0","6","1","0","0","1","1010031"
"0","32","","0","0","4","1","1.58333333333333","1","1010032"
"0","33","できるかな？","0","8","1","0","0","1","1010033"
"0","34","","0","0","4","1","1.75","1","1010034"
"vo_10011600_0201","1","","vo_10011600","0","2","0","0","2","1020001"
"0","2","　ごきげんようという挨拶で","0","8","1","0","0","2","1020002"
"0","3","","0","0","4","1","2.375","2","1020003"
"0","4","私のぼっち心は最初から爆発寸前。\n","0","8","1","0","0","2","1020004"
"0","5","","0","0","4","1","4","2","1020005"
"vo_10011600_0202","6","","vo_10011600","0","2","0","0","2","1020006"
"0","7","ところが、","0","8","1","0","0","2","1020007"
"0","8","","0","0","4","1","1.125","2","1020008"
"0","9","なんとそこにBB団の団長さんが登場！","0","8","1","0","0","2","1020009"
"0","10","","0","0","4","1","3.75","2","1020010"
"vo_10011600_0203","11","","vo_10011600","0","2","0","0","2","1020011"
