cc99f716fd91b580fd427743a66672cab4c51fcbd206409dc3131aaaf5292bdc,3ebc3681b702ae6c68e22c54eed289191a6c9462f60c7a7a88f36a735261ddb9,4fe2c088758d32c096a7fcc4542e48f8704dc2fd5734de3c4c386f02cf4f2348,90c7368fc5f61182b949ce6a5fec97c74aa0058e0f64432003c77a41c2851947,d9c1c814d5ce3e5ba2edc236d9bde6e613cf27c0e008a101fe286288eaeea6cf,ce7ad8e62cee5e5777946b153c8076388f8edf4facd2db3f091aee6d9c0fcf40,dbd4a61322ad0007fb3bdf7b2eb61b6225df4d12216e05f9f9e86e75ec13aa89,906d92b2fc1e690d57a2b9c6384d515e996888b37fd52bc3cb29a5bfc9aa2f17,eb5020126d040e122b0fd55f2e4ca1849711f20a62389ed076650c87e4fcb2b4,9fdfaadd491da32c1bdf81356682cebe2cce3abf34edd5fda27da87e4f67618b,ea5bb52d03540b9cf001b2a3ab73d46b20c149fa7a53befb072207b7fff158ed,a2dc6453749601810125a134dcbc91d0cec3d54200e5b9a4e50206cfcee0e866,a9d76f3756144716b5465fe3c8ab3d7178f0bddef5d50f482cd65903b2e72be4,e17c7978d414b612ce68cb96da4b3a7a32cac569c1981594bf258dedba171ec6,b19ce6bf031e839dca327132c7fb4a870c54968518144b072386b7f55e3f4f0c,6b4e014d22901334750b76920f71c3b3d228c33ea8cc1685c3002ec183c1d383,e00571455a52f5e92dd486112b9d66861f49978793312885a4c7fb717846ad9f,2da34cca2cc24c91a5413c80c939cb7360ec801c87c47f70361bc50a75fd0b42
"5","12","20003","0","5","2","1","8","0","20","91002","94002","150000","150","0","1","22003","2"
"9","12","20003","0","2","2","2","8","0","15","91002","94002","100000","145","0","6","22003","2"
"19","12","20003","0","5","2","3","8","0","11","91002","94002","80000","140","0","10","22002","2"
"29","12","20003","0","5","2","4","8","0","10","91002","94002","80000","130","0","20","22002","2"
"39","12","20003","0","4","2","5","8","0","9","91002","94002","70000","120","0","30","22002","2"
"49","12","20003","0","4","2","6","8","0","8","91002","94002","70000","110","0","40","22002","2"
"99","12","20003","0","3","2","7","8","0","7","91002","94002","60000","100","0","50","22002","2"
"499","12","20003","0","2","2","8","8","0","2","91002","94002","40000","80","0","100","22002","2"
"999","12","20002","0","1","2","9","8","0","7","91002","94002","20000","50","0","500","22002","2"
"4999","12","20002","0","3","2","10","8","0","4","91002","94002","16000","20","0","1000","22001","2"
"9999","12","20002","0","2","2","11","8","0","3","91002","94002","9000","15","0","5000","22001","2"
"11999","12","20001","0","1","2","12","8","0","8","91002","94002","4000","10","0","10000","22001","2"
"13999","12","20001","0","1","2","13","8","0","7","91002","94002","3000","5","0","12000","22001","2"
"14999","12","20001","0","1","2","14","8","0","6","91002","94002","2000","4","0","14000","22001","2"
"30000","12","20001","0","1","2","15","8","0","5","91002","94002","1800","3","0","15000","22001","2"
