86aa05c89b2fcf0711bd7ec2bceebef9a09b569a5a3cf87ba28b3fe25f473d6b,3cb568a7ca7370051bff6b0714107aa51af28c7975366ea8325eacabe8858dda,06e49af156d1d3f9bcb8362ede2f61ca1d06bc2c5d3c477e49c74b5dbf0469ad,2f4f2478205fc81e7da1986a17c79676027267ac0b421cd728d6c83194ecd46d,8a60e66ba1af64d08364f1cf7d8780e31f60fc5676e6fc316a2533a7e3b0f6e9
"10000101","12","94002","150000","100001011"
"10000101","2","22003","6","100001012"
"10000102","12","94002","500000","100001021"
"10000102","2","22003","6","100001022"
"10000103","12","94002","500000","100001031"
"10000103","4","140001","3","100001032"
"10000103","2","25001","3","100001033"
"10000104","12","94002","500000","100001041"
"10000104","2","22003","6","100001042"
"10000105","12","94002","500000","100001051"
"10000105","4","140001","4","100001052"
"10000105","2","25001","4","100001053"
"10000106","12","94002","500000","100001061"
"10000106","2","22003","6","100001062"
"10000107","12","94002","500000","100001071"
"10000107","4","140001","4","100001072"
"10000107","2","25001","4","100001073"
"10000108","12","94002","500000","100001081"
"10000108","2","22003","6","100001082"
"10000109","12","94002","500000","100001091"
"10000109","4","140001","4","100001092"
"10000109","2","25001","4","100001093"
"10050501","12","94002","120000","100505011"
"10050501","2","22003","3","100505012"
"10050502","12","94002","120000","100505021"
"10050502","2","22003","4","100505022"
"10050503","12","94002","120000","100505031"
"10050503","2","22003","4","100505032"
"10050511","12","94002","120000","100505111"
"10050511","2","22003","3","100505112"
"10050512","12","94002","160000","100505121"
"10050512","2","22003","4","100505122"
"10060601","12","94002","120000","100606011"
"10060601","2","22003","3","100606012"
"10060602","12","94002","120000","100606021"
"10060602","2","22003","4","100606022"
"10060603","12","94002","120000","100606031"
"10060603","2","22003","4","100606032"
"10060611","12","94002","120000","100606111"
"10060611","2","22003","3","100606112"
"10060612","12","94002","160000","100606121"
"10060612","2","22003","4","100606122"
"10070701","12","94002","120000","100707011"
"10070701","2","22003","3","100707012"
"10070702","12","94002","120000","100707021"
"10070702","2","22003","4","100707022"
"10070703","12","94002","120000","100707031"
"10070703","2","22003","4","100707032"
"10070711","12","94002","120000","100707111"
"10070711","2","22003","3","100707112"
"10070712","12","94002","160000","100707121"
"10070712","2","22003","4","100707122"
"10080801","12","94002","120000","100808011"
"10080801","2","22003","3","100808012"
"10080802","12","94002","120000","100808021"
"10080802","2","22003","4","100808022"
"10080803","12","94002","120000","100808031"
"10080803","2","22003","4","100808032"
"10080811","12","94002","120000","100808111"
"10080811","2","22003","3","100808112"
"10080812","12","94002","160000","100808121"
"10080812","2","22003","4","100808122"
