b55c00c7ce736a3c3a2495fbea1a1a18cb4e83208543a6abb9061b06c3a44a66,e55e11dd9db4520e190524baac32d5c54a8196a5b4e335c010d12ec146526a57,16f503fd655bc2740e779f9a943080eee5692fb76c94b090916decacdfce57aa,a7669d76ef90cfc03213d24f53c0496a1e309f7f7d155939a7cfeaee1dab307f,c087210d1b7724b76dfecacf13c0ce839b22d6d6f5e68845ac1663d7c5b88c11,2e137e0b3ef2c2ad29d3e1b41c0d8d847a7a586b7361f1b5da8f5bd49bd41b74,3a72a8d775a8e2102c0eccb47ea851167831f8887eb430001585b633cdd59b88,cb8e3e2bf1649dd8fb44d8e3ac06218cc44f3a202b48eff031c0ada736167b6e,8f25792e396b54d441b9f708571d81b7a1ac78bccd425c7001fcbe83a48f06b6,8588b829b6f3665de770b005631472a86105b855a4a9c1b38bfe2b29ba6f379d,6df132bc28e80287f4c95cfbd79267808e665cba110e623dfac86be75d07fd9e,dcc8bac3f4ac620b35e4ec1ffd911d265691c5c48ed0f79fd17f1f21e7c18350,6fd9ac5ec007d31b352fc9166df72e2144589c0cb723dc570e40436b3c02459f,437310bb71cb19acecf0d7ccba5ad13fa25b6b333ac1a82681f581c39f13f295
"1","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"2","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"3","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"4","-1","180","0","19","-1","1","180","-1","-1","-1","-1","0","0"
"5","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"6","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"7","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"8","-1","180","0","19","-1","1","180","-1","-1","-1","-1","1","0"
"9","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"10","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"11","-1","215","0","23","-1","1","215","-1","-1","-1","-1","0","0"
"12","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"13","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"14","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"15","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"16","-1","215","0","23","-1","1","215","-1","-1","-1","-1","1","0"
"17","-1","250","0","26","-1","1","250","-1","-1","-1","-1","1","0"
"18","-1","250","0","26","-1","1","250","-1","-1","-1","-1","0","0"
"20","-1","250","0","26","-1","1","250","-1","-1","-1","-1","1","0"
"21","-1","250","0","26","-1","1","250","-1","-1","-1","-1","1","0"
"22","-1","250","0","26","-1","1","250","-1","-1","-1","-1","1","0"
"23","-1","260","0","28","-1","1","260","-1","-1","-1","-1","0","0"
"24","-1","250","0","26","-1","1","250","-1","-1","-1","-1","1","0"
"25","-1","250","0","26","-1","1","250","-1","-1","-1","-1","1","0"
"26","-1","280","0","29","-1","1","280","-1","-1","-1","-1","0","0"
"27","-1","280","0","29","-1","1","280","-1","-1","-1","-1","1","0"
"28","-1","280","0","29","-1","1","280","-1","-1","-1","-1","1","0"
"29","-1","280","0","29","-1","1","280","-1","-1","-1","-1","1","0"
"30","-1","280","0","29","-1","1","280","-1","-1","-1","-1","1","0"
"31","-1","280","0","29","-1","1","280","-1","-1","-1","-1","1","0"
"32","-1","280","0","29","-1","1","280","-1","-1","-1","-1","1","0"
