2ad7a92e26576a17c3f4e75b32001cefc6b3d2532b286c222b5a3aca0f6742a8,de9ecc1c55e98774fafd41bec354e321c5e8a2b69f2bd3687e1dd008dfd2787b,53d88631de27711ed6438d2717ae15ab498a35fedfc10aeef3b989a98ad99321,7192ef615414565589476f5c7272a9df15c1003a6aa7fb11343c061e40fcb9e1,6c567e11a2bcc1787e55908b8a6d17906dd81997cd0df7fdd69633f566ff7ea1,20f0bf46e7d9b67f8be234c6962dd349ea3a3d189c9c04c947dcddfd73f3af6c,48d6bae0fc0d952d0839adba869a21a4eced8cfa046f53e59d206faca7f8a2ec,a3c1b32fe75be4f0e44e69303b30f108f4522652b9de8508641f0344fdc56298,973e4272fb8796fc3e15b2936bc5fd1574a9f299ce02937dfdece123f2f23345
"21","0","0","0","1101002","0","600","0","1101001"
"22","0","0","0","1101003","600","2400","0","1101002"
"20","0","0","0","1","-1500","1","50","1101003"
"21","0","0","0","1101012","0","900","0","1101011"
"22","0","0","0","1101013","700","2100","0","1101012"
"20","0","0","0","1","-1500","1","200","1101013"
"21","0","0","0","1101022","0","400","0","1101021"
"22","0","0","0","1101023","500","2000","0","1101022"
"20","0","0","0","1","-1500","1","350","1101023"
"21","0","0","0","1101032","0","1000","0","1101031"
"22","0","0","0","1101033","900","1800","0","1101032"
"20","0","0","0","1","-1500","1","500","1101033"
"21","0","0","0","1101042","0","500","0","1101041"
"22","0","0","0","1101043","800","1600","0","1101042"
"20","0","0","0","1","-1500","1","750","1101043"
"1","0","0","2","25","2","1","2","1101101"
"20","0","0","0","1","-2000","1","-100","1102001"
"1","0","0","2","20","2","1","10","1102101"
"10","0","0","2","200000","0","2","0","1102102"
"21","0","0","0","1103002","0","500","0","1103001"
"3","0","0","2","1000","0","0","0","1103002"
"2","0","0","2","-15","3000","3","0","1202001"
"2","0","0","1","15","30000","3","0","1204001"
"2","0","0","1","10","30000","3","0","1205001"
"2","0","0","1","10","30000","3","0","1206001"
"2","0","0","1","10","30000","3","0","1207001"
"2","0","0","1","15","3000","2","0","1208001"
"2","0","0","1","25","3000","1","0","1209001"
"2","0","0","1","10","3000","2","0","1210001"
"21","0","0","0","1210003","0","3000","0","1210002"
"2","0","0","1","15","30000","1","0","1210003"
"2","0","0","1","-10","3000","2","0","1211001"
"21","0","0","0","1211003","0","3000","0","1211002"
"2","0","0","2","-15","30000","1","0","1211003"
