fc8039b81e73c7292f830c93ecc8560e63fa03813d9ff08b4d2ea8f936ecf0a5,d1396d74e8bcf1151ad138422c21a1473ffb00e682c22ee92b58c5d58c00d3af,b77f39485e52410d7c9d4787be9a9a0f8be6422f962f26c58514f53a419076b8
"0","1","1"
"1","1","1"
"2","1","1"
"5","1","1"
"0","2","1"
"1","2","1"
"2","2","1"
"5","2","1"
"0","3","1"
"1","3","1"
"2","3","1"
"5","3","1"
"0","4","1"
"1","4","1"
"2","4","1"
"5","4","1"
"0","5","1"
"1","5","1"
"2","5","1"
"5","5","1"
"0","6","1"
"1","6","1"
"2","6","1"
"5","6","1"
"0","7","1"
"1","7","1"
"2","7","1"
"5","7","1"
"0","8","1"
"1","8","1"
"2","8","1"
"5","8","1"
"0","9","1"
"1","9","1"
"2","9","1"
"5","9","1"
"0","10","1"
"1","10","1"
"2","10","1"
"5","10","1"
