f901cde95fc82b1b7836817843f673408e793bcda3a8d6ccd005c28604572140,9efff8759dbf2593afff13504fbeab1a29da6eb9c4be2695734fd6df7f5430db,027129a930dc27f177c9dea7be87f16d902359623ba1a0f0c355aa71d7718a33,9977c494e76ab0dd5525a89e9998cb2a168d99b3cde10ba236aeeb9b41b3dd38,ef487c34e550140006244523027322b21f1d377b01269b42e742c691223517e7
"1","100101","12","94002","3000000"
"2","100101","2","20004","300"
"3","100102","2","90008","1000"
"4","100103","2","25001","6"
"5","100104","12","94002","1000000"
"6","100104","2","20004","300"
"7","100105","2","90008","1000"
"8","100106","2","25001","6"
"9","100107","8","91002","40"
"10","100107","12","94002","1000000"
"11","100107","2","20004","300"
"12","100108","2","90008","1000"
"13","100109","2","41000","1"
"14","100109","2","25001","7"
"15","100110","12","94002","1000000"
"16","100110","2","20004","400"
"17","100111","2","90008","1500"
"18","100112","8","91002","40"
"19","100112","2","25001","7"
"20","100113","12","94002","1000000"
"21","100113","2","20004","400"
"22","100114","2","90008","1500"
"23","100115","2","41000","1"
"24","100115","2","25001","7"
"25","100116","12","94002","1000000"
"26","100116","2","20004","500"
"27","100117","8","91002","40"
"28","100117","2","90008","1500"
"29","100118","12","94002","2000000"
"30","100118","2","25001","8"
"31","100118","2","90008","2000"
