4b9cf3d8fc5e9deef04423a02429550b5f35d9c5d4fb8f91e4f24a74c3daf3e9,9a174d54216f0597a529f353a1b0b9bd3659f84eae5be9422b44396390651839,ac02f1eb6d74b8827c07d3d83cfa0ec548fe6c4ebcd7c1163d89153ff8bc18c4,72332fee1f26c9719c1ec9a68d76298a0e75a341cc2a48d548bc5a99d5dc1c8d,f1cd0f3a62efd1f0cbd1c73638f1f39c338e3be41c2830c8ba7f61a4e4f2c8ac,62bdac630c2d4ad8a76644de31d203001e6db38a2ff021e6d58e7f9667302f65,289863b8a676e71a3bd3b544df6df1ca654fb9e73b7e13396a5db5f901938b05,f661f46fd8e6d4785d272bde92588c1a1b0497c5f5608d7c0efb7706fd8fd31d
"10001","10001","タルグム地方","10001","bgm_M32","bgm_M32","10001101","10001101"
"10002","10002","マシーナ地方","10002","bgm_M98","bgm_M98_2","10002101","10002101"
"10003","10003","ランドソル郊外","10003","bgm_M106","bgm_M106","10003101","10003101"
"10004","10004","タパスビーチ周辺","10004","bgm_M112","bgm_M112","10004101","10004101"
"10005","10005","イルシオンの孤島","10005","bgm_M121","bgm_M121","10005101","10005101"
"10006","10006","王都ランドソル","10006","bgm_M128","bgm_M128","10006101","10006101"
"10007","10007","ランドソル近郊","10007","bgm_M135","bgm_M135","10007101","10007101"
"10008","10008","ランドソル近郊","10008","bgm_M121","bgm_M121","10008101","10008101"
"10009","10009","クリスマス","10009","bgm_M171","bgm_M171","10009101","10009101"
"10010","10010","神殿への参道","10010","bgm_M121","bgm_M121","10010101","10010101"
"10011","10011","バレンタイン","10011","bgm_M189","bgm_M189","10011101","10011101"
"10012","10012","王都ランドソル","10012","bgm_M206","bgm_M206","10012101","10012101"
"10013","10013","マナリア","10013","bgm_M215","bgm_M215","10013101","10013101"
"10014","10014","タルグム地方","10014","bgm_M32","bgm_M32","10014101","10014101"
