50c60cd5bd826e738493e79c6ccf06a2152acfce46f6e020b0d687b90ee1b65d,f696ad4718489e7b2570894a6f79b53a278d9fdc0ecb84acae9233ed419bd6b7,929f4de26b3bcf8272b809660f9e6c15b9ebfcd87b4ebaa6e893cbb5e6b4c7c2,b3ead220cdb043680e0c6bca71767a35f3c6716e1af70447739270d8fa4948e1,52c2a4bbd3491f9d1ef8e92700b26dafd8190c1b962ec123a5bcc655a4361fe0,8a82cb1dfa5124e0afece6101933a21e11996f1a6f900109d4c86b5502a8d4b9,596cd37dd116cf469f0c2fce983d2254705b5437ea207cbd837a15c70c2e47cd,355a9f2016aa58f9c45a6c0eeb4de10872d728d86290ad5dd07cb03197d3c79d,5fb70bee9203f04ad99d6cb6199b7579b135f8074ced6cb77a4a2d10ff6e08b4,4c834f824a565dde5f3040adf33986d58a7da2c5073514a62ad190b1a4467212,b0ee50e45c45c8757532e90349166ce2a355c5907ca86df7549b8eeafacdfeae,608c97adb7395f0f2b458bfc16740f53499f1d4803088a86aab923bee4cf99fe,3e24240e821cbf4469498754f51011b62962d58e11d73866a227b2f6503e2553
"1","0","2018/03/26 15:00:00","380000","1","2030/03/26 14:59:00","10001","380000","bgm_M33","0","0","bgm_M33","0"
"2","0","2018/04/26 15:00:00","380000","1","2030/03/26 14:59:00","10002","380000","bgm_M99","0","0","bgm_M99","0"
"3","0","2018/05/25 16:00:00","380000","1","2030/03/26 14:59:00","10003","380000","bgm_M107","0","0","bgm_M107","0"
"4","0","2018/06/26 15:00:00","380000","1","2030/03/26 14:59:00","10004","380000","bgm_M113","0","0","bgm_M113","0"
"5","0","2018/07/26 15:00:00","380000","1","2030/03/26 14:59:00","10005","380000","bgm_M121","0","0","bgm_M121","0"
"6","0","2018/08/27 15:00:00","380000","1","2030/03/26 14:59:00","10006","380000","bgm_M128","0","0","bgm_M128","0"
"7","0","2018/09/26 15:00:00","380000","1","2030/03/26 14:59:00","10007","380000","bgm_M135","0","0","bgm_M135","0"
"8","0","2018/10/26 15:00:00","380000","1","2030/03/26 14:59:00","10008","380000","bgm_M162","0","0","bgm_M162","0"
"9","0","2018/11/26 15:00:00","380000","1","2030/03/26 14:59:00","10009","380000","bgm_M171","0","0","bgm_M171","0"
"10","0","2018/12/26 15:00:00","380000","1","2030/03/26 14:59:00","10010","380000","bgm_M182","0","0","bgm_M182","0"
"11","0","2019/01/25 15:00:00","380000","1","2030/03/26 14:59:00","10011","380000","bgm_M189","0","0","bgm_M189","0"
"12","0","2019/02/22 15:00:00","380000","1","2030/03/26 14:59:00","10012","380000","bgm_M206","0","0","bgm_M206","0"
"13","0","2019/03/25 15:00:00","380000","1","2030/03/26 14:59:00","10013","380000","bgm_M215","0","0","bgm_M215","0"
"14","0","2019/04/11 15:00:00","380000","1","2030/03/26 14:59:00","10014","380000","bgm_M33","0","0","bgm_M33","0"
"15","0","2019/04/24 15:00:00","380000","1","2030/03/26 14:59:00","10015","380000","bgm_M223","0","0","bgm_M223","0"
"16","0","2019/05/09 15:00:00","380000","1","2030/03/26 14:59:00","10016","380000","bgm_M99","0","0","bgm_M99","0"
"17","0","2019/05/24 15:00:00","380000","1","2030/03/26 14:59:00","10017","380000","","0","0","","0"
"18","0","2019/06/10 15:00:00","380000","1","2030/03/26 14:59:00","10018","380000","bgm_M107","0","0","bgm_M107","0"
"19","0","2019/06/25 15:00:00","380000","1","2030/03/26 14:59:00","10019","380000","bgm_M237","0","0","bgm_M237","0"
"20","0","2019/07/08 15:00:00","380000","1","2030/03/26 14:59:00","10020","380000","bgm_M113","0","0","bgm_M113","0"
"21","0","2019/07/25 15:00:00","380000","1","2030/03/26 14:59:00","10021","380000","bgm_M245","0","0","bgm_M245","0"
"22","0","2019/08/08 15:00:00","380000","1","2030/03/26 14:59:00","10022","380000","bgm_M121","0","0","bgm_M121","0"
"23","0","2019/08/26 15:00:00","380000","1","2030/03/26 14:59:00","10023","380000","bgm_M254","0","0","bgm_M254","0"
"24","0","2019/09/09 15:00:00","380000","1","2030/03/26 14:59:00","10024","380000","bgm_M128","0","0","bgm_M128","0"
"25","0","2019/09/24 15:00:00","380000","1","2030/03/26 14:59:00","10025","380000","bgm_M265","0","0","bgm_M265_Top","0"
"26","0","2019/10/10 15:00:00","380000","1","2030/03/26 14:59:00","10026","380000","bgm_M135","0","0","bgm_M135","0"
"27","0","2019/10/25 15:00:00","380000","1","2030/03/26 14:59:00","10027","380000","bgm_M273","0","0","bgm_M273","0"
"28","0","2019/11/08 15:00:00","380000","1","2030/03/26 14:59:00","10028","380000","bgm_M162","0","0","bgm_M162","0"
"29","0","2019/11/25 15:00:00","380000","1","2030/03/26 14:59:00","10029","380000","bgm_M281","0","0","bgm_M281","0"
"30","0","2019/12/09 15:00:00","380000","1","2030/03/26 14:59:00","10030","380000","bgm_M171","0","0","bgm_M171","0"
"31","0","2019/12/25 15:00:00","380000","1","2030/03/26 14:59:00","10031","380000","bgm_M294","0","0","bgm_M294","0"
"32","0","2020/01/14 12:00:00","380000","1","2030/03/26 14:59:00","10032","380000","bgm_M182","0","0","bgm_M182","0"
"33","0","2020/01/24 15:00:00","380000","1","2030/03/26 14:59:00","10033","380000","bgm_M316","0","0","bgm_M316","0"
"34","0","2020/02/10 15:00:00","380000","1","2030/03/26 14:59:00","10034","380000","bgm_M189","0","0","bgm_M189","0"
"35","0","2020/02/25 15:00:00","380000","1","2030/03/26 14:59:00","10035","380000","bgm_M330","0","0","bgm_M330","0"
"36","0","2020/02/25 15:00:00","380000","1","2030/03/26 14:59:00","10036","380000","bgm_M330","0","0","bgm_M330","0"
"37","0","2020/03/12 15:00:00","380000","1","2030/03/26 14:59:00","10037","380000","bgm_M206","0","0","bgm_M206","0"
"38","0","2020/03/24 15:00:00","380000","1","2030/03/26 14:59:00","10038","380000","bgm_M343","0","0","bgm_M343","0"
"39","0","2020/04/10 12:00:00","380000","1","2030/03/26 14:59:00","10039","380000","bgm_M215","0","0","bgm_M215","0"
"40","0","2020/04/24 15:00:00","380000","1","2030/03/26 14:59:00","10040","380000","bgm_M351","0","0","bgm_M351","0"
"41","0","2020/05/10 12:00:00","380000","1","2030/03/26 14:59:00","10041","380000","bgm_M223","0","0","bgm_M223","0"
"42","0","2020/05/25 15:00:00","380000","1","2030/03/26 14:59:00","10042","380000","bgm_M375","0","0","bgm_M375","0"
"43","0","2020/06/08 18:00:00","380000","1","2030/03/26 14:59:00","10043","380000","bgm_M237","0","0","bgm_M237","0"
"44","0","2020/06/24 15:00:00","380000","1","2030/03/26 14:59:00","10044","380000","bgm_M380A","0","0","bgm_M380A","0"
"45","0","2020/07/25 12:00:00","380000","1","2030/03/26 14:59:00","10046","380000","bgm_M393","0","0","bgm_M393","0"
"46","0","2020/07/09 15:00:00","380000","1","2030/03/26 14:59:00","10045","380000","bgm_M245","0","0","bgm_M245","0"
"47","0","2020/08/09 15:00:00","380000","1","2030/03/26 14:59:00","10047","380000","bgm_M254","0","0","bgm_M254","0"
"48","0","2020/08/24 12:00:00","380000","1","2030/03/26 14:59:00","10048","380000","bgm_M403","0","0","bgm_M403","0"
"49","0","2020/09/14 15:00:00","380000","1","2030/03/26 14:59:00","10049","380000","bgm_M265","0","0","bgm_M265_Top","0"
"50","0","2020/09/25 15:00:00","380000","1","2030/03/26 14:59:00","10050","380000","bgm_M413","0","0","bgm_M413","0"
"52","0","2020/10/26 12:00:00","380000","1","2030/03/26 14:59:00","10052","380000","bgm_M421","0","0","bgm_M421","0"
"53","0","2020/11/06","380000","1","2030/03/26 14:59:00","10053","380000","0","0","0","0","0"
"54","0","2020/11/25 15:00:00","380000","1","2030/03/26 14:59:00","10054","380000","bgm_M426","0","0","bgm_M426","0"
"56","0","2020/12/25 15:00:00","380000","1","2030/03/26 14:59:00","10056","380000","bgm_M435","0","0","bgm_M435","0"
"58","0","2021/01/25 15:00:00","380000","1","2030/03/26 14:59:00","10058","380000","bgm_M442A","0","0","bgm_M442A","0"
"59","0","2021/01/25 15:00:00","380000","1","2030/03/26 14:59:00","10059","380000","bgm_M442B","0","0","bgm_M442B","0"
