b94c642c1983e80185243b55712e9c5648ac9b695ca7e82aa83cca2737aa2a79,c32d2466034f84a0197e7bb0745b764649248fa518e6d9c1dfc2bb4a3c8e4dfc,409ff713d34bdf442ed6833a21ad0c86f1f3782f8b935f83e39afed9a05fee93,e635bd98ac32cc7ae7eda5f9184019f27bb7d4ff7c9b4e585a5470e30a1ee14f,0dc5c5e6068d9e6da1740c2d01c23fb7f091806517cae4f9a0934ad50445c539
"8000000","1001","12","94002","1"
"40","1001","2","90005","2"
"8000000","1002","12","94002","3"
"50","1002","2","90005","4"
"8000000","1003","12","94002","5"
"60","1003","2","90005","6"
"8000000","1004","12","94002","7"
"70","1004","2","90005","8"
"150","1005","8","91002","9"
"8000000","1005","12","94002","10"
"80","1005","2","90005","11"
"8000000","1006","12","94002","12"
"90","1006","2","90005","13"
"300","1007","8","91002","14"
"8000000","1007","12","94002","15"
"100","1007","2","90005","16"
"8000000","2001","12","94002","17"
"8000000","2002","12","94002","18"
"8000000","2003","12","94002","19"
"8000000","2004","12","94002","20"
"8000000","2005","12","94002","21"
"8000000","2006","12","94002","22"
"8000000","2007","12","94002","23"
"8000000","2008","12","94002","24"
"8000000","2009","12","94002","25"
"8000000","2010","12","94002","26"
"8000000","2011","12","94002","27"
"8000000","2012","12","94002","28"
"8000000","2013","12","94002","29"
"8000000","2014","12","94002","30"
"8000000","2015","12","94002","31"
"8000000","7001","12","94002","32"
"5","7001","2","90005","33"
"8000000","7002","12","94002","34"
"5","7002","2","90005","35"
"8000000","7003","12","94002","36"
"5","7003","2","90005","37"
"8000000","7004","12","94002","38"
"10","7004","2","90005","39"
"8000000","7005","12","94002","40"
"10","7005","2","90005","41"
"8000000","7006","12","94002","42"
"10","7006","2","90005","43"
"8000000","7007","12","94002","44"
"15","7007","2","90005","45"
"8000000","7008","12","94002","46"
"15","7008","2","90005","47"
"8000000","7009","12","94002","48"
"15","7009","2","90005","49"
"8000000","7010","12","94002","50"
"20","7010","2","90005","51"
"8000000","7011","12","94002","52"
"20","7011","2","90005","53"
"8000000","7012","12","94002","54"
"20","7012","2","90005","55"
"8000000","7013","12","94002","56"
"25","7013","2","90005","57"
"8000000","7014","12","94002","58"
"25","7014","2","90005","59"
"8000000","7015","12","94002","60"
"25","7015","2","90005","61"
"8000000","7016","12","94002","62"
"30","7016","2","90005","63"
"8000000","7017","12","94002","64"
"30","7017","2","90005","65"
"8000000","7018","12","94002","66"
"30","7018","2","90005","67"
"8000000","7019","12","94002","68"
"35","7019","2","90005","69"
"8000000","7020","12","94002","70"
"35","7020","2","90005","71"
"8000000","7021","12","94002","72"
"35","7021","2","90005","73"
"8000000","7022","12","94002","74"
"40","7022","2","90005","75"
"8000000","8001","12","94002","76"
"1000","8001","2","90008","77"
"8000000","8002","12","94002","78"
"1250","8002","2","90008","79"
"8000000","8003","12","94002","80"
"1500","8003","2","90008","81"
"8000000","8004","12","94002","82"
"1750","8004","2","90008","83"
"8000000","8005","12","94002","84"
"2000","8005","2","90008","85"
"8000000","8006","12","94002","86"
"2250","8006","2","90008","87"
"8000000","8007","12","94002","88"
"2500","8007","2","90008","89"
"50","9001","2","80001","90"
"50","9002","2","80002","91"
"50","9003","2","80003","92"
"50","9004","2","80004","93"
"50","9005","2","80005","94"
