59b20bf412efe76900f788cec994ec28fd26868cbdc3075c830ab5c3e5504744,9afc3b00e46a00ae67db67db135be9ec2ce1a753f87a320f05fdf5b952abdc0d,9b2bce12b04af90cd5833755a9cf4466534ca3fbdcd3c935bff9788eedbc4f9d,61fb995a19e8ef73f404b5cfcda31180bbd281dbe1740e424a66a65f9fba92c0,809bac5435e88f8ff7121d401f407aa6c68406ca689e5acde233d7b1f30609d2
"1","1037","1025","1045","1048"
"2","1062","1003","1006","1004"
"3","1029","1003","1006","1007"
"4","1025","1047","1062","1045"
"5","1003","1043","1022","1013"
"6","1048","1006","1019","1004"
"7","1037","1062","1003","1033"
"8","1050","1056","1059","1053"
"9","1030","1001","1034","1011"
"10","1046","1063","1026","1023"
"11","1014","1020","1044","1038"
"12","1008","1017","1040","1049"
"13","1017","1023","1020","1044"
"14","1001","1017","1020","1038"
"15","1036","1030","1008","1048"
"16","1004","1044","1011","1038"
"17","1005","1043","1022","1011"
"18","1042","1046","1047","1016"
"19","1041","1014","1063","1028"
"20","1061","1052","1058","1055"
"21","1031","1025","1024","1001"
"22","1064","1024","1005","1063"
"23","1066","1040","1044","1000"
"24","1076","1000","1010","1038"
"25","1077","1003","1043","1019"
"26","1071","1070","1068","1069"
"27","1089","1092","1090","1091"
"28","1083","1012","1021","1006"
"29","1097","1098","1099","1100"
"30","1101","1102","1103","1104"
"31","1105","1106","1107","1108"
"32","1088","1089","1090","1091"
