d23c98f20387bdb9a51f414ac7f9c911783644e094fab33631e5fd4c89e4b78e,7cfcdea8c1d3e751b55be6b61c008b8062db1208cc49f3e7a763861e728d8e9c,064424109b4d9cf3595d2b49c40306da5e458d27d13cffc9a7e894dfd799c15b,7a083cbd9b5641562c71e8e3cec9ec465dac2dd2ecc5a87abe16b678ea795bc4,74702d8e0294b71898b8525e9e8614d04787c06eb3a94e3df81d46ce925a70a5,e3a61955753c585d7a98e98a05720af4cf8b4fa65b974e699137e6f446779b1b,c6cf69aff38edafb1c930b6c5195164c055a1f30564d215a45bd2b80a79ce015,8f539a3176eac380c3faa2864181c5234bd422fc58322a306dd098522f81f547,a575ed0189f6efb8825809c4c2e8b5913fca839281a23e2b30040043fe3aae2d
"100101","6","2","2","3","2","1","3","1"
"100201","5","1","1","3","1","3","2","2"
"100301","7","2","1","2","3","1","3","3"
"100401","13","2","2","2","2","1","3","3"
"100501","18","3","2","3","2","2","1","2"
"100601","25","3","1","3","2","1","2","2"
"100701","26","1","2","3","3","3","2","2"
"100801","40","1","2","2","3","3","1","3"
"100901","34","3","1","2","3","1","3","2"
"101001","8","1","1","3","1","3","2","2"
"101101","56","1","3","3","2","2","2","2"
"101201","43","2","3","1","2","1","3","2"
"101301","33","3","1","3","2","1","1","3"
"101401","11","2","1","2","1","3","1","2"
"101501","42","1","1","2","1","3","2","3"
"101601","46","1","3","3","2","2","1","3"
"101701","10","2","3","3","2","1","1","2"
"101801","45","2","1","2","1","3","1","3"
"102001","12","2","2","3","1","2","3","1"
"102101","30","2","1","3","1","1","2","3"
"102201","24","2","3","1","1","1","2","3"
"102301","31","3","2","3","2","1","3","1"
"102501","29","1","3","2","1","3","1","2"
"102601","51","1","2","3","1","3","2","1"
"102701","36","1","2","1","3","2","3","3"
"102801","28","1","2","2","1","2","1","3"
"102901","52","1","2","3","1","2","2","2"
"103001","39","2","1","3","2","2","1","3"
"103101","27","1","2","2","3","3","3","1"
"103201","19","1","2","1","2","3","3","2"
"103301","48","2","1","3","2","2","3","1"
"103401","20","3","2","1","1","2","2","2"
"103601","14","3","2","1","3","3","1","2"
"103701","17","3","2","2","3","1","1","3"
"103801","49","3","1","2","3","3","2","1"
"104001","44","3","3","1","1","2","2","1"
"104201","53","2","2","2","3","3","1","2"
"104301","9","1","3","2","3","1","3","2"
"104401","23","2","1","2","3","3","3","1"
"104501","38","3","1","2","1","2","2","2"
"104601","21","1","3","2","2","3","2","1"
"104701","15","3","3","2","3","1","1","2"
"104801","22","2","3","1","3","1","2","3"
"104901","55","1","2","2","1","2","3","2"
"105001","47","2","3","3","1","2","1","2"
"105101","35","2","3","1","3","3","1","1"
"105201","50","1","2","3","2","2","2","2"
"105301","37","1","2","2","3","1","3","3"
"105401","54","1","3","3","2","2","2","1"
"105501","41","3","1","2","1","2","3","1"
"105601","32","1","3","3","3","1","2","2"
"105701","67","2","2","3","1","1","2","2"
"105801","1","1","2","3","2","2","2","2"
"105901","2","2","1","2","1","3","2","2"
"106001","3","3","3","2","3","2","1","1"
"106101","58","2","2","3","2","1","3","2"
"106301","68","2","2","3","1","1","3","1"
"106401","4","3","2","3","1","1","2","2"
"106501","61","3","2","3","3","1","1","2"
"106601","62","3","2","3","2","3","1","1"
"106701","60","2","1","2","3","2","1","2"
"106801","57","3","2","1","1","1","1","2"
"107001","59","2","1","1","3","3","2","1"
"107101","16","2","2","1","3","1","2","3"
"109201","70","2","1","2","1","2","2","2"
"109301","72","1","3","3","2","2","2","2"
"109401","71","2","3","2","3","1","1","3"
"110801","64","2","3","2","1","1","2","2"
"110901","65","1","2","2","2","2","1","3"
"111001","63","2","1","3","3","3","1","1"
"111401","69","3","3","2","2","2","2","1"
"118001","66","2","3","1","2","3","1","2"
