958a84bba8c55793e359acacc7e19756af38645bb30bc626f00f04ef19829db4,5f8378bd128681717aefa2d96fb8b5a30db9a418202331aa683789faf3633d08,baf946eb83558c94a78c9d090152017a104eaa9b1bc2643e5a5ba20cfafc00bf,ca65dffe109bfefa8299f88457becd0959eb2280b2d57d8407b765fce89c4127,edc4684ff4676cbe0ba52cf5645edeb2800bc75754a4d1635c2412a7698a3bca,bedef33da59d4473612c224116541f1efe0db8dbeb9b2869ada8307b8057137c,0e88ec5b5f29b7376e22d50a9f57dd39bbd0aacafe21339f839476e56f98a89b,222a2e3964ab9cf2d4943205f4e41111136b42437ae5d5c09a85c3f6e4a2b98d,55c6a21fef3b3f21e30f3d1bc3148b17a810658dc59447ac979c7f69c9d7ded3,d6996924d08d62e1e63d3a2b68511cd8107fa93391678f11acce0543607185c8,cd8a69b15a181cae52e47099dec64144acf1a5f3d66cfd55d6307988bdb700ce
"2","1001","-100","0","1000001","1.3","55","-250","<weapon>_idle","1","110010001"
"100","1001","0","","100","1","0","1","","31","110010002"
"101","1001","0","","101","0","0","1","","31","110010003"
"4","1001","0","","4","1","0","1","","31","110010004"
"5","1001","0","","5","1","94.5","1","","31","110010005"
"0","1001","","","0","","","","","91","110010006"
"0.4","1001","","","0","","","","","93","110010007"
"1000001","1001","","","<weapon>_joy_short","0.2","0","","","3","110010008"
"1.3","1001","","","0","","","","","93","110010009"
"1000001","1001","","","<weapon>_run","0","1","","","3","110010010"
"1000001","1001","1","","800","","-250","0","","2","110010011"
"0.7","1001","","","0","","","","","93","110010012"
"101","1001","","","1","","","","","32","110010013"
"0.7","1001","","","0","","","","","93","110010014"
"2","1101","-640","0","1000001","1.3","55","-250","<weapon>_run","1","111010001"
"100","1101","0","","100","1","0","1","","31","111010002"
"101","1101","0","","101","0","0","1","","31","111010003"
"4","1101","0","","4","1","0","1","","31","111010004"
"4","1101","","","0","","","","","35","111010005"
"5","1101","0","","5","1","0","1","","31","111010006"
"10","1101","0","","10","1","0","1","","31","111010007"
"0","1101","","","","","","","","91","111010008"
"100","1101","","","1","","","","","35","111010009"
"1000001","1101","2.1","","640","","-250","0","","2","111010010"
"1.7","1101","","","0","","","","","93","111010011"
"101","1101","","","1","","","","","32","111010012"
"0.7","1101","","","0","","","","","93","111010013"
"1","2001","0","0","1000001","1.3","55","-240","look_loop","1","120010001"
"1","2001","0","0","1","0","0","1","","31","120010002"
"1","2001","","","0","","","","","35","120010003"
"1","2001","","","1","","","","","32","120010004"
"2","2001","0","0","2","1","345.4","1","","31","120010005"
"2","2001","","","0","","","","","35","120010006"
"3","2001","0","0","3","0","345.4","1","","31","120010007"
"3","2001","","","0","","","","","35","120010008"
"3","2001","","","1","","","","","32","120010009"
"31000001","2001","0","","31000001","1","-345.4","1","","31","120010010"
"31000002","2001","0","","31000002","1","345.4","1","","31","120010011"
"100","2001","0","","100","1","0","1","","31","120010012"
"101","2001","0","","101","0","0","1","","31","120010013"
"0","2001","","","","","","","","91","120010014"
"100","2001","","","1","","","","","35","120010015"
"1000001","2001","look_loop","0","look_in","0","0","1","","3","120010016"
"1.3","2001","","","0","","","","","93","120010017"
"12","2101","0","","998","0","0","1","","31","121010001"
"14","2101","0","","997","0","0","1","","31","121010002"
"16","2101","0","","996","0","0","1","","31","121010003"
"31000001","2101","","","0","","","","","32","121010004"
"31000002","2101","","","0","","","","","32","121010005"
"0","2101","1","","0","0","-1","0","","121","121010006"
"1","2101","","","1","","","","","35","121010007"
"3","2101","","","1","","","","","35","121010008"
"1000001","2101","","","pointing","0","0","","","3","121010009"
"1","2101","","","0","","","","","93","121010010"
"505","2101","1.47","","100","0","-1.47","2","","121","121010011"
"1000001","2101","","","run_talk1","0.2","1","","","3","121010012"
"1000001","2101","1","","100","","-240","0","","2","121010013"
"se_travel","2101","","","se_travel_treasure_cha_run","","0","","","23","121010014"
"1","2101","","","0","","","","","93","121010015"
"11","2201","0","","998","0","0","1","","31","122010001"
"13","2201","0","","997","0","0","1","","31","122010002"
"15","2201","0","","996","0","0","1","","31","122010003"
"31000001","2201","","","0","","","","","32","122010004"
"31000002","2201","","","0","","","","","32","122010005"
"1","2201","","","1","","","","","35","122010006"
"3","2201","","","1","","","","","35","122010007"
"1000001","2201","","","pointing","0","0","","","3","122010008"
"1","2201","","","0","","","","","93","122010009"
"-505","2201","1.47","","100","0","1.47","2","","121","122010010"
"1000001","2201","","","run_talk1","0.2","1","","","3","122010011"
"1000001","2201","1","","100","","-240","0","","2","122010012"
"se_travel","2201","","","se_travel_treasure_cha_run","","0","","","23","122010013"
"1","2201","","","0","","","","","93","122010014"
"300000","3000","0","","300000","0","345.4","1","","31","130000001"
"0","3000","","","","","","","","91","130000002"
"1.05","3000","1.05","","1.05","0","1.05","7.4","","123","130000003"
"1000001","3000","","","wait","0.2","0","","","3","130000004"
"2","3000","","","1","","","","","35","130000005"
"4.9","3000","","","0","","","","","93","130000006"
"0.95","3000","0.95","","0.95","0","0.95","0.4","","123","130000007"
"300000","3000","","","1","","","","","32","130000008"
"0.1","3000","","","0","","","","","93","130000009"
"2","3000","","","0","","","","","32","130000010"
"0.1","3000","","","0","","","","","93","130000011"
"996","3000","","","1","","","","","32","130000012"
"1000001","3000","","","joy_from_wait","0","0","","","3","130000013"
"1.9","3000","","","0","","","","","93","130000014"
"1000001","3000","","","glad_from_joy","0","0","","","3","130000015"
"1.5","3000","","","0","","","","","93","130000016"
"1000001","3000","","","run_gatein","0.2","1","","","3","130000017"
"se_travel","3000","","","se_travel_treasure_cha_run","","","","","23","130000018"
"1000001","3000","1","","450","","-195","0","","2","130000019"
"0.5","3000","","","1","","","","","93","130000020"
"1000001","3000","1","0","1","0.4","1","0","","6","130000021"
"0.4","3000","","","0","","","","","93","130000022"
"1","3000","","","","","","","","113","130000023"
"300100","3001","0","","300100","0","345.4","1","","31","130010001"
"990001","3001","0","","990001","1","345.4","1","","31","130010002"
"0","3001","","","","","","","","91","130010003"
"1.05","3001","1.05","","1.05","0","1.05","7.4","","123","130010004"
"1000001","3001","","","wait","0.2","0","","","3","130010005"
"2","3001","","","1","","","","","35","130010006"
"5.4","3001","","","0","","","","","93","130010007"
"0.95","3001","0.95","","0.95","0","0.95","0.4","","123","130010008"
"1000001","3001","","","glad","0.2","0","","","3","130010009"
"300100","3001","","","1","","","","","32","130010010"
"996","3001","","","1","","","","","32","130010011"
"0.1","3001","","","0","","","","","93","130010012"
"2","3001","","","0","","","","","32","130010013"
"3","3001","","","0","","","","","32","130010014"
"1.5","3001","","","0","","","","","93","130010015"
"1000001","3001","","","joy","0.2","0","","","3","130010016"
"1.7","3001","","","0","","","","","93","130010017"
"1000001","3001","","","run_gatein","0","1","","","3","130010018"
"1000001","3001","1","","450","","-195","0","","2","130010019"
"0.5","3001","","","1","","","","","93","130010020"
"1000001","3001","1","0","1","0.4","1","0","","6","130010021"
"0.4","3001","","","0","","","","","93","130010022"
"1","3001","","","","","","","","113","130010023"
"300100","3002","0","","300100","0","345.4","1","","31","130020001"
"990002","3002","0","","990002","1","345.4","1","","31","130020002"
"0","3002","","","","","","","","91","130020003"
"1.05","3002","1.05","","1.05","0","1.05","7.4","","123","130020004"
"1000001","3002","","","wait","0.2","0","","","3","130020005"
"2","3002","","","1","","","","","35","130020006"
"5.4","3002","","","0","","","","","93","130020007"
