a2d7dfcd83c59bf8889c286e46d5a610ad4ba698fa87bc1aeb9eac04720179ee,469c2e887f7bfa26802e82284258205ad8c0dabeefcc33e964f805353bbca504,c158f4989309b72c020bcc0650499f18d5d3cce16036e3d21e6569e795bdc5d6,93c13daff9baa9562e91bb84e2268fa5f21734d4e04d9e0dba9102ba03b21f13,09e7604dde053ab90960d45f06f887041e3a616d5804b3c00b6d1172e2e81d81
"10153","10153102","6017101","1","信頼度"
"10168","10168102","6144101","1","信頼度"
"20015","0","0","1","信頼度"
"20017","0","0","1","信頼度"
"20018","0","0","1","信頼度"
"20019","0","0","1","信頼度"
"20020","0","0","1","信頼度"
"20022","0","0","1","信頼度"
"20023","0","0","1","信頼度"
"20024","0","0","1","信頼度"
"20025","0","0","1","信頼度"
"20026","0","0","1","信頼度"
"20028","0","0","1","信頼度"
"20029","0","0","1","信頼度"
"20030","0","0","1","信頼度"
"20031","0","0","1","信頼度"
"20032","0","0","1","信頼度"
"20035","0","0","1","信頼度"
"20037","0","0","1","信頼度"
"20038","0","0","1","信頼度"
"20042","0","0","1","信頼度"
"20043","0","0","1","信頼度"
"20048","0","0","1","信頼度"
"20049","0","0","1","信頼度"
"20051","0","0","1","信頼度"
"20054","0","0","1","信頼度"
"20055","0","0","1","信頼度"
"20056","0","0","1","信頼度"
"20061","0","0","1","信頼度"
"20066","0","0","1","信頼度"
