65c1ea968c4ce98d56d84d1ce99a5142be4c71d87113386e8942980428767df4,f7922d46f8199552752ead9627a46e0325af1cb273515376ce2839a9ecbcc5e3,a2b4c94cb631b84033b7edf7703468e981de1a59b21ec82cea4c53bf17701a03
"1","1","2"
"2","2","1"
"3","3","3"
"4","4","2"
"5","5","2"
"6","6","2"
"7","7","2"
"8","8","2"
"9","9","2"
"10","10","2"
"11","11","2"
"12","12","2"
"13","13","1"
"14","14","1"
"15","15","1"
"16","16","1"
"17","17","1"
"18","18","1"
"19","19","2"
"20","20","4"
"21","21","2"
"22","22","2"
"23","23","5"
"24","24","5"
"25","25","5"
"26","26","6"
"27","27","6"
"28","28","6"
"29","29","7"
"30","30","8"
"31","31","8"
"32","32","9"
"33","33","9"
"34","34","10"
"35","35","10"
"36","36","11"
"37","37","11"
"38","38","12"
"39","39","12"
