310ce31dc00a7f106e224baccc571eba4a52f9d65eb028b09be605f95ea126e3,6d5dbe07bd7134cd6faf34b1f1ca05a570908773a976453bf2fde73d9179a973,cd64ebf9b0ac98fc9cce542a502986e1737ce83216e024b589df928a987a6850,8f116ce166e076e460a7484c1e4da2e3a1c1e2df111f6cccfd7ad40799bb8ad8,279391b4c200de26a7ee1b829baa458be507cf28c5ec692ca6c5b1f4b3d37a3b,b0f5f9fe7b834641d3097388c4ec6a967a9fe2abd0544d2c756c7605e64fd16a,a96e83f4dab1eef8968246e3986a14623d289ffd5a6c4fb423d8cb4d77757d12,5a931b8d73fabe94b3e3ba80bc65d74f4ee3c54ae03524a82f8aa432a4fbc1b4,573245a9267a4ff41ccc8e5ac8573ba0e364e8005e28d085dc397d8b2b90aa91,a6b0f820b8ebd298e8a1c8a0dd8aa878a3e24a78b6c0040ff7e1edc9c5ca4a4d,07a4be049b4930e8fff0ed20c1f799e36f4c0d0a8e2fdffea43499fce99254a0,a1dc12e5f16e1d03e06aedc1c1ff2db783186bbe446de8f6a27e9e6c6e0cc57c
"1","90","92407110","1","92407","0","500000000","924073101","1","924072101","924071100","92407120"
"2","90","92407120","1","92407","92407110","1000000000","924073102","2","924072102","924071200","92407130"
"3","90","92407130","1","92407","92407120","1500000000","924073103","3","924072103","924071300","92407140"
"4","90","92407140","1","92407","92407130","0","924073104","3","924072104","924071400","0"
"1","90","92407210","1","92407","0","500000000","924073201","1","924072201","924072100","92407220"
"2","90","92407220","1","92407","92407210","1000000000","924073202","2","924072202","924072200","92407230"
"3","90","92407230","1","92407","92407220","1500000000","924073203","3","924072203","924072300","92407240"
"4","90","92407240","1","92407","92407230","0","924073204","3","924072204","924072400","0"
"1","90","92407310","1","92407","0","500000000","924073301","1","924072301","924073100","92407320"
"2","90","92407320","1","92407","92407310","1000000000","924073302","2","924072302","924073200","92407330"
"3","90","92407330","1","92407","92407320","1500000000","924073303","3","924072303","924073300","92407340"
"4","90","92407340","1","92407","92407330","0","924073304","3","924072304","924073400","0"
"1","90","92408110","1","92408","0","500000000","924083101","1","924082101","924081100","92408120"
"2","90","92408120","1","92408","92408110","1000000000","924083102","2","924082102","924081200","92408130"
"3","90","92408130","1","92408","92408120","1500000000","924083103","3","924082103","924081300","92408140"
"4","90","92408140","1","92408","92408130","0","924083104","3","924082104","924081400","0"
"1","90","92408210","1","92408","0","500000000","924083201","1","924082201","924082100","92408220"
"2","90","92408220","1","92408","92408210","1000000000","924083202","2","924082202","924082200","92408230"
"3","90","92408230","1","92408","92408220","1500000000","924083203","3","924082203","924082300","92408240"
"4","90","92408240","1","92408","92408230","0","924083204","3","924082204","924082400","0"
"1","90","92408310","1","92408","0","500000000","924083301","1","924082301","924083100","92408320"
"2","90","92408320","1","92408","92408310","1000000000","924083302","2","924082302","924083200","92408330"
"3","90","92408330","1","92408","92408320","1500000000","924083303","3","924082303","924083300","92408340"
"4","90","92408340","1","92408","92408330","0","924083304","3","924082304","924083400","0"
"1","90","92409110","1","92409","0","500000000","924093101","1","924092101","924091100","92409120"
"2","90","92409120","1","92409","92409110","1000000000","924093102","2","924092102","924091200","92409130"
"3","90","92409130","1","92409","92409120","1500000000","924093103","3","924092103","924091300","92409140"
"4","90","92409140","1","92409","92409130","0","924093104","4","924092104","924091400","0"
"1","90","92409210","1","92409","0","500000000","924093201","1","924092201","924092100","92409220"
"2","90","92409220","1","92409","92409210","1000000000","924093202","2","924092202","924092200","92409230"
"3","90","92409230","1","92409","92409220","1500000000","924093203","3","924092203","924092300","92409240"
"4","90","92409240","1","92409","92409230","0","924093204","4","924092204","924092400","0"
"1","90","92409310","1","92409","0","500000000","924093301","1","924092301","924093100","92409320"
"2","90","92409320","1","92409","92409310","1000000000","924093302","2","924092302","924093200","92409330"
"3","90","92409330","1","92409","92409320","1500000000","924093303","3","924092303","924093300","92409340"
"4","90","92409340","1","92409","92409330","0","924093304","4","924092304","924093400","0"
"1","90","92410110","1","92410","0","500000000","924103101","1","924102101","924101100","92410120"
"2","90","92410120","1","92410","92410110","1000000000","924103102","2","924102102","924101200","92410130"
"3","90","92410130","1","92410","92410120","1500000000","924103103","3","924102103","924101300","92410140"
