335cc59ef464086a8722aed110c93f27144fe7155b78d382ee5621e084585f29,a8c4bfafe8ecfadc9fe5b5397caee52e61d727360975d843bec0435faa8ef0d6,2eb9b643fd0712e701ffcba406491a6a3c8033b57bd08ae8515b115e0f24b802,c7c10702b88446ae9f8a51a142809c6684092f9100220c5f5ee78b0c0179039e,de8c9f3514fa2b70ed229ea59fdcb0f87b7122d701024fce328ef9b3f560cf89
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_1-3","1"
"キャラのRANK1～4で必要となる装備アイテム","RANK3～6の装備アイテム","99002","eq_rank_3-6","2"
"キャラのRANK4～7で必要となる装備アイテム","RANK4～7の装備アイテム","99002","eq_rank_4-7","3"
"","ハツネのメモリーピース","99002","1000120101","4"
"","シオリのメモリーピース","99002","1000120102","5"
"","ミソギのメモリーピース","99002","1000220101","6"
"","ミミのメモリーピース","99002","1000220102","7"
"","マホのメモリーピース","99002","1000320101","8"
"","カオリのメモリーピース","99002","1000320102","9"
"","コッコロ（サマー）のメモリーピース","99002","1000420101","10"
"","サレンのメモリーピース","99002","1000420102","11"
"キャラのRANK5～8で必要となる装備アイテム","RANK5～8の装備アイテム","99002","eq_rank_5-8","12"
"","ミフユ（サマー）のメモリーピース","99002","1000520101","13"
"","アキノのメモリーピース","99002","1000520102","14"
"","ジュンのメモリーピース","99002","1000620101","15"
"","ユカリのメモリーピース","99002","1000620102","16"
"","ミヤコ（ハロウィン）のメモリーピース","99002","1000720101","17"
"","ヨリのメモリーピース","99002","1000720102","18"
"","アンナのメモリーピース","99002","1000820101","19"
"","ミツキのメモリーピース","99002","1000820102","20"
"","クルミ（クリスマス）のメモリーピース","99002","1000920101","21"
"","ノゾミのメモリーピース","99002","1000920102","22"
"","レイ（ニューイヤー）のメモリーピース","99002","1001020101","23"
"","ユイのメモリーピース","99002","1001020102","24"
"","エリコ（バレンタイン）のメモリーピース","99002","1001120101","25"
"","リノのメモリーピース","99002","1001120102","26"
"","マコトのメモリーピース","99002","1001220101","27"
"","ユキのメモリーピース","99002","1001220102","28"
"","ルゥのメモリーピース","99002","1001320101","29"
"","イオのメモリーピース","99002","1001320102","30"
"","ハツネのメモリーピース","99002","1001420101","31"
"","シオリのメモリーピース","99002","1001420102","32"
"","マコトのメモリーピース","99002","1001520101","33"
"","ユキのメモリーピース","99002","1001520102","34"
"","ミソギのメモリーピース","99002","1001620101","35"
"","ミミのメモリーピース","99002","1001620102","36"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_2-4","37"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_2-5","38"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_3-6","39"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_4-5","40"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_6-7","41"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_7-8","42"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_8-10","43"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_8-11","44"
"ランダムな装備が獲得できる。","ランダム装備BOX","99002","box_rank_9-12","45"
"","ラムのメモリーピース","99002","1001720101","46"
"","スズメのメモリーピース","99002","1001720102","47"
"","マホのメモリーピース","99002","1001820101","48"
"","カオリのメモリーピース","99002","1001820102","49"
"","イオ（サマー）のメモリーピース","99002","1001920101","50"
"","ミサキのメモリーピース","99002","1001920102","51"
"","コッコロ（サマー）のメモリーピース","99002","1002020103","52"
"","サレンのメモリーピース","99002","1002020104","53"
"","カオリ（サマー）のメモリーピース","99002","1002120103","54"
"","カスミのメモリーピース","99002","1002120104","55"
"","ミフユ（サマー）のメモリーピース","99002","1002220101","56"
"","アキノのメモリーピース","99002","1002220102","57"
"","ルカのメモリーピース","99002","1002320101","58"
"","アオイのメモリーピース","99002","1002320102","59"
