4fca82ba5bc12127dd1d1b60b4dd4062a487f4a750e3d644a89cc0b5ed1e839b,7c57e9f5fe273bc7c7500c558cb4b59a5fe66379fe7d1c4957135014152b0f3e,3f0d569664c68472628b8bc785cb83156d05839f7b57c080a7b80c858e307576,51dddd435eb6b4740780aa3ce8e23ac91a668f7ea3098e418d17f5ccde51eb1e,1569262dc5ccfbaf564cee7bfa4f7833d511998dc7c701da278911e06f8362c8,a856116b877f4c6448461059c3dd4054d78a9d3d2b647b91fa96918fe3575778,a236dac911397765abd74480b71a2149d15e61f6cec249464a2a9a5f2bdbdfd6,b08175ddc566299471aa274bde7df61e3e1b9d7e33bd69d597a17eea6b917a25
"1","3050100","1","0","24","0","1","10101020"
"2","4010200","1","0","24","0","2","0"
"3","3030200","1","0","24","0","3","10401020"
"4","3050200","1","0","24","0","4","10401020"
"5","3040200","1","0","24","0","5","10401020"
"6","3020200","1","0","24","0","6","10401020"
"7","4010300","1","0","24","0","7","0"
"101","3030100","1","0","24","0","8","10101020"
"102","3010201","1","0","24","0","9","0"
"103","3020201","1","0","24","0","10","0"
"104","3010301","1","0","24","0","11","0"
"105","3030301","1","0","24","0","12","0"
"106","3040301","1","0","24","0","13","0"
"107","3050301","1","0","24","0","14","0"
"108","3020301","1","0","24","0","15","0"
"109","3030300","1","0","24","0","16","10401050"
"110","3040300","1","0","24","0","17","10401050"
"111","3050300","1","0","24","0","18","10401050"
"112","3020300","1","0","24","0","19","10401050"
"201","3010100","1","0","24","0","20","10101020"
"202","3020100","1","0","24","0","21","10101020"
"203","3030100","1","0","24","0","22","10101020"
"204","3040100","1","0","24","0","23","10101020"
"205","3050100","1","0","24","0","24","10101020"
"206","3010200","1","0","24","0","25","10101020"
"207","3020200","1","0","24","0","26","10101020"
"208","3030200","1","0","24","0","27","10101020"
"209","3040200","1","0","24","0","28","10101020"
"210","3050200","1","0","24","0","29","10101020"
"401","1010301","1","0","24","112","30","0"
"402","1020301","1","0","24","203","31","0"
"403","1030301","1","0","24","306","32","0"
"404","1040301","1","0","24","401","33","0"
"405","1050301","1","0","24","508","34","0"
"406","1020301","1","0","24","209","35","20101050"
"407","1030301","1","0","24","306","36","20101050"
"408","1040301","1","0","24","407","37","20101050"
"409","1050301","1","0","24","501","38","20101050"
"600","0","1","11001337","15","0","39","0"
"600","0","150","91002","8","0","40","0"
"700","0","1","11001338","15","0","41","0"
"799","0","150","91002","8","0","42","0"
"800","0","1","11001339","15","0","43","0"
"999","0","1","0","24","0","44","0"
