68934b6350160df7746353258bd875b290bf55d08a67c3be67adc5cd2fef5a6c,8fb7130a2a6cff44dec6c0c32255656e49c26a5fc42bffa5826b2a6803da9e68,dbbf8d0b5909576ea8ee2ce261fada1cad57237e1058d48a72e6f38eb750dbb7,704ceaa5a297962b61be6c6c4c73c2c4e660ebb2e72d820df5d5a287e6282a32,bd92063b4559cf681ec8a2d9c5d5d3193be2dd9485b6e5522963bd9a70d77943,9fe9323164336cd59894f40d7bcd182fadd8342ced9a9996705babbd246877df,24a6c429c85c73e9d19f85c0962e7a8f99e5d3da25da91d898ca37aa6330f869,469794e603b804f213ce77d3cd1bebd112b5fec1974b5141dfa8cacdcb34a952,4aed1d0b99f02b9164700547786c57cb7aad8ae97254ff5f1859bb61fe6d8c2a
"1","1","0","90001","30000","90043","12000","10","10000"
"2","2","0","90002","30000","90047","24000","20","10000"
"3","3","0","90002","30000","90047","24000","20","10000"
"4","4","0","90002","30000","90047","24000","20","10000"
"5","5","0","90002","30000","90047","24000","20","10000"
"6","6","0","90002","30000","90047","24000","20","10000"
"7","7","0","90002","30000","90047","24000","20","10000"
"8","8","0","90002","30000","90047","24000","20","10000"
"9","9","0","90002","30000","90047","24000","20","10000"
"10","10","0","90002","30000","90047","24000","20","10000"
"11","11","90011","90003","30000","90051","48000","40","10000"
"12","12","90011","90003","30000","90051","48000","40","10000"
"13","13","90011","90003","30000","90051","48000","40","10000"
"14","14","90011","90003","30000","90051","48000","40","10000"
"15","15","90011","90003","30000","90051","48000","40","10000"
"16","16","90011","90003","30000","90051","48000","40","10000"
"17","17","90011","90003","30000","90051","48000","40","10000"
"18","18","90011","90003","30000","90051","48000","40","10000"
"19","19","90011","90003","30000","90051","48000","40","10000"
"20","20","90011","90003","30000","90051","48000","40","10000"
"21","21","90015","90004","30000","90055","72000","60","10000"
"22","22","90015","90004","30000","90055","72000","60","10000"
"23","23","90015","90004","30000","90055","72000","60","10000"
"24","24","90015","90004","30000","90055","72000","60","10000"
"25","25","90015","90004","30000","90055","72000","60","10000"
"26","26","90015","90004","30000","90055","72000","60","10000"
"27","27","90015","90004","30000","90055","72000","60","10000"
"28","28","90015","90004","30000","90055","72000","60","10000"
"29","29","90015","90004","30000","90055","72000","60","10000"
"30","30","90015","90004","30000","90055","72000","60","10000"
"31","31","90015","90005","30000","90059","96000","80","10000"
"32","32","90015","90005","30000","90059","96000","80","10000"
"33","33","90015","90005","30000","90059","96000","80","10000"
"34","34","90015","90005","30000","90059","96000","80","10000"
"35","35","90015","90005","30000","90059","96000","80","10000"
"36","36","90015","90005","30000","90059","96000","80","10000"
"37","37","90015","90005","30000","90059","96000","80","10000"
"38","38","90015","90005","30000","90059","96000","80","10000"
"39","39","90015","90005","30000","90059","96000","80","10000"
"40","40","90015","90005","30000","90059","96000","80","10000"
"41","41","90017","90005","30000","90063","144000","120","10000"
"42","42","90017","90005","30000","90063","144000","120","10000"
"43","43","90017","90005","30000","90063","144000","120","10000"
"44","44","90017","90005","30000","90063","144000","120","10000"
"45","45","90017","90005","30000","90063","144000","120","10000"
"46","46","90017","90005","30000","90063","144000","120","10000"
"47","47","90017","90005","30000","90063","144000","120","10000"
"48","48","90017","90005","30000","90063","144000","120","10000"
"49","49","90017","90005","30000","90063","144000","120","10000"
"50","50","90017","90005","30000","90063","144000","120","10000"
"51","51","90019","90006","30000","90067","180000","150","10000"
"52","52","90019","90006","30000","90067","180000","150","10000"
"53","53","90019","90006","30000","90067","180000","150","10000"
"54","54","90019","90006","30000","90067","180000","150","10000"
"55","55","90019","90006","30000","90067","180000","150","10000"
"56","56","90019","90006","30000","90067","180000","150","10000"
"57","57","90019","90006","30000","90067","180000","150","10000"
"58","58","90019","90006","30000","90067","180000","150","10000"
"59","59","90019","90006","30000","90067","180000","150","10000"
"60","60","90019","90006","30000","90067","180000","150","10000"
"61","61","90021","90007","30000","90071","216000","180","10000"
"62","62","90021","90007","30000","90071","216000","180","10000"
"63","63","90021","90007","30000","90071","216000","180","10000"
"64","64","90021","90007","30000","90071","216000","180","10000"
"65","65","90021","90007","30000","90071","216000","180","10000"
"66","66","90021","90007","30000","90071","216000","180","10000"
"67","67","90021","90007","30000","90071","216000","180","10000"
"68","68","90021","90007","30000","90071","216000","180","10000"
"69","69","90021","90007","30000","90071","216000","180","10000"
"70","70","90021","90007","30000","90071","216000","180","10000"
