f07412470e7cb8eee76f4003e4a9773513f4acc24095eb0fbd9d0580c319df2c,a061e442f03945c9d5251d4954ef518fbcfd269e53a58230b61600d0a6de7167,e005c25cd32adbc10ab82e7be0115290e789692fe1dc5b1907be6d96b92199da,af937db9d4b17acb98b537a1732384e5d8c1174e2c94a42dcde0e69429a3a1a6,ce6d12d101af4e3040ec656df528c9149492376f86a1d41b7f4473cb92a197d5,c7b18895d372e21c18135dc02e052ed40f09b3fec8a9fdf1bd9ced3ad8cefd6c,c2a74ce2b0b723e6294b7e0974401652e47faeb8c75a436f2abeec78179c0d1d,e814656ce74325497e47ab3666127141693f730c8c5b5f8dcd6e18c86a345981,547a439eee08affca6e4e7f43d0edc436657512a1962d10808b6f925e7c21a37,7e6f9ad4323ed6a9413298bd8835a167d9eabf07489e5ec9a3b61e7dd845d998,89d7f9a5d99c9afb5ea71c96d1117da450ed9270f252287a8a579a45227b741f
"167","1","1","100","1","1","-224","1.65","129811","drama_idle","1001"
"-49","1","1","100","1","0","-224","1.65","129911","drama_idle","1002"
"","3","1","1","129811","","","0.2","drama_idle","","1003"
"drama_talk_arm_crossed_loop","3","1","0","129911","0","1","0.2","drama_talk_arm_crossed_in","","1004"
"0","21","1","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_1_000","","1005"
"1","11","1","6","129911","0","0","0","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0","1006"
"","91","1","","0","","","","","","1007"
"","3","1","1","129911","","","0.2","drama_idle_arm_crossed","","1008"
"drama_talk_doya_loop_smile","3","1","0","129811","0","1","0.2","drama_talk_doya_in_smile","","1009"
"0","21","1","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_1_001","","1010"
"1","11","1","6","129811","0","0","0","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0.3","1011"
"","91","1","","0","","","","","","1012"
"","3","1","1","129811","","","0.2","drama_idle_arm_crossed","","1013"
"drama_talk_smile_loop","3","1","0","129911","0","1","0.2","drama_talk_smile_in","","1014"
"0","21","1","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_1_002","","1015"
"1","11","1","5","129911","0","0","0","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0.5","1016"
"","91","1","","0","","","","","","1017"
"","3","1","1","129911","","","0.2","drama_idle","","1018"
"","3","1","1","129811","","","0.2","drama_idle","","1019"
"167","1","2","100","1","1","-224","1.65","129811","drama_idle","2001"
"-49","1","2","100","1","0","-224","1.65","129911","drama_idle","2002"
"","3","2","1","129911","","","0.2","drama_idle","","2003"
"drama_talk_admire_loop","3","2","0","129811","","1","0.2","drama_talk_admire_in","","2004"
"0","21","2","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_2_000","","2005"
"1","11","2","7","129811","0","0","0","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0.5","2006"
"","91","2","","0","","","","","","2007"
"","3","2","1","129811","","","0.2","drama_idle_admire","","2008"
"drama_talk_arm_crossed_loop","3","2","0","129911","","1","0.2","drama_talk_arm_crossed_in","","2009"
"0","21","2","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_2_001","","2010"
"1","11","2","5","129911","0","0","0","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0.3","2011"
"","91","2","","0","","","","","","2012"
"","3","2","1","129911","","","0.2","drama_idle_arm_crossed","","2013"
"drama_talk_guts2_loop","3","2","0","129811","","1","0.2","drama_talk_guts2_in","","2014"
"0","21","2","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_2_002","","2015"
"1","11","2","8","129811","0","0","0","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0.3","2016"
"","91","2","","0","","","","","","2017"
"","3","2","1","129811","","","0.2","drama_idle","","2018"
"","3","2","1","129911","","","0.2","drama_idle","","2019"
"167","1","3","100","1","1","-224","1.65","129811","drama_idle","3001"
"-49","1","3","100","1","0","-224","1.65","129911","drama_idle","3002"
"","3","3","1","129811","","","0.2","drama_idle","","3003"
"","3","3","1","129911","","","0.2","drama_talk_thinking","","3004"
"0","21","3","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_3_000","","3005"
"1","11","3","5","129911","0","0","0","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0.8","3006"
"","91","3","","0","","","","","","3007"
"","3","3","1","129911","","","0.2","drama_idle_thinking","","3008"
"drama_talk_sad_loop","3","3","0","129811","","1","0.2","drama_talk_sad_in","","3009"
"0","21","3","0","vo_minigame_1013","","","","vo_minigame_1013_top_talk_3_001","","3010"
"1","11","3","7","129811","0","0","0","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0.5","3011"
"","91","3","","0","","","","","","3012"
"","3","3","1","129811","","","0.2","drama_idle_sad","","3013"
