097e5362e6c3a5123fd396ee61dfbacedf110c472fbfb191b38da2a8f92378db,d56198a22a09f9684993877820b4cff958b550765c9e60770681dac8981f3cc1,20002db7c9ec354b606da1f5729f1e7a015582b857a12d20aac4ee5ec58ab610,1c4edc204ec04da0d8e64b8aa0ee3c6d8ff4b7ae9812abb413786186db38b658,04a72e9523f1a1d54969c4dc0f38d92c146fc26fe925a4e8268e36fdd74a5760,a608a07f3e72f2f54f53f87dc5f63cd70b296456d73f5311d08ea15f7b542b4b,932b1210c5adb5c339af54356da50153d1ea33ded134a40852880011c4fe7616,664554393f6fbea198e9d270c3ee7295b68d006ebf9894687daece289e891e84,e88a34402f138427001efedd82fb358b669fb5fca8483fba8b7ff55918e35e79,7837b131a47f5d5b982611790a493710bc30fdf7f2fc9f8178ddd4c3b8656482,d448e631ba2e027e6c7af42aaa9c8e635c86f0176a2ed449ef938998698afe0e
"0","1","100","1001","bsm_idle_yamato","1","1","130011","1.3","0","0"
"1","1","0","1002","","3","130011","bsm_drama_arm_crossed","0.2","bsm_drama_arm_crossed_loop","0"
"","1","0","1003","","21","vo_minigame_1014","vo_minigame_1014_top_1000","","0",""
"0","1","5","1004","1","11","130011","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","0","1","0"
"","1","","1005","","91","0","","","",""
"","1","1","1006","","3","130011","bsm_idle_yamato","0.3","",""
"0","2","100","2001","bsm_idle_yamato","1","1","130011","1.3","0","0"
"","2","1","2002","","3","130011","bsm_drama_thinking","0.2","",""
"","2","0","2003","","21","vo_minigame_1014","vo_minigame_1014_top_1001","","0",""
"0","2","6","2004","1","11","130011","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","0","1","0"
"","2","","2005","","91","0","","","",""
"","2","1","2006","","3","130011","bsm_idle_yamato","0.3","",""
"0","3","100","3001","bsm_idle_yamato","1","1","130011","1.3","0","0"
"1","3","0","3002","","3","130011","bsm_drama_doya","0.2","bsm_drama_doya_loop","0"
"","3","0","3003","","21","vo_minigame_1014","vo_minigame_1014_top_1002","","0",""
"0","3","7","3004","1","11","130011","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","0","1","0"
"","3","","3005","","91","0","","","",""
"","3","1","3006","","3","130011","bsm_idle_yamato","0.3","",""
"0","4","100","4001","bsm_idle_wakana","1","1","130111","1.3","0","0"
"1","4","0","4002","","3","130111","bsm_drama_guts","0.2","bsm_drama_guts_loop","0"
"","4","0","4003","","21","vo_minigame_1014","vo_minigame_1014_top_2000","","0",""
"0","4","8","4004","1","11","130111","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","0","1","0"
"","4","","4005","","91","0","","","",""
"","4","1","4006","","3","130111","bsm_idle_wakana","0.3","",""
"0","5","100","5001","bsm_idle_wakana","1","1","130111","1.3","0","0"
"","5","1","5002","","3","130111","bsm_drama_wish","0.2","",""
"","5","0","5003","","21","vo_minigame_1014","vo_minigame_1014_top_2001","","0",""
"0","5","8","5004","1","11","130111","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","0","1","0"
"","5","","5005","","91","0","","","",""
"","5","1","5006","","3","130111","bsm_idle_wakana","0.3","",""
"0","6","100","6001","bsm_idle_wakana","1","1","130111","1.3","0","0"
"","6","1","6002","","3","130111","bsm_drama_pazzled","0.2","",""
"","6","0","6003","","21","vo_minigame_1014","vo_minigame_1014_top_2002","","0",""
"0","6","7","6004","1","11","130111","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","0","1","0"
"","6","","6005","","91","0","","","",""
"","6","1","6006","","3","130111","bsm_idle_wakana","0.3","",""
"0","7","100","7001","bsm_idle_fubuki","1","1","130211","1.3","0","0"
"","7","1","7002","","3","130211","bsm_drama_smile","0.2","",""
"","7","0","7003","","21","vo_minigame_1014","vo_minigame_1014_top_3000","","0",""
"0","7","5","7004","1","11","130211","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","0","1","0"
"","7","","7005","","91","0","","","",""
"","7","1","7006","","3","130211","bsm_idle_fubuki","0.2","",""
"0","8","100","8001","bsm_idle_fubuki","1","1","130211","1.3","0","0"
"1","8","0","8002","","3","130211","bsm_drama_doya","0.2","bsm_drama_doya_loop",""
"","8","0","8003","","21","vo_minigame_1014","vo_minigame_1014_top_3001","","0",""
"0","8","7","8004","1","11","130211","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","0","1","0"
"","8","","8005","","91","0","","","",""
"","8","1","8006","","3","130211","bsm_idle_fubuki","0.2","",""
"0","9","100","9001","bsm_idle_fubuki","1","1","130211","1.3","0","0"
"1","9","0","9002","","3","130211","bsm_drama_laugh","0.2","bsm_drama_laugh_loop","0"
"","9","0","9003","","21","vo_minigame_1014","vo_minigame_1014_top_3002","","0",""
"0","9","7","9004","1","11","130211","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","0","1","0"
"","9","","9005","","91","0","","","",""
"","9","1","9006","","3","130211","bsm_idle_fubuki","0.2","",""
