a6adc01f15a9fa8c758cbfdc94abc7538a7873001c8ff422d5b141196b57a3b9,e7eb7a2d9f1d03f2bd84ae3d4cad2f47245f2c24165f8b1015a9932884ff1758,d99c0cf50dfe26ffa9d45e784b2bbdfb77bab959e74a32464120e0503cd38cb6,8d7143aa7f5ca934b8a616b31aa53fae4f12f82a386e7018af2a7b87ed7345fd,1e8e8c5e8e3c523703fc909b6d7d65f91ead6e05caddc6af1bd95b92ef77cdae,04b8950d29c867b7bb42079722b7c1b0b29658dfdb2dcf053a09bad169f214e1,6d94274c14b4d897d1d04c84e1c7eae5cf17ba29a9fdd4d2dcb23b8a8e8eda96,0f4bed934a3a72723ccaaa2b8e59da40a854a0b9e3c1692e9fbe949c7519a64a,a1d8e3a029c8995b7c65563db92acd2dced48381edae1f7f1939c8be47cc91e5,0abcce5a381eb9e76bf5458e59017b0b59b28dc31129999d90b9406ddccde0a4,74a5f065e32107087ffd89a919436c4cd220799e082e5e38175a0709d27c69d5
"110","1","0","10101","1","250","1","8","オムレツ","0","1010100"
"110","1","0","10101","1","222","1","9","オムレツ","0","1010101"
"110","1","0","10101","1","200","1","10","オムレツ","0","1010102"
"110","1","0","10102","1","400","2","9","オムレツ","0","1010200"
"110","1","0","10102","1","367","2","10","オムレツ","0","1010201"
"110","1","0","10102","1","338","2","11","オムレツ","0","1010202"
"110","1","0","10103","1","640","3","10","オムレツ","0","1010300"
"110","1","0","10103","1","597","3","11","オムレツ","0","1010301"
"110","1","0","10103","1","560","3","12","オムレツ","0","1010302"
"115","1","0","10201","2","275","1","9","ギョーザ","0","1020100"
"115","1","0","10201","2","248","1","10","ギョーザ","0","1020101"
"115","1","0","10201","2","225","1","11","ギョーザ","0","1020102"
"115","1","0","10202","2","440","2","10","ギョーザ","0","1020200"
"115","1","0","10202","2","406","2","11","ギョーザ","0","1020201"
"115","1","0","10202","2","377","2","12","ギョーザ","0","1020202"
"115","1","0","10203","2","704","3","11","ギョーザ","0","1020300"
"115","1","0","10203","2","660","3","12","ギョーザ","0","1020301"
"115","1","0","10203","2","621","3","13","ギョーザ","0","1020302"
"100","1","0","10301","3","200","1","8","タコヤキ","0","1030100"
"100","1","0","10301","3","175","1","9","タコヤキ","0","1030101"
"100","1","0","10301","3","156","1","10","タコヤキ","0","1030102"
"100","1","0","10302","3","320","2","9","タコヤキ","0","1030200"
"100","1","0","10302","3","291","2","10","タコヤキ","0","1030201"
"100","1","0","10302","3","267","2","11","タコヤキ","0","1030202"
"100","1","0","10303","3","512","3","10","タコヤキ","0","1030300"
"100","1","0","10303","3","475","3","11","タコヤキ","0","1030301"
"100","1","0","10303","3","444","3","12","タコヤキ","0","1030302"
"115","1","0","10401","4","225","1","9","オニギリ","0","1040100"
"115","1","0","10401","4","200","1","10","オニギリ","0","1040101"
"115","1","0","10401","4","180","1","11","オニギリ","0","1040102"
"115","1","0","10402","4","360","2","10","オニギリ","0","1040200"
"115","1","0","10402","4","330","2","11","オニギリ","0","1040201"
"115","1","0","10402","4","305","2","12","オニギリ","0","1040202"
"115","1","0","10403","4","576","3","11","オニギリ","0","1040300"
"115","1","0","10403","4","538","3","12","オニギリ","0","1040301"
"115","1","0","10403","4","504","3","13","オニギリ","0","1040302"
"150","1","0","10501","5","300","1","10","ケバブ","0","1050100"
"150","1","0","10501","5","273","1","11","ケバブ","0","1050101"
"150","1","0","10501","5","250","1","12","ケバブ","0","1050102"
"150","1","0","10502","5","480","2","11","ケバブ","0","1050200"
"150","1","0","10502","5","446","2","12","ケバブ","0","1050201"
"150","1","0","10502","5","416","2","13","ケバブ","0","1050202"
"150","1","0","10503","5","768","3","12","ケバブ","0","1050300"
"150","1","0","10503","5","723","3","13","ケバブ","0","1050301"
"150","1","0","10503","5","683","3","14","ケバブ","0","1050302"
"60","2","0","20101","1","160","1","0","タイヤ（特大）","0","2010100"
"60","2","0","20102","1","256","2","0","タイヤ（特大）","0","2010200"
"60","2","0","20103","1","410","3","0","タイヤ（特大）","0","2010300"
"45","2","0","20201","2","145","1","0","タイヤ（大）","0","2020100"
"45","2","0","20202","2","232","2","0","タイヤ（大）","0","2020200"
"45","2","0","20203","2","371","3","0","タイヤ（大）","0","2020300"
"30","2","0","20301","3","120","1","0","タイヤ（中）","0","2030100"
"30","2","0","20302","3","192","2","0","タイヤ（中）","0","2030200"
"30","2","0","20303","3","307","3","0","タイヤ（中）","0","2030300"
"15","2","0","20401","4","100","1","0","タイヤ（小）","0","2040100"
