c014ac33dfadf0dd74198997ba467795021505dc09c3d4151757f1eeb0b11ede,fd283fb9e0e2cb64a724fbbc7150f697f1b3941eda9a288ddbd7779b63dd0e59,e5b446b55245f6a5e7944094a44c34a292444910569a09c426aabb3f5195e3ad,17326c6782575512d0de1f03a9c2eb9f3e87fad7d2a27aa3a015d98df9bc6fb9,01ecf5b66b8bdbdd98981768a56e688a992e38bdaee7ab4bc098d43120298291,d375257e4f1fce4f5b5c97a8ef40647cc0026203730fb95ea6855fceb08308d2
"1","10009101","1","0","1","10009106"
"1","10009101","2","0","1","10009112"
"1","10010101","3","0","1","10010110"
"1","10019101","4","0","2","1001901"
"1","10021101","5","0","1","10021112"
"1","10025101","6","0","1","10025109"
"2","10025","7","500810","3","5025001"
"1","20009101","8","0","1","20009106"
"1","20009101","9","0","1","20009112"
"1","20010101","10","0","1","20010110"
"2","10042","12","501001","3","5042001"
"1","20015101","13","0","2","2001501"
"2","10044","14","501031","3","5044001"
"1","20016101","15","0","1","20016112"
"2","10046","16","501103","3","5046002"
"1","10049101","17","0","1","10049109"
"1","10066101","19","0","1","10066112"
"2","10066","20","501291","3","5066005"
"2","10069","21","501001","3","5042001"
"2","10071","22","501031","3","5044001"
"2","10068","23","501341","3","5068001"
"2","10070","24","501353","3","5070004"
"2","10070","25","500016","3","5070005"
"2","10072","26","501364","3","5072004"
"2","10072","27","501365","3","5072006"
"2","10073","28","501103","3","5046002"
"2","10074","29","501383","3","5074001"
"1","10076101","30","0","1","10076112"
"2","10076","31","505036","3","5076005"
"2","10078","32","501451","3","5078004"
"2","10080","33","501463","3","5080005"
"1","10082101","34","0","1","10082105"
"1","10082102","35","0","1","10082108"
"1","10082103","36","0","1","10082111"
"2","10082","37","501160","3","5082002"
"2","10082","38","501031","3","5082004"
"2","10082","39","501483","3","5082005"
"2","10084","40","500368","3","5084001"
"2","10084","41","510306","3","5084002"
"2","10084","42","500039","3","5084003"
"2","10085","43","500368","3","5085002"
"2","10085","44","510203","3","5085003"
"2","10085","45","500272","3","5085004"
"2","10085","46","501501","3","5085005"
"2","10088","47","501810","3","5088005"
"2","20025","50","501001","3","5042001"
"2","10090","51","501541","3","5090002"
"2","20026","55","501031","3","5044001"
"1","10093101","56","0","1","10093112"
"2","10093","57","501291","3","5066005"
"2","20027","58","501103","3","5046002"
"2","10092","59","501031","3","5092001"
"2","10092","60","501551","3","5092004"
"2","10094","61","501593","3","5094001"
"2","10095","62","501341","3","5068001"
"2","20018","67","500810","3","5025001"
"2","10096","68","501613","3","5096002"
"2","10097","73","501353","3","5070004"
"2","10097","74","500016","3","5070005"
"2","10098","75","501031","3","5098000"
"1","10098101","76","0","1","10098104"
"1","10098102","77","0","1","10098111"
"2","10099","78","501364","3","5072004"
"2","10099","79","501365","3","5072006"
"2","10100","80","500837","3","5100003"
"2","10101","82","501383","3","5074001"
"2","10101","83","501383","3","5074001"
"2","10102","84","501873","3","5102002"
"1","10103101","85","0","1","10103112"
"2","10103","86","505036","3","5076005"
"2","10108","88","501911","3","5108002"
"2","10104","89","500133","3","5104003"
"2","10105","90","501451","3","5078004"
"2","10110","93","501931","3","5110005"
"2","10111","94","500013","3","5111005"
"2","10107","95","501463","3","5080005"
"1","10109101","96","0","1","10109105"
"1","10109102","97","0","1","10109108"
"1","10109103","98","0","1","10109111"
"2","10109","99","501160","3","5082002"
"2","10109","100","501031","3","5082004"
"2","10109","101","501483","3","5082005"
"2","10112","103","500368","3","5084001"
"2","10112","104","510306","3","5084002"
"2","10112","105","500039","3","5084003"
"2","10113","106","500368","3","5085002"
"2","10113","107","510203","3","5085003"
"2","10113","108","500272","3","5085004"
"2","10113","109","501501","3","5085005"
"1","10110101","110","0","2","1011001"
"1","20037101","111","0","1","20037112"
"2","20037","112","501291","3","5066005"
"2","10115","113","501810","3","5088005"
"2","10114","114","500016","3","5114000"
"2","10114","115","501952","3","5114003"
"2","20038","116","501341","3","5068001"
"2","10117","117","501541","3","5090002"
"2","20039","121","501353","3","5070004"
"2","20039","122","500016","3","5070005"
"2","10116","123","500837","3","5116004"
"2","10119","124","501031","3","5092001"
"2","10119","125","501551","3","5092004"
"2","10118","126","500133","3","5118002"
"2","10118","127","500810","3","5118003"
"2","10118","128","500133","3","5118007"
"2","20040","129","501364","3","5072004"
"2","20040","130","501365","3","5072006"
"2","10124","132","501614","3","5124003"
"2","20041","133","501383","3","5074001"
"2","10121","135","501593","3","5094001"
"2","10122","136","502003","3","5122000"
"2","10122","137","502015","3","5122002"
"2","10123","138","501613","3","5096002"
"2","20042","139","505036","3","5076005"
"2","20043","140","501451","3","5078004"
"2","10125","141","501031","3","5098000"
"2","10127","143","500837","3","5100003"
"2","20044","144","501463","3","5080005"
"2","10128","145","502063","3","5128001"
"2","10129","146","501873","3","5102002"
"1","20045101","147","0","1","20045105"
"1","20045102","148","0","1","20045108"
"1","20045103","149","0","1","20045111"
"2","20045","150","501160","3","5082002"
"2","20045","151","501031","3","5082004"
"2","20045","152","501483","3","5082005"
"2","20046","153","500368","3","5084001"
"2","20046","154","510306","3","5084002"
"2","20046","155","500039","3","5084003"
"2","20047","156","500368","3","5085002"
"2","20047","157","510203","3","5085003"
"2","20047","158","500272","3","5085004"
"2","20047","159","501501","3","5085005"
"2","10130","160","500016","3","5130001"
"2","10130","161","500133","3","5130007"
"2","10131","162","500133","3","5104003"
"2","10136","163","500143","3","5136002"
"2","10136","164","500175","3","5136004"
"2","10137","165","501622","3","5137002"
"2","10137","166","500133","3","5137005"
"2","20048","167","501810","3","5088005"
"2","10134","168","500553","3","5134007"
"2","10135","169","501911","3","5108002"
"2","10138","170","501931","3","5110005"
"2","10139","171","500013","3","5111005"
"2","20049","172","501541","3","5090002"
"1","10138101","173","0","2","1013801"
"2","10141","174","500016","3","5114000"
"2","10141","175","501952","3","5114003"
"2","10140","180","502224","3","5140002"
"2","20050","181","501031","3","5092001"
"2","20050","182","501551","3","5092004"
"2","10142","183","501683","3","5142001"
"2","10143","184","500837","3","5116004"
"2","10145","185","500133","3","5118002"
"2","10145","186","500810","3","5118003"
"2","10145","187","500133","3","5118007"
"2","20051","188","501593","3","5094001"
"2","20052","189","501613","3","5096002"
"2","10146","1014601","502283","3","5146001"
"2","10149","1014901","502003","3","5122000"
"2","10149","1014902","502015","3","5122002"
"2","10151","1015101","501614","3","5124003"
"2","10154","1015401","502373","3","5154007"
"2","10156","1015601","502074","3","5156001"
"2","10156","1015602","502394","3","5156002"
"2","10157","1015701","502063","3","5128001"
"2","10158","1015801","500880","3","5158003"
"2","10159","1015901","500016","3","5130001"
"2","10159","1015902","500133","3","5130007"
"2","10163","1016301","500553","3","5134007"
"2","10164","1016401","500143","3","5136002"
"2","10164","1016402","500175","3","5136004"
"2","10165","1016501","501622","3","5137002"
"2","10165","1016502","500133","3","5137005"
"2","10166","1016601","502224","3","5140002"
