ccc12df5a8c1c8efcaf2d21873a81549e77d6f3b26b024bb019d4a4fc6e01b22,984baa168861bd956128304cb2c3374daeab3c70863ce51dea483b87d11c2e93,1f8deaa537618d8fe4e6c2f686ebc863253dd031a30518d3ed133c0b8781b9fe,060d95f7ad8c39782d693d76f42a19d88402cc719c00849798e3d1ab3212a22f,57ccccac6f731b4ca31fe115e75c7778d7e20f4738de0898c2e1d57a41dacb39
"1","94002","5000000","100101","12"
"2","90008","2000","100102","2"
"3","25001","20","100103","2"
"4","90008","2500","100104","2"
"5","25001","30","100105","2"
"6","91002","300","100106","8"
"7","41000","1","100107","2"
"8","94002","5000000","100108","12"
"9","94002","1000000","100109","12"
"10","94002","1000000","100110","12"
"11","94002","1000000","100111","12"
"12","20004","400","100112","2"
"13","20004","300","100113","2"
"14","20004","200","100114","2"
"15","94002","1000000","100115","12"
"16","94002","1000000","100116","12"
"17","94002","1000000","100117","12"
"18","20004","400","100118","2"
"19","20004","300","100119","2"
"20","20004","200","100120","2"
"21","94002","1000000","100121","12"
"22","94002","1000000","100122","12"
"23","94002","1000000","100123","12"
"24","20004","400","100124","2"
"25","20004","300","100125","2"
"26","20004","200","100126","2"
"27","94002","5000000","100201","12"
"28","90008","2000","100202","2"
"29","25001","20","100203","2"
"30","90008","2500","100204","2"
"31","25001","30","100205","2"
"32","91002","300","100206","8"
"33","41000","1","100207","2"
"34","94002","5000000","100208","12"
"35","94002","1000000","100209","12"
"36","94002","1000000","100210","12"
"37","94002","1000000","100211","12"
"38","20004","400","100212","2"
"39","20004","300","100213","2"
"40","20004","200","100214","2"
"41","94002","1000000","100215","12"
"42","94002","1000000","100216","12"
"43","94002","1000000","100217","12"
"44","20004","400","100218","2"
"45","20004","300","100219","2"
"46","20004","200","100220","2"
"47","94002","1000000","100221","12"
"48","94002","1000000","100222","12"
"49","94002","1000000","100223","12"
"50","20004","400","100224","2"
"51","20004","300","100225","2"
"52","20004","200","100226","2"
"53","94002","5000000","100301","12"
"54","90008","2000","100302","2"
"55","25001","20","100303","2"
"56","90008","2500","100304","2"
"57","25001","30","100305","2"
"58","91002","300","100306","8"
"59","41000","1","100307","2"
"60","94002","5000000","100308","12"
"61","94002","1000000","100309","12"
"62","94002","1000000","100310","12"
"63","94002","1000000","100311","12"
"64","20004","400","100312","2"
"65","20004","300","100313","2"
"66","20004","200","100314","2"
"67","94002","1000000","100315","12"
"68","94002","1000000","100316","12"
"69","94002","1000000","100317","12"
"70","20004","400","100318","2"
"71","20004","300","100319","2"
"72","20004","200","100320","2"
"73","94002","1000000","100321","12"
"74","94002","1000000","100322","12"
"75","94002","1000000","100323","12"
"76","20004","400","100324","2"
"77","20004","300","100325","2"
"78","20004","200","100326","2"
"79","94002","5000000","100401","12"
"80","90008","2000","100402","2"
"81","25001","20","100403","2"
"82","90008","2500","100404","2"
"83","25001","30","100405","2"
"84","91002","300","100406","8"
"85","41000","1","100407","2"
"86","94002","5000000","100408","12"
"87","94002","1000000","100409","12"
"88","94002","1000000","100410","12"
"89","94002","1000000","100411","12"
"90","20004","400","100412","2"
"91","20004","300","100413","2"
"92","20004","200","100414","2"
"93","94002","1000000","100415","12"
"94","94002","1000000","100416","12"
"95","94002","1000000","100417","12"
"96","20004","400","100418","2"
"97","20004","300","100419","2"
"98","20004","200","100420","2"
"99","94002","1000000","100421","12"
"100","94002","1000000","100422","12"
"101","94002","1000000","100423","12"
"102","20004","400","100424","2"
"103","20004","300","100425","2"
"104","20004","200","100426","2"
"105","94002","5000000","100501","12"
"106","90008","2000","100502","2"
"107","25001","20","100503","2"
"108","90008","2500","100504","2"
"109","25001","30","100505","2"
"110","91002","300","100506","8"
"111","41000","1","100507","2"
"112","94002","5000000","100508","12"
"113","94002","1000000","100509","12"
"114","94002","1000000","100510","12"
"115","94002","1000000","100511","12"
"116","20004","400","100512","2"
"117","20004","300","100513","2"
"118","20004","200","100514","2"
"119","94002","1000000","100515","12"
"120","94002","1000000","100516","12"
"121","94002","1000000","100517","12"
"122","20004","400","100518","2"
"123","20004","300","100519","2"
"124","20004","200","100520","2"
"125","94002","1000000","100521","12"
"126","94002","1000000","100522","12"
"127","94002","1000000","100523","12"
"128","20004","400","100524","2"
"129","20004","300","100525","2"
"130","20004","200","100526","2"
"131","94002","5000000","100601","12"
"132","90008","2000","100602","2"
"133","25001","20","100603","2"
"134","90008","2500","100604","2"
"135","25001","30","100605","2"
"136","91002","300","100606","8"
"137","41000","1","100607","2"
"138","94002","5000000","100608","12"
"139","94002","1000000","100609","12"
"140","94002","1000000","100610","12"
"141","94002","1000000","100611","12"
"142","20004","400","100612","2"
"143","20004","300","100613","2"
"144","20004","200","100614","2"
"145","94002","1000000","100615","12"
"146","94002","1000000","100616","12"
"147","94002","1000000","100617","12"
"148","20004","400","100618","2"
"149","20004","300","100619","2"
"150","20004","200","100620","2"
"151","94002","1000000","100621","12"
"152","94002","1000000","100622","12"
"153","94002","1000000","100623","12"
"154","20004","400","100624","2"
"155","20004","300","100625","2"
"156","20004","200","100626","2"
"157","94002","5000000","100701","12"
"158","90008","2000","100702","2"
"159","25001","20","100703","2"
"160","90008","2500","100704","2"
"161","25001","30","100705","2"
"162","91002","300","100706","8"
"163","41000","1","100707","2"
"164","94002","5000000","100708","12"
"165","94002","1000000","100709","12"
"166","94002","1000000","100710","12"
"167","94002","1000000","100711","12"
"168","20004","400","100712","2"
"169","20004","300","100713","2"
"170","20004","200","100714","2"
"171","94002","1000000","100715","12"
"172","94002","1000000","100716","12"
"173","94002","1000000","100717","12"
"174","20004","400","100718","2"
"175","20004","300","100719","2"
"176","20004","200","100720","2"
"177","94002","1000000","100721","12"
"178","94002","1000000","100722","12"
"179","94002","1000000","100723","12"
"180","20004","400","100724","2"
"181","20004","300","100725","2"
"182","20004","200","100726","2"
"183","94002","5000000","100801","12"
"184","90008","2000","100802","2"
"185","25001","20","100803","2"
"186","90008","2500","100804","2"
"187","25001","30","100805","2"
"188","91002","300","100806","8"
"189","41000","1","100807","2"
"190","94002","5000000","100808","12"
"191","94002","1000000","100809","12"
"192","94002","1000000","100810","12"
"193","94002","1000000","100811","12"
"194","20004","400","100812","2"
"195","20004","300","100813","2"
"196","20004","200","100814","2"
"197","94002","1000000","100815","12"
"198","94002","1000000","100816","12"
"199","94002","1000000","100817","12"
