3be39494c2939f9cc6aa4ad132d3f0bcb14c9787f0a4b398534557745a20b530,683c084a7d82be5334af3549eb4b124f8432fa5368627f73cf8fca0e41dc7330,2c91b8aff5910d090ece010ac254e2d715eff7a1b07fb8aa0e5aeccb4e213bdb,b51840d77b429f8bb72c2150a75055d352a4e3c4d460ae4990e2758747380bf8,f97f4c08088d65304039230cf637cdc03210cab42c0ad52c597edf72de9092f7,517380012855babaed73189a78c3d54987f806a6ff4bc4066722c3518725895d,7717797f16b06a5302d80dbe7f13f77c0ce1faabfd7053f104ce336388751aa1,056fbde23af32ac586d463ebcee680816e9bfb18232782e395b5fdf4c2cd7cc2,7be83e134dfaf6c850e83c369d5a10f11fc0354bb9d635caa14b123891d27879
"18001001","93001","100","-1","6","2030/12/31 23:59:59","2018/01/01 5:00:00","1","1"
"18001002","93001","100","-1","6","2030/12/31 23:59:59","2018/01/01 5:00:00","2","1"
"11001001","0","30","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","3","1"
"11001001","94002","30000","-1","12","2020/11/16 4:59:59","2018/01/01 5:00:00","4","1"
"11001001","91002","10","-1","8","2020/11/16 4:59:59","2018/01/01 5:00:00","5","1"
"11003001","0","40","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","6","1"
"11003001","20002","2","-1","2","2020/11/16 4:59:59","2018/01/01 5:00:00","7","1"
"11003001","91002","10","-1","8","2020/11/16 4:59:59","2018/01/01 5:00:00","8","1"
"13002001","0","20","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","9","1"
"18004001","0","20","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","10","1"
"16006001","0","25","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","11","1"
"16007001","0","25","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","12","1"
"16007001","22001","3","-1","2","2020/11/16 4:59:59","2018/01/01 5:00:00","13","1"
"11004001","0","30","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","14","1"
"11004001","20002","2","-1","2","2020/11/16 4:59:59","2018/01/01 5:00:00","15","1"
"11004001","90007","500","-1","2","2020/11/16 4:59:59","2018/01/01 5:00:00","16","1"
"11005001","0","40","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","17","1"
"11005001","94002","30000","-1","12","2020/11/16 4:59:59","2018/01/01 5:00:00","18","1"
"11005001","90007","500","-1","2","2020/11/16 4:59:59","2018/01/01 5:00:00","19","1"
"11006001","0","30","-1","5","2030/12/31 23:59:59","2018/01/01 5:00:00","20","1"
"11006001","20003","2","-1","2","2030/12/31 23:59:59","2018/01/01 5:00:00","21","1"
"15004001","0","30","-1","5","2022/12/16 4:59:59","2018/01/01 5:00:00","22","1"
"15004001","90007","100","-1","2","2022/12/16 4:59:59","2018/01/01 5:00:00","23","1"
"14001001","0","40","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","24","1"
"14001001","94002","80000","-1","12","2020/11/16 4:59:59","2018/01/01 5:00:00","25","1"
"14001001","20003","2","-1","2","2020/11/16 4:59:59","2018/01/01 5:00:00","26","1"
"14003001","0","50","-1","5","2020/11/16 4:59:59","2018/01/01 5:00:00","27","1"
"14003001","94002","140000","-1","12","2020/11/16 4:59:59","2018/01/01 5:00:00","28","1"
