c2a4c09208e5dcfaf736230127a709d87afc3a5489ad9aac58f287383f7f0dd6,a64717a2a3bc542906f0130f2e6d245afdc846d2c10af5cdcf1aa65b850b3617,fa28d61e205565c0aa3176720a2cd6edda97bb40c4fcafe6e601b32eaa13a042,3e3fbc00198cb5d581ed94deb383bc8e2f013e1490a0bf11f0ca22a85386ad83,bd80c15f88f093861454b36756963acef06b7c4a4c61bc1bc7fa1755c2263d52,3c34c1ca1d36a48c49c5045e1fe2305afebd5fd64bad5872cecbba4ad115a777
"1","50000","1","26202","50000","2"
"1","10","2","90013","10","2"
"1","1","3","26203","0","2"
"2","55000","4","26202","55000","2"
"2","10","5","90013","10","2"
"2","1","6","26203","0","2"
"3","60000","7","26202","60000","2"
"3","10","8","90013","10","2"
"3","1","9","26203","0","2"
"4","65000","10","26202","65000","2"
"4","10","11","90013","10","2"
"4","1","12","26203","0","2"
"5","70000","13","26202","70000","2"
"5","10","14","90013","10","2"
"5","1","15","26203","0","2"
"6","75000","16","26202","75000","2"
"6","10","17","90013","10","2"
"6","1","18","26203","0","2"
"7","80000","19","26202","80000","2"
"7","10","20","90013","10","2"
"7","1","21","26203","0","2"
"8","85000","22","26202","85000","2"
"8","10","23","90013","10","2"
"8","1","24","26203","0","2"
"9","90000","25","26202","90000","2"
"9","20","26","90013","20","2"
"9","1","27","26203","0","2"
"10","95000","28","26202","95000","2"
"10","20","29","90013","20","2"
"10","1","30","26203","0","2"
"11","100000","31","26202","100000","2"
"11","20","32","90013","20","2"
"11","1","33","26203","0","2"
"12","105000","34","26202","105000","2"
"12","20","35","90013","20","2"
"12","1","36","26203","0","2"
