24dbc65c5474269cf84f9da8f64015e9e0a9f6c0a67f8853a458abca12ac6bdd,c8e7a46d4fdb22552a87b59cb75ac72ffe2bf01e0a08cd48c826e2959bc1b89a
"1","100101"
"2","100201"
"3","100301"
"4","100401"
"5","100501"
"6","100601"
"7","100701"
"8","100801"
"9","100901"
"10","101001"
"11","101101"
"12","101201"
"13","101301"
"14","101401"
"15","101501"
"16","101601"
"17","101701"
"18","101801"
"20","102001"
"21","102101"
"22","102201"
"23","102301"
"25","102501"
"26","102601"
"27","102701"
"28","102801"
"29","102901"
"30","103001"
"31","103101"
"32","103201"
"33","103301"
"34","103401"
"36","103601"
"37","103701"
"38","103801"
"40","104001"
"42","104201"
"43","104301"
"44","104401"
"45","104501"
"46","104601"
"47","104701"
"48","104801"
"49","104901"
"50","105001"
"51","105101"
"52","105201"
"53","105301"
"54","105401"
"55","105501"
"56","105601"
"58","105801"
"59","105901"
"60","106001"
"61","106101"
"64","106401"
"65","106501"
"66","106601"
"67","106701"
"68","106801"
"70","107001"
"71","107101"
"108","110801"
"109","110901"
"110","111001"
"180","118001"
"181","118101"
"182","118201"
"185","118501"
"186","118601"
"223","122301"
"230","123001"
"233","123301"
"258","139501"
"260","139601"
"261","139701"
"264","126401"
"265","126501"
"277","127701"
"278","127801"
"290","129001"
"296","129601"
"297","129701"
"300","130001"
"301","130101"
"302","130201"
"309","130901"
"323","132301"
"324","132401"
"325","132501"
"330","133001"
"331","133101"
"336","133601"
"347","134701"
"349","134901"
"355","135501"
"356","135601"
"358","135801"
"359","135901"
"360","136001"
"362","136201"
"369","136901"
"403","140301"
