3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"火属性ボーナス特大アップ","12","1","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","2","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","3","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407010"
"ＴＰ上昇上限付与","17","4","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407010"
"ＨＰ吸収ダウン","9","5","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407010"
"火属性ボーナス特大アップ","12","6","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","7","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","8","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407020"
"ＴＰ上昇上限付与","17","9","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407020"
"ＨＰ吸収ダウン","9","10","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407020"
