0032deb43278a720513ca3a8495b6f82f7c68d73c938adac204472406f83fb4e,d49814b8200d0b6ec9687c7550b2054a99536ef1c9d0435576285c90cb8e5325,53d68cc5babc9f8b51e472dd2a842437c512f33c7c38fb99e877a4ffc8505b1c
"114601","1","1"
"114701","2","2"
"115601","3","3"
"115801","5","4"
"116801","6","5"
"117401","7","6"
"117801","8","7"
"119201","9","8"
"120801","10","9"
"121201","12","10"
"122101","13","11"
"122401","14","12"
"122801","15","13"
"123501","16","14"
"124101","17","15"
"124701","20","16"
"124901","21","17"
"125701","22","18"
"126701","24","19"
"127001","25","20"
"128301","27","21"
"128801","28","22"
"105801","29","23"
"105901","30","24"
"106001","31","25"
"106401","32","26"
