f83389b3a7934f37b5b362d69f89b0abf600cb76fa376e93380e5aa3097e33c0,8ba96879e9b8d83bd1a43a9c08284a9124db74c6e0284b14253ebb1c025a2f4e,68c282c271913a923f12be74567ffb59a96a4bb4bd54ba9e66f95a0a079987fb
"4","1","14"
"15","2","20"
"21","3","25"
"26","4","30"
"31","5","35"
"36","6","40"
"41","7","45"
"46","8","50"
"51","9","55"
"56","10","60"
"61","11","65"
"66","12","70"
"71","13","75"
"76","14","80"
"81","15","85"
"86","16","90"
"91","17","95"
"96","18","100"
"101","19","105"
"106","20","110"
"111","21","115"
"116","22","120"
"121","23","125"
"126","24","130"
"131","25","135"
"136","26","140"
"141","27","145"
"146","28","150"
"151","29","155"
"156","30","160"
"161","31","165"
"166","32","170"
"171","33","175"
"176","34","180"
"181","35","185"
"186","36","190"
"191","37","195"
"196","38","200"
"201","39","205"
"206","40","210"
"211","41","215"
"216","42","220"
"221","43","225"
"226","44","230"
"231","45","235"
"236","46","240"
"241","47","245"
"246","48","250"
"251","49","255"
"256","50","260"
"261","51","265"
"266","52","270"
"271","53","275"
"276","54","280"
"281","55","285"
"286","56","290"
"291","57","295"
"296","58","300"
"301","59","305"
"306","60","310"
"311","61","315"
"316","62","320"
"321","63","325"
"326","64","-1"
