6e6781dc0cd39c92c07df7929d259d77625574361fcb0cde9039481e32137fc0,de1f9dc8afab9e2062a405752d586060f1ee2b13e9c04d059db2454eac1de79c,ed7d32dd7b804c3470cc9586bc2a2a4c22552809c256d894eabac830e816b4e0,88145b01be7d0a6dd9f2d7b8b14e040b30718a056c29d8e7c785fef6a7e0d9f8,075e885d2a52c73bcd5a69a23f718c3f74aa85387733a030662bc7616bbf395b,5c7fd25032d71b68ac7928779729bf4dd72e9aadba6d7a5d52b50219612d90b1,93ccc4dbceb74856fb7dcf74a65b7f404e9e3e58c19893d6f306613ef48172c6,0ef295049c836f8d2808f74f5c7f2db51c1ab3759c32a812843ec6d273baed86,4dd22e3530a94b4956d61570cbd6c4e49fb6df5fea4d9b38a19fbd06619071b8,cc6d65444334334bbd6e9f0715084a49367ca79d517d9c7e4dd36401f52cf7a9,cfde91054b917dc4cbaa29ce1afa690fcb4f947bc2179b64e1dd03ed1bedf511,e9592cb99778b255c87a9d75f3c953dc080ce52374c1f58f3b076c927d052dfa,5bcaeb6237225a94b566a9b3b0055562e7bbbcf8f96ea23f1c8490f1f61e7630,9cf2a73b8662cd183eebd9cfd4027e90cf623968b06d29a8b0cb0aef99565597
"タルグム地方","0","bgm_M32","0","0","0","0","1","1","0","bgm_M32","20001","20001101","201"
"タルグム地方","0","bgm_M32","0","0","0","0","1","0","0","bgm_M32","20001","20001201","201"
"マシーナ地方","0","bgm_M98_2","0","0","0","0","1","0","0","bgm_M98","20002","20002101","201"
"マシーナ地方","0","bgm_M98_2","0","0","0","0","1","0","0","bgm_M98","20002","20002201","201"
"ランドソル郊外","0","bgm_M106","0","0","0","0","1","0","0","bgm_M106","20003","20003101","201"
"ランドソル郊外","0","bgm_M106","0","0","0","0","1","0","0","bgm_M106","20003","20003201","201"
"タパスビーチ周辺","0","bgm_M112","0","0","0","0","1","0","0","bgm_M112","20004","20004101","201"
"タパスビーチ周辺","0","bgm_M112","0","0","0","0","1","0","0","bgm_M112","20004","20004201","201"
"イルシオンの孤島","0","bgm_M121","0","0","0","0","1","0","0","bgm_M121","20005","20005101","201"
"イルシオンの孤島","0","bgm_M121","0","0","0","0","1","0","0","bgm_M121","20005","20005201","201"
"王都ランドソル","85","bgm_M128","0","0","0","0","1","0","0","bgm_M128","20006","20006101","201"
"王都ランドソル","0","bgm_M128","0","0","0","0","1","0","0","bgm_M128","20006","20006201","201"
"ランドソル郊外","0","bgm_M135","0","0","0","0","1","1","0","bgm_M135","20007","20007101","201"
"霊界","0","bgm_M29","0","208","80","202","1","2","1","bgm_M29","20007","20007102","201"
"ランドソル中央部","0","bgm_M135","1","209","0","202","1","3","1","bgm_M135","20007","20007103","201"
"ランドソル郊外","0","bgm_M135","31","0","0","0","1","1","0","bgm_M135","20007","20007201","201"
"ランドソル近郊","35","bgm_M162","0","0","0","0","1","0","0","bgm_M162","20008","20008101","201"
"ランドソル近郊","0","bgm_M162","0","0","0","0","1","0","0","bgm_M162","20008","20008201","201"
"サレンディア救護院","110","bgm_M171","11","0","0","0","1","1","0","bgm_M171","20009","20009101","201"
"王都ランドソル","0","bgm_M171","0","0","0","0","1","1","0","bgm_M171","20009","20009201","201"
"神殿への参道","1","bgm_M182","0","0","180","0","1","1","0","bgm_M182","20010","20010101","201"
"神殿への参道","0","bgm_M182","0","0","0","0","1","1","0","bgm_M182","20010","20010201","201"
"王都ランドソル","0","bgm_M189","0","0","0","0","1","1","0","bgm_M189","20011","20011101","201"
"キッチンスタジアム","110","bgm_M189","0","0","0","0","1","2","0","bgm_M189","20011","20011102","201"
"キッチンスタジアム","0","bgm_M189","0","0","0","0","1","1","0","bgm_M189","20011","20011201","201"
"王都ランドソル","115","bgm_M206","0","0","0","0","1","1","0","bgm_M206","20012","20012101","201"
"王都ランドソル","0","bgm_M206","0","0","0","0","1","1","0","bgm_M206","20012","20012201","201"
"ガストロス山","100","bgm_M215","0","0","0","0","1","1","0","bgm_M215","20013","20013101","201"
"光の裂け目","0","bgm_M215","11","208","0","202","1","2","1","bgm_M215","20013","20013102","201"
"光の裂け目","0","bgm_M215","0","0","0","0","1","1","0","bgm_M215","20013","20013201","201"
"オーエド町","120","bgm_M223","0","0","0","0","1","1","0","bgm_M223","20014","20014101","201"
"オーエド町","0","bgm_M223","0","0","0","0","1","1","0","bgm_M223","20014","20014201","201"
"サンレインビーチ","98","bgm_M237","12","0","0","0","1","1","0","bgm_M237","20015","20015101","201"
"サンレインビーチ","0","bgm_M237","0","0","0","0","1","0","0","bgm_M237","20015","20015201","201"
"マホマホ王国避暑地？","150","bgm_M245_02","0","0","0","0","1","0","0","bgm_M245","20016","20016101","201"
"マホマホ王国避暑地？","0","bgm_M245_02","0","0","0","0","1","0","0","bgm_M245","20016","20016201","201"
"聖テレサ女学院","70","bgm_M254","0","0","0","0","1","1","0","bgm_M254","20017","20017101","201"
"聖テレサ女学院","0","bgm_M254","0","0","0","0","1","0","0","bgm_M254","20017","20017201","201"
"テラーハウス周辺","0","bgm_M265_Top","0","0","0","0","1","1","0","bgm_M265","20018","20018101","201"
"ゴーストグレイヴ","0","bgm_M265_Top","0","0","0","202","1","2","1","bgm_M265","20018","20018102","201"
"ゴーストグレイヴ","0","bgm_M265_Top","0","0","0","0","1","1","0","bgm_M265","20018","20018201","201"
"エルピス島 開拓キャンプ一帯","90","bgm_M273","0","0","0","0","1","0","0","bgm_M273","20019","20019101","201"
"エルピス島 開拓キャンプ一帯","0","bgm_M273","0","0","0","0","1","0","0","bgm_M273","20019","20019201","201"
"王都ランドソル 郊外","0","bgm_M281","0","0","0","0","1","1","0","bgm_M281","20020","20020101","201"
"王都ランドソル 中央広場","0","bgm_M281","11","0","0","0","1","2","0","bgm_M281","20020","20020102","201"
"王都ランドソル 中央広場","0","bgm_M281","0","0","0","0","1","1","0","bgm_M281","20020","20020201","201"
"ギルドレース　１区→２区","30","bgm_M294","0","0","0","0","1","1","0","bgm_M294","20021","20021101","201"
"ギルドレース　３区→４区","30","bgm_M294","0","0","0","0","1","2","0","bgm_M294","20021","20021102","201"
"ギルドレース　３区→４区","0","bgm_M294","0","0","0","0","1","1","0","bgm_M294","20021","20021201","201"
"王都ランドソル","87","bgm_M316","0","0","0","0","1","1","0","bgm_M316","20022","20022101","201"
"王都ランドソル","0","bgm_M316","0","0","0","0","1","1","0","bgm_M316","20022","20022201","201"
"聖テレサ女学院","45","bgm_M343","0","0","0","0","1","1","0","bgm_M343","20023","20023101","201"
"聖テレサ女学院","0","bgm_M343","0","0","0","0","1","0","0","bgm_M343","20023","20023201","201"
"エリザベスパーク","0","bgm_M351","0","0","0","0","1","1","0","bgm_M351","20024","20024101","201"
"王都ランドソル","0","bgm_M351","0","0","0","0","1","2","0","bgm_M351","20024","20024102","201"
"エリザベスパーク","0","bgm_M351","0","0","0","0","1","3","0","bgm_M351","20024","20024103","201"
"エリザベスパーク","0","bgm_M351","0","0","0","0","1","1","0","bgm_M351","20024","20024201","201"
"不思議の国","200","bgm_M375","0","0","0","0","1","0","0","bgm_M375","20025","20025101","201"
"不思議の国","100","bgm_M375","0","0","0","0","1","0","0","bgm_M375","20025","20025201","201"
"ウィッシュビーチ周辺","90","bgm_M380A","0","0","0","0","1","1","0","bgm_M380A","20026","20026101","201"
"星降る天の川","0","bgm_M380B_02","0","0","0","0","1","2","0","bgm_M380B","20026","20026102","201"
"星降る天の川","0","bgm_M380B_02","0","0","0","0","1","0","0","bgm_M380B","20026","20026201","201"
"ビーチボールパーク","115","bgm_M393","0","0","0","0","1","0","0","bgm_M393","20027","20027101","201"
"ビーチボールパーク","0","bgm_M393","0","0","0","0","1","0","0","bgm_M393","20027","20027201","201"
"王都ランドソル","80","bgm_M403","0","0","0","0","1","1","0","bgm_M403","20028","20028101","201"
"王都ランドソル","0","bgm_M403","0","0","0","0","1","1","0","bgm_M403","20028","20028201","201"
"ハロウィンパーク","128","bgm_M413","0","0","0","0","1","0","0","bgm_M413","20029","20029101","201"
"ハロウィンパーク","0","bgm_M413","0","0","0","0","1","0","0","bgm_M413","20029","20029201","201"
"王都ランドソル","80","bgm_M421","0","0","0","0","1","1","0","bgm_M421","20030","20030101","201"
"王都ランドソル","0","bgm_M421","0","0","0","0","1","1","0","bgm_M421","20030","20030201","201"
