1312cf37bf9baf6d17f760561a78039403b4e4daac47e79231ba58e17b8171f5,fd54cffde4c52f9d5cc2a8039d17a55de1f9d172f964151821145d9ee62dc423,74f4e00124b0d1159ceca5a7ba1f6f77faedb318a0960e73b15b056ac6978b28,e3ddc9f7012a38b5b5dc684c3051e326660c58aa0527ea2ccc3a7583c4ee0e92,6152057fe3566a8b0a64cfb37d9ae96fe73d74b6bf1861644b61267f153ea882
"1","100101","12","94002","3000000"
"2","100101","2","20004","300"
"3","100102","2","90008","1000"
"4","100103","2","25001","6"
"5","100104","12","94002","1000000"
"6","100104","2","20004","300"
"7","100105","2","90008","1000"
"8","100106","2","25001","6"
"9","100107","8","91002","40"
"10","100107","12","94002","1000000"
"11","100107","2","20004","300"
"12","100108","2","90008","1000"
"13","100109","2","41000","1"
"14","100109","2","25001","7"
"15","100110","12","94002","1000000"
"16","100110","2","20004","400"
"17","100111","2","90008","1500"
"18","100112","8","91002","40"
"19","100112","2","25001","7"
"20","100113","12","94002","1000000"
"21","100113","2","20004","400"
"22","100114","2","90008","1500"
"23","100115","2","41000","1"
"24","100115","2","25001","7"
"25","100116","12","94002","1000000"
"26","100116","2","20004","500"
"27","100117","8","91002","40"
"28","100117","2","90008","1500"
"29","100118","12","94002","2000000"
"30","100118","2","25001","8"
"31","100118","2","90008","2000"
"32","100201","12","94002","3000000"
"33","100201","2","20004","300"
"34","100202","2","90008","1000"
"35","100203","2","25001","12"
"36","100204","12","94002","1000000"
"37","100204","2","20004","300"
"38","100205","2","90008","1000"
"39","100206","2","25001","10"
"40","100207","8","91002","40"
"41","100207","12","94002","1000000"
"42","100207","2","20004","300"
"43","100208","2","90008","1000"
"44","100209","2","41000","1"
"45","100209","2","25001","10"
"46","100210","12","94002","1000000"
"47","100210","2","20004","400"
"48","100211","2","90008","1500"
"49","100212","8","91002","40"
"50","100212","2","25001","9"
"51","100213","12","94002","1000000"
"52","100213","2","20004","400"
"53","100214","2","90008","1500"
"54","100215","2","41000","1"
"55","100216","12","94002","1000000"
"56","100216","2","20004","500"
"57","100217","8","91002","40"
"58","100217","2","90008","1500"
"59","100218","12","94002","2000000"
"60","100218","2","90008","2000"
"61","100301","12","94002","3000000"
"62","100301","2","20004","300"
"63","100302","2","90008","1000"
"64","100303","2","25001","12"
"65","100304","12","94002","1000000"
"66","100304","2","20004","300"
"67","100305","2","90008","1000"
"68","100306","2","25001","10"
"69","100307","8","91002","40"
"70","100307","12","94002","1000000"
"71","100307","2","20004","300"
"72","100308","2","90008","1000"
"73","100309","2","41000","1"
"74","100309","2","25001","10"
"75","100310","12","94002","1000000"
"76","100310","2","20004","400"
"77","100311","2","90008","1500"
"78","100312","8","91002","40"
"79","100312","2","25001","9"
"80","100313","12","94002","1000000"
"81","100313","2","20004","400"
"82","100314","2","90008","1500"
"83","100315","2","41000","1"
"84","100316","12","94002","1000000"
"85","100316","2","20004","500"
"86","100317","8","91002","40"
"87","100317","2","90008","1500"
"88","100318","12","94002","2000000"
"89","100318","2","90008","2000"
"90","100401","12","94002","3000000"
"91","100401","2","20004","300"
"92","100402","2","90008","1000"
"93","100403","2","25001","12"
"94","100404","12","94002","1000000"
"95","100404","2","20004","300"
"96","100405","2","90008","1000"
"97","100406","2","25001","10"
"98","100407","8","91002","40"
"99","100407","12","94002","1000000"
"100","100407","2","20004","300"
"101","100408","2","90008","1000"
"102","100409","2","41000","1"
"103","100409","2","25001","10"
"104","100410","12","94002","1000000"
"105","100410","2","20004","400"
"106","100411","2","90008","1500"
"107","100412","8","91002","40"
"108","100412","2","25001","9"
"109","100413","12","94002","1000000"
"110","100413","2","20004","400"
"111","100414","2","90008","1500"
"112","100415","2","41000","1"
"113","100416","12","94002","1000000"
"114","100416","2","20004","500"
"115","100417","8","91002","40"
"116","100417","2","90008","1500"
"117","100418","12","94002","2000000"
"118","100418","2","90008","2000"
"119","100501","12","94002","3000000"
"120","100501","2","20004","300"
"121","100502","2","90008","1000"
"122","100503","2","25001","12"
"123","100504","12","94002","1000000"
"124","100504","2","20004","300"
"125","100505","2","90008","1000"
"126","100506","2","25001","10"
"127","100507","8","91002","40"
"128","100507","12","94002","1000000"
"129","100507","2","20004","300"
"130","100508","2","90008","1000"
"131","100509","2","41000","1"
"132","100509","2","25001","10"
"133","100510","12","94002","1000000"
"134","100510","2","20004","400"
"135","100511","2","90008","1500"
"136","100512","8","91002","40"
"137","100512","2","25001","9"
"138","100513","12","94002","1000000"
"139","100513","2","20004","400"
"140","100514","2","90008","1500"
"141","100515","2","41000","1"
"142","100516","12","94002","1000000"
"143","100516","2","20004","500"
"144","100517","8","91002","40"
"145","100517","2","90008","1500"
"146","100518","12","94002","2000000"
"147","100518","2","90008","2000"
"148","100601","12","94002","3000000"
"149","100601","2","20004","300"
"150","100602","2","90008","1000"
"151","100603","2","25001","12"
"152","100604","12","94002","1000000"
"153","100604","2","20004","300"
"154","100605","2","90008","1000"
"155","100606","2","25001","10"
"156","100607","8","91002","40"
"157","100607","12","94002","1000000"
"158","100607","2","20004","300"
"159","100608","2","90008","1000"
"160","100609","2","41000","1"
"161","100609","2","25001","10"
"162","100610","12","94002","1000000"
"163","100610","2","20004","400"
"164","100611","2","90008","1500"
