4794f43ac5b027ada30b5c941982b61f69a211fb0f4caee4b3cb7e7b73ab2bd3,44b5a4772f50d02b1dfa7895eb9a9f7b52f368e6aaa45f7e715160748057a090,f7697913fdf707d715853a2d916a94670c5e36622b3f704a845db9d830ea0c35,76af186bbd1be264c405edc97668860b66323abfce809c0f6c320c35a73c5fdc,af56acba88217f979e45eaf59cb9b444dc03201ab6984c1d4932e99a76079862,ec219102bb9f620bbbc875e3b7eac5d633be7a978c0ba902c644b9b68e9a2a30,6ff3dba9729d2debc76d40b1a2e20b0a61711bf0445e11955c81b8539997804d,bc105a799da3bcdea16980fb910f35a52d62df7c911fd4c15510f0ae251c9b99,e7901ca58fa63319af5f702647a48782fe4fbff99943239a24c60c1ed52f7af6,8bb1db54c2b5fde12ed67c295cdd8ecd0d3d93029d684acd7268bbf6612724cb,50d2fb8b3b06c0d3c98572aa06fd75bb177afdbfbdcd1e209c4d1fcdf81b9ade
"","イ","1082","","","","","","","",""
"","オ","1107","","","","","","","",""
"","","1176","","ツ","","","","","",""
"","ー","1189","","","","ホ","","","ル",""
"","ゥー","1192","","","","","","","",""
"","イ","1245","","","","","","","",""
"","","1250","","","","","","","ちそ","ゃさ"
"ナイア","ト","2013","トメア","ナ","ナイト","イ","ナメア","イトメ","メ","ア"
"ランル","ラ","2014","ンドル","ン","ランド","ソ","ドソル","ラドソ","","ル"
"そるう","と","2015","るのと","る","そるの","","そのう","そのと","","う"
"るなと","と","2016","のとう","る","るなう","な","るのう","なのと","う","の"
"ひくて","う","2017","くうて","く","ひくう","","ひてい","ひうて","い",""
"ふゃ","ゃ","2019","","ふ","ふゃ","","ふん","しん","し","ん"
"ぎゅわ","し","2020","ぎしゅ","ゅ","むしわ","わ","むゅわ","むぎし","む","ぎ"
"E","","2031","S","","","","","","",""
"","","2032","","","AE","","","","",""
"A","","2033","","","","","R","","",""
"E","","2034","","","","","I","","",""
"UA","","2036","","","","","R","","",""
"E","","2037","","","Y","","L","E","",""
"E","","2038","","","I","","L","V","",""
"L","","2040","","","","","I","","",""
"","","2041","","","","","A","","",""
"","","2042","Y","","","","","","",""
"","","2043","K","","","","A","","",""
"","","2045","","","","","A","","",""
"","","2046","Q","","","","R","","",""
"A","","2047","","","","","R","","",""
"","","2048","KQ","","","","A","","",""
"B","","2049","","","","","","","",""
"U","","2050","","","T","","A","","",""
"EI","","2052","","","P","","C","","",""
"I","","2053","","","T","","A","","",""
"","","2054","","","S","","","","",""
"","","2055","","","","","R","","",""
"V","","2056","","","","","","","",""
"","","2058","","","","","WU","","",""
"","","2059","R","","","","","","",""
"","","2060","R","","","","","","",""
"","","2062","","","","","S","","",""
"A","","2063","","","S","","E","S","",""
"","","2064","","","A","","A","","",""
"A","","2065","","","S","","","","",""
"","","2066","C","","","","","","",""
"B","","2067","","","","","","","",""
"I","","2068","L","","","","","","",""
"","","2069","C","","","","E","","",""
"E","","2070","","","","","","D","",""
"A","","2071","","","I","","","N","",""
"","","2074","","","A","","C","","",""
"","","2077","","","A","","A","","",""
"","","2092","","ち","","","","","","し"
"ン","","2130","フ","","ト","","ァ","ム","",""
"","聴言","2200","","か","","視","","","わ","聞聴"
"","","2201","","ー","","","","","","ビブ"
"","","2202","","","","","","","","ル"
"","飯","2216","","","","麦","","","鯉",""
"","ゅ","2261","","","","し","","","う",""
"","","2264","","ぅ","","","","","",""
"","ー","2266","","","","","","","",""
"","ふ","2295","","ん","","ひ","","","く","き"
"","","2313","","","","","","","","だ"
"","","3020","ル","","","","ナ","","",""
"","ェ","3066","","","","フ","","","",""
"","","3068","","","","く","","","",""
"","","3073","","","","","","","が",""
"","","3084","","","","","","","","生"
"","","3158","","","","","","","","ア"
"","","3165","","","","","","","ひ",""
"","","3187","","","","","","","","か"
"","","3191","","オ","","","","","デ","シス"
"","","3193","","ま","","","","","","さ"
"","","3195","ブ","","","","","","",""
"","","3222","","","","","","","ス",""
"","","3238","","","","","","","","ず"
"","","3271","","","","","","","","帰"
"","ク","3277","","","","","","","",""
"","","3318","","","","","","","ア",""
"","","4029","","ち","","","","","","し"
"","","4049","","X","","","","","",""
"","","4052","","","","","","","","た"
"","","4077","","","","","","","","さ"
"","","4154","","帯","","","","","",""
"そ","","4157","","","","","","","",""
"い","","4167","","","","","","","",""
"","","4171","二","","","","","","",""
"","","4194","","","倍","","小","","",""
"","","4195","","","約","","大","","",""
"","","4196","","","","高","","","底",""
"","","4197","半","","","","","","",""
"","","4203","","","","","","","","く"
"","","4220","","","","","","","ウ",""
"","ィ","4222","","","","","","","",""
"","","4247","","","","セ","","","",""
"","","5010","","","","","","","ー",""
"","","5011","","","","","","","ワ",""
"","","5030","","","ラモ","","","テカ","",""
"","","5031","","","オモ","","","レカ","",""
"","","5051","","","","","","","ー",""
"","お","5066","","","","","","","か","ら"
"","","5100","","","","","","","ぶ",""
"","","5109","み","","じ","","つ","つ","",""
"ン","","5140","カ","","タ","","ウ","ー","",""
"","","5147","","ロ","","","","","",""
"","","5160","","","","","","","と",""
"戌卯辰","牛","5193","卯辰戌","","戌酉子","","戌酉卯","卯戌子","虎",""
"","","6060","","ト","","","","","",""
"","","6065","","","","","","","ほ",""
"","","6157","","","","","","","","ィ"
"","","6188","","","","","","ト","",""
"","ン","6203","","","","イ","","","ド",""
"","","6216","","ラ","","","","","ク","ジ"
"ウ","","6227","チ","","","","ョ","","",""
