dff1535cf0c310c29d4d1be0dc60d6fd485d327454810846c5bba58a8c058f69,3a4b2d8794bbceacd5011ecf98d9f611c0eceb5216d29ce25beeed7f1c614906,4b31a3feb0c6b79f55f0f076d0f0a3236ae18fd78c9642ac895c05d46dbb7a5c,b288ee28cc4b5a66dab277f7ec4aaf07704fd3e3ddb4f7184cc29126137a9825,71e756cc36f993171b7d6196ed730c7c7ba33372132c4458aed75e4a71de49ce,1ada7f77bfb17a1a3452c2b5ee4ad7880d50788be907724699a2f9077821fe01,2d804e9b5fee97792c70bcacb9a4183494e90549d1f64649f144a6ebb9ca8673,8ba511b90f7b4b80362b0ec1b36b99c1a509909df4da19d5a011f21ed3fa6012,db6cd94d30ba1013b19cbcef10f7260917281d6ca3aee03ab3aa00b4066f147c,3acddc6e8bb5c7839ad02abdd2eda4e897cf8a020dde925de740e0014f832cc7,41e4b8d13db8807dbded34fc9c80adb6fc94a059abbf01801a121ae92859e4fa,3c7fd38f300af5ec97fa40b4956fd9661593f381e7203de63913e11b3e755d72,b93d17c27fa116ae06cea57a0abbbb2380dbd138297c70d118f0ec4d26aeb72f,6374775fb491c2043739c5e4ee13c9fc100677f69b8be82b0ce4f4797a41b92c
"やったね、ぷうきち！\nこれならお兄ちゃんたちの\nお手本になれたよね！","2030/12/17 14:59:59","0","0","401","102301","10046","24","2020/07/31 12:00:00","2","アヤネ","2","24001","0"
"私たちの勝ちだね！\nぷうきちと一緒なら\nどんなボールでも\nホームランを打ってみせるよ！","2030/12/17 14:59:59","2.21","0","402","102301","10046","24","2020/07/31 12:00:00","1","アヤネ","2","24002","0"
"やったやったぁ！\nお兄ちゃん、見ててくれた？\n私、すっごくがんばったよ！","2030/12/17 14:59:59","0","0","403","102301","10046","24","2020/07/31 12:00:00","2","アヤネ","2","24003","0"
"特訓の成果が出たみたいだ！\nもっと練習を重ねて\nこの調子で上達していこう！","2030/12/17 14:59:59","1.99","0","701","192201","10046","24","2020/07/31 12:00:00","2","アサヒ","1","24004","0"
"よし、いい感じだ！\nキャプテンとしての仕事は\nきっちり果たせそうだよ","2030/12/17 14:59:59","2.21","0","702","192201","10046","24","2020/07/31 12:00:00","1","アサヒ","2","24005","0"
"試合に向けて\nいい感覚を掴めた気がするよ！\nこのまま一気に全国大会だ！","2030/12/17 14:59:59","3.33","0","703","192201","10046","24","2020/07/31 12:00:00","2","アサヒ","1","24006","0"
"このくらい余裕だ\nオレたちは全国大会を\n目指してるんだからな","2030/12/17 14:59:59","0","0","801","192301","10046","24","2020/07/31 12:00:00","2","部員３","2","24007","0"
"オレだって\nビーチベースボール選手だ\nどんな球だろうが\n全部スタンドまで飛ばしてやる","2030/12/17 14:59:59","2.68","0","802","192301","10046","24","2020/07/31 12:00:00","1","部員３","2","24008","0"
"いい感じだ\nこれなら試合でも活躍できそうだ\n大暴れしてやる！","2030/12/17 14:59:59","0","0","803","192301","10046","24","2020/07/31 12:00:00","2","部員３","2","24009","0"
"やった！","2030/12/17 14:59:59","0","0","501","192501","10046","24","2020/07/31 12:00:00","1","","1","24010","0"
"勝ったよ！","2030/12/17 14:59:59","0","0","502","192501","10046","24","2020/07/31 12:00:00","1","","1","24011","0"
"いい調子！","2030/12/17 14:59:59","0","0","503","192501","10046","24","2020/07/31 12:00:00","1","","1","24012","0"
"あら～…もしかして\n勝っちゃったのかしら？\nみんなの練習を見ていたから\nかもしれないわね","2030/12/17 14:59:59","5.33","0","111","113501","10046","24","2020/07/31 12:00:00","6","ミサト","2","24013","0"
"みんなの力になりたくて\n先生も頑張ってみました～！\nうまく投げられたみたいで\nよかったわ～！","2030/12/17 14:59:59","6.85","0","112","113501","10046","24","2020/07/31 12:00:00","1","ミサト","2","24014","0"
"練習お疲れさま～！\n先生も協力できて\nとってもうれしいわ～♪\n次も頑張りましょうね～！","2030/12/17 14:59:59","3","0","113","113501","10046","24","2020/07/31 12:00:00","1","ミサト","2","24015","0"
"まだ練習が足りねえみてえだな\nこれっぽっちも本気で\n投げてねえっつーの\nもう一回やんぞ！","2030/12/17 14:59:59","6.11","0","611","192401","10046","24","2020/07/31 12:00:00","1","ダイチ","2","24016","0"
"ふん、当然の結果だな\n俺の球は、誰にも打てねえよ！\nまたやりてえっつーなら\nとことん付き合ってやるぜ！","2030/12/17 14:59:59","6.75","0","612","192401","10046","24","2020/07/31 12:00:00","1","ダイチ","2","24017","0"
"おっしゃあ！\nこの勢いで全国に行ってやるぜ！\n全員三振で仕留めてやる！","2030/12/17 14:59:59","0","0","613","192401","10046","24","2020/07/31 12:00:00","2","ダイチ","2","24018","0"
"きらーん☆\nハツネちゃんの大勝利なのだ～！\nみんながもっと上達できるように\n私もまだまだ頑張るからね！","2030/12/17 14:59:59","4.52","0","211","113401","10046","24","2020/07/31 12:00:00","2","ハツネ","1","24019","0"
"やったあ！　私の勝ちだね！\nチアリーダーもピッチャーも\nハツネちゃんに任せてよ！","2030/12/17 14:59:59","3.89","0","212","113401","10046","24","2020/07/31 12:00:00","2","ハツネ","1","24020","0"
"よお～し、この調子でもっと\n頑張ろう…と思ったけど\n超能力を使ったから…\n眠くなってきちゃった…すやぁ…","2030/12/17 14:59:59","13.49","0","213","113401","10046","24","2020/07/31 12:00:00","1","ハツネ","2","24021","0"
"いい勝負だったぜ！\nたぎっちまって\nつい本気で投げちまったよ","2030/12/17 14:59:59","3.17","0","311","106501","10046","24","2020/07/31 12:00:00","1","カヤ","2","24022","0"
"どうだ？\nオレ様のボールは熱かっただろ！\nま、でもおまえらの根性も\nなかなかのもんだったぜ","2030/12/17 14:59:59","4.42","0","312","106501","10046","24","2020/07/31 12:00:00","1","カヤ","2","24023","0"
"なんだよ、そんなもんか？\nこっちはまだまだ投げたりねえ\nもっと勝負しようぜ！","2030/12/17 14:59:59","2.89","0","313","106501","10046","24","2020/07/31 12:00:00","6","カヤ","1","24024","0"
"あとちょっとだったのに～！\n次こそぷうきちと一緒に\n勝ってみせるからね！","2030/12/17 14:59:59","3.71","0","421","102301","10046","24","2020/07/31 12:00:00","4","アヤネ","3","24025","0"
"いい勝負だったね！\nでも、やっぱり悔しいな…\nもっと練習して\n今度は絶対に俺が勝つから！","2030/12/17 14:59:59","5.1","0","721","192201","10046","24","2020/07/31 12:00:00","2","アサヒ","1","24026","0"
"ちっ…あと一歩足りなかったか\n次こそは絶対に勝つから\nそのつもりでいろ","2030/12/17 14:59:59","4.34","0","821","192301","10046","24","2020/07/31 12:00:00","1","部員３","3","24027","0"
"いい勝負だったよ\nまたやろうね","2030/12/17 14:59:59","0","0","521","192501","10046","24","2020/07/31 12:00:00","1","","1","24028","0"
"とってもよくできました～♪\n頑張ってくれて先生うれしいわ\nこれからも試合に向けて\n練習していきましょうね～","2030/12/17 14:59:59","5.62","0","101","113501","10046","24","2020/07/31 12:00:00","1","ミサト","2","24029","-360"
