89e35c91068bf8de55b099ef29990b4767c17ee19eecda68c106f476fbc6a946,8e440dcafe5457a92424335912674e0924a965db4b39b28a690aac4f0378fe03,63382cb1e7934f9901307ced19ccf2d7ee8419c0fa0e1aed1aa9f68775435e95,350195fcc87e4f1fa320b04457215687e6e5025cd3a4162fb57fa5b637a53668,c970717791f382d27a7eb3fc61fc4b21b1f7dba76357d53d3f612bf550db9683,4c7a5c97346c1e8fbfdf79e76cb86a8c41586858c91a5e1127d71cf625ac21a7,a33a7a9136298170775f86cffb1e3b618e1d6fcffe33f0d65584e3b1a281c1db,5e36092bb6789815203c10a4b372d189d74ec661c95d2741356bcf173af9abb0,696f6c2357b28d58e20357f796b9c73cf83da5c43d7dd07cbbc4859050340c2d
"10001","7","5","22","8","6","-1","53003","1"
"10002","7","5","22","4","6","-1","53002","1"
"10101","6","4","22","6","5","5","53003","1"
"10102","6","4","22","5","5","5","53002","1"
"10201","5","3","22","5","4","4","53003","1"
"10202","5","3","22","5","4","4","53002","1"
"10301","4","3","22","4","3","3","53003","1"
"10302","4","3","22","3","3","3","53002","1"
"10401","3","2","22","3","2","2","53003","1"
"10402","3","2","22","2","2","2","53002","1"
"10501","2","1","22","2","1","1","53003","1"
"10502","2","1","22","1","1","1","53002","1"
"10601","1","1","22","2","0","0","53002","1"
"10701","7","5","22","8","6","-1","53003","2"
"10702","7","5","22","4","6","-1","53002","2"
"10801","6","4","22","6","5","5","53003","2"
"10802","6","4","22","5","5","5","53002","2"
"10901","5","3","22","5","4","4","53003","2"
"10902","5","3","22","5","4","4","53002","2"
"11001","4","3","22","4","3","3","53003","2"
"11002","4","3","22","3","3","3","53002","2"
"11101","3","2","22","3","2","2","53003","2"
"11102","3","2","22","2","2","2","53002","2"
"11201","2","1","22","2","1","1","53003","2"
"11202","2","1","22","1","1","1","53002","2"
"11301","1","1","22","2","0","0","53002","2"
"11401","7","5","22","8","6","-1","53003","3"
"11402","7","5","22","4","6","-1","53002","3"
"11501","6","4","22","6","5","5","53003","3"
"11502","6","4","22","5","5","5","53002","3"
"11601","5","3","22","5","4","4","53003","3"
"11602","5","3","22","5","4","4","53002","3"
"11701","4","3","22","4","3","3","53003","3"
"11702","4","3","22","3","3","3","53002","3"
"11801","3","2","22","3","2","2","53003","3"
"11802","3","2","22","2","2","2","53002","3"
"11901","2","1","22","2","1","1","53003","3"
"11902","2","1","22","1","1","1","53002","3"
"12001","1","1","22","2","0","0","53002","3"
"12101","7","5","22","8","6","-1","53003","4"
"12102","7","5","22","4","6","-1","53002","4"
"12201","6","4","22","6","5","5","53003","4"
"12202","6","4","22","5","5","5","53002","4"
"12301","5","3","22","5","4","4","53003","4"
"12302","5","3","22","5","4","4","53002","4"
"12401","4","3","22","4","3","3","53003","4"
"12402","4","3","22","3","3","3","53002","4"
"12501","3","2","22","3","2","2","53003","4"
"12502","3","2","22","2","2","2","53002","4"
"12601","2","1","22","2","1","1","53003","4"
"12602","2","1","22","1","1","1","53002","4"
"12701","1","1","22","2","0","0","53002","4"
"12801","7","5","22","8","6","-1","53003","5"
"12802","7","5","22","4","6","-1","53002","5"
"12901","6","4","22","6","5","5","53003","5"
"12902","6","4","22","5","5","5","53002","5"
"13001","5","3","22","5","4","4","53003","5"
"13002","5","3","22","5","4","4","53002","5"
"13101","4","3","22","4","3","3","53003","5"
"13102","4","3","22","3","3","3","53002","5"
"13201","3","2","22","3","2","2","53003","5"
"13202","3","2","22","2","2","2","53002","5"
"13301","2","1","22","2","1","1","53003","5"
"13302","2","1","22","1","1","1","53002","5"
"13401","1","1","22","2","0","0","53002","5"
"13501","7","5","22","8","6","-1","53003","6"
"13502","7","5","22","4","6","-1","53002","6"
"13601","6","4","22","6","5","5","53003","6"
"13702","6","4","22","5","5","5","53002","6"
"13801","5","3","22","5","4","4","53003","6"
"13902","5","3","22","5","4","4","53002","6"
"14001","4","3","22","4","3","3","53003","6"
"14002","4","3","22","3","3","3","53002","6"
"14101","3","2","22","3","2","2","53003","6"
"14102","3","2","22","2","2","2","53002","6"
"14201","2","1","22","2","1","1","53003","6"
