97a9d371c2043ec41f9b9527baec68c4696da99d19899fc2b2b6bd2c66a4f073,6fecb03bbd1d882bbdd473b24cf8c215568473594e4127b2d91f22dbc647281d,7c25dcea7354e1f91d74e7b97a7ea1dabde72aa4c939424919b1449f1f1d56b9,6599ed4bba80ea994ba9baeda3a6a19449304bd5bc53cacf9a088a3d205c2bc9,a74f2458e2bf77eada9c6443ecb8ef0624fa5496af4816793590abc7daeef48e
"1","99002","ランダム装備BOX","ランダムな装備が獲得できる。","box_rank_1-3"
"2","99002","RANK3～6の装備アイテム","キャラのRANK1～4で必要となる装備アイテム","eq_rank_3-6"
"3","99002","RANK4～7の装備アイテム","キャラのRANK4～7で必要となる装備アイテム","eq_rank_4-7"
"4","99002","ハツネのメモリーピース","","1000120101"
"5","99002","シオリのメモリーピース","","1000120102"
"6","99002","ミソギのメモリーピース","","1000220101"
"7","99002","ミミのメモリーピース","","1000220102"
"8","99002","マホのメモリーピース","","1000320101"
"9","99002","カオリのメモリーピース","","1000320102"
"10","99002","コッコロ（サマー）のメモリーピース","","1000420101"
"11","99002","サレンのメモリーピース","","1000420102"
"12","99002","RANK5～8の装備アイテム","キャラのRANK5～8で必要となる装備アイテム","eq_rank_5-8"
"13","99002","ミフユ（サマー）のメモリーピース","","1000520101"
"14","99002","アキノのメモリーピース","","1000520102"
"15","99002","ジュンのメモリーピース","","1000620101"
"16","99002","ユカリのメモリーピース","","1000620102"
"17","99002","ミヤコ（ハロウィン）のメモリーピース","","1000720101"
"18","99002","ヨリのメモリーピース","","1000720102"
"19","99002","アンナのメモリーピース","","1000820101"
"20","99002","ミツキのメモリーピース","","1000820102"
"21","99002","クルミ（クリスマス）のメモリーピース","","1000920101"
"22","99002","ノゾミのメモリーピース","","1000920102"
"23","99002","レイ（ニューイヤー）のメモリーピース","","1001020101"
"24","99002","ユイのメモリーピース","","1001020102"
"25","99002","エリコ（バレンタイン）のメモリーピース","","1001120101"
"26","99002","リノのメモリーピース","","1001120102"
"27","99002","マコトのメモリーピース","","1001220101"
"28","99002","ユキのメモリーピース","","1001220102"
"29","99002","ルゥのメモリーピース","","1001320101"
"30","99002","イオのメモリーピース","","1001320102"
"31","99002","ハツネのメモリーピース","","1001420101"
"32","99002","シオリのメモリーピース","","1001420102"
"33","99002","マコトのメモリーピース","","1001520101"
"34","99002","ユキのメモリーピース","","1001520102"
"35","99002","ミソギのメモリーピース","","1001620101"
"36","99002","ミミのメモリーピース","","1001620102"
"37","99002","ランダム装備BOX","ランダムな装備が獲得できる。","box_rank_2-4"
"38","99002","ランダム装備BOX","ランダムな装備が獲得できる。","box_rank_2-5"
"39","99002","ランダム装備BOX","ランダムな装備が獲得できる。","box_rank_3-6"
