d7be44ef7601e90200f68c20a5da78b98ac82b6e452db73171ec8b9b2a1b691c,ffbbefd565d0456f9ab77d29c819acc48c03a67ac264e21315210d138dddfcb8,8884419baf2efd73ec7a6171fe8fc6ea2aa891c37492c738f05fbd98151a4ae7,03704aa8801f9308865dbe5aa91ec558a795252b9a911cdb075b94c02b91d07e,8b6d46e21409add1c91bbe3b1c1d93f6f3a16796b7e2978cb3a1289c8ea7a10b
"2","10201","1","3","1"
"2","10202","2","3","2"
"2","10203","3","3","3"
"2","10301","4","10","4"
"2","10302","5","10","5"
"2","10303","6","10","6"
"2","10304","7","10","7"
"2","10401","8","20","8"
"2","10402","9","20","9"
"2","10403","10","20","10"
"2","10404","11","20","11"
"2","10405","12","20","12"
"2","10406","13","20","13"
"2","10407","14","20","14"
"2","10408","15","20","15"
"2","10409","16","20","16"
"1","10701","1","3","17"
"1","10601","2","3","18"
"1","10602","3","3","19"
"1","10603","4","3","20"
"1","10604","5","3","21"
"1","11301","6","10","22"
"1","11302","7","10","23"
"1","11303","8","10","24"
"1","11401","9","20","25"
"1","11402","10","20","26"
"1","11403","11","20","27"
"1","11601","12","20","28"
"1","11602","13","20","29"
"1","11603","14","20","30"
"1","11604","15","20","31"
"1","11605","16","20","32"
"1","11606","17","20","33"
"1","11101","18","20","34"
"1","11102","19","20","35"
"1","11103","20","20","36"
"1","11701","21","20","37"
"1","11702","22","20","38"
"1","11703","23","20","39"
"3","10501","1","3","40"
"3","10502","2","3","41"
"3","10503","3","3","42"
"3","11201","4","10","43"
"3","10801","5","10","44"
"3","10802","6","10","45"
"3","10803","7","10","46"
"3","10804","8","10","47"
"3","10901","9","20","48"
"3","10902","10","20","49"
"3","10903","11","20","50"
"3","10904","12","20","51"
"3","11001","13","20","52"
"3","11002","14","20","53"
"3","11003","15","20","54"
"3","11501","16","20","55"
"3","11502","17","20","56"
"3","11503","18","20","57"
"3","11504","19","20","58"
"3","11505","20","20","59"
"3","11506","21","20","60"
