f094b15f987fe0d1baf61a65b817b49f05a81f866c61d0de28fd87eaa62d28d2,c3e90938efaa70a6eca6dee8774f6fd864df786cd1b65f1d57151911be56564b,2b4af5ae57ae85f58477cef785f672cee7524fdb79e4a33905f5d8d1e9f444cf,9692003f3665f3b30187dc07a9e69a3ef1b2be090055047d82081afd927441b6,ac1727dc8befc591c649e348f497eae6bcd5b6a1643d6d796d4fb72b7700e9d0,9b88c06ae9d919c003bc292f3007ffbea0bbf3f990c4ae1bb342434f1425f795,6ae44c92cc3f6fa0a669bd26ac3dbbb9c88a30f7c73fcfc6342cb92a9bb4f32b,31f478b7b93cb9a94abe9e1339deaf22504d38a27b061362626b1f292cc6872a,65ac2ee39af68772234e65f0331860ff2ddacfdd0745c8cc29a1e90a05fc6124,1d6bb1ae51816526194a88e916d9d1667d373844320ae16b5b98024a95749793,fa2b8e5b83934c5a491601cc9e80a878783821cd9c0441f1e07e417cc35606dc
"100","5","0","2","1007001","113511","-300","2.08","1007001001","-750","svd_idle_normal"
"100","5","1","1","1007001","113411","-300","2.08","1007001002","750","svd_idle_normal"
"0","5","0","3","1007001","333","0","1","1007001003","0","svd_white_loop"
"1","6","0","333","1007001","1","0","0","1007001004","1",""
"0","7","","113511","1007001","2","","","1007001005","0",""
"-300","2","","113511","1007001","-750","0","","1007001006","0.5",""
"1","6","0","113411","1007001","1","0","0","1007001007","1",""
"-140","31","","1","1007001","11","0.8","0","1007001008","-40",""
"0","34","","11","1007001","2","","","1007001009","0",""
"0","7","","113411","1007001","6","","","1007001010","0",""
"-300","2","","113411","1007001","750","0","","1007001011","0.5",""
"-250","31","","4","1007001","14","1","0","1007001012","-40",""
"250","31","","5","1007001","15","1","0","1007001013","-40",""
"","93","","1","1007001","","","","1007001014","",""
"1","6","0","333","1007001","1","0.4","0.8","1007001015","1",""
"0","3","0","113511","1007001","svd_idle_see_pre","1","0.2","1007001016","svd_idle_see",""
"-300","2","","113411","1007001","640","0","","1007001017","1.1",""
"-300","2","","113511","1007001","-600","0","","1007001018","1.1",""
"","93","","1","1007001","","","","1007001019","",""
"","32","","11","1007001","1","","","1007001020","",""
"","91","","0","1007001","","","","1007001021","",""
"260","94","","113511","1007001","240","80","","1007001022","0",""
"","32","","11","1007001","0","","","1007001023","",""
"1","3","","113511","1007001","svd_run","","0.2","1007001024","",""
"1.2","7","","113511","1007001","0","","","1007001025","0",""
"-300","2","","113511","1007001","-250","0","","1007001026","1.2",""
"1","3","","113411","1007001","svd_run","","0.2","1007001027","",""
"1.2","7","","113411","1007001","0","","","1007001028","0",""
"-300","2","","113411","1007001","250","0","","1007001029","1.2",""
"1","6","0","113411","1007001","1","1","0.2","1007001030","1",""
"","93","","1.2","1007001","","","","1007001031","",""
"","91","","0","1007001","","","","1007001032","",""
"0","3","","113511","1007001","svd_kime_eriko","","0.2","1007001033","",""
"0","3","","113411","1007001","svd_kime_shizuru","","0.2","1007001034","",""
"","93","","1.4","1007001","","","","1007001035","",""
"","32","","14","1007001","1","","","1007001036","",""
"","32","","15","1007001","1","","","1007001037","",""
"","93","","0.6","1007001","","","","1007001038","",""
"1","3","","113411","1007001","svd_idle_joy1","","0.2","1007001039","",""
"1","3","","113511","1007001","svd_talk_wish","","0.2","1007001040","",""
"0","21","","vo_svd","1007001","vo_svd_0121","","","1007001041","0",""
"6","11","0","113511","1007001","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","0","0","1007001042","0","1"
"","91","","0","1007001","","","","1007001043","",""
"1","3","","113511","1007001","svd_idle_wish","","0.2","1007001044","",""
"1","3","","113411","1007001","svd_talk_joy1","","0.2","1007001045","",""
"0","21","","vo_svd","1007001","vo_svd_0122","","","1007001046","0",""
"8","11","0","113411","1007001","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","0","0","1007001047","0","1"
"","91","","0","1007001","","","","1007001048","",""
"1","3","","113411","1007001","svd_idle_joy1","","0.2","1007001049","",""
"1","3","","113511","1007001","svd_talk_thinking","","0.2","1007001050","",""
"0","21","","vo_svd","1007001","vo_svd_0123","","","1007001051","0",""
"6","11","0","113511","1007001","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","0","0","1007001052","0","1"
"","91","","0","1007001","","","","1007001053","",""
"1","3","","113511","1007001","svd_idle_thinking","","0.2","1007001054","",""
"0","3","0.2","113411","1007001","svd_surprise","1","0.2","1007001055","svd_talk_anger",""
"0","21","","vo_svd","1007001","vo_svd_0124","","","1007001056","0",""
"8","11","0","113411","1007001","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","0","0","1007001057","0","1"
"","93","","3","1007001","","","","1007001058","",""
"0","3","0.4","113411","1007001","svd_jump","1","0.2","1007001059","svd_talk_joy1",""
"","91","","1007001057","1007001","","","","1007001060","",""
"1","3","","113411","1007001","svd_idle_joy1","","0.2","1007001061","",""
"","102","","","1007001","","","","1007001062","",""
"","32","","14","1007001","0","","","1007001063","",""
"","32","","15","1007001","0","","","1007001064","",""
"","93","","1","1007001","","","","1007001065","",""
"1","12","0","113511","1007001","7","","0","1007001066","",""
"1","3","","113511","1007001","svd_talk_normal","","0.2","1007001067","",""
"","93","","3","1007001","","","","1007001068","",""
"1","3","","113511","1007001","svd_idle_normal","","0.2","1007001069","",""
"1","12","0","113411","1007001","10","","0","1007001070","",""
"1","3","","113411","1007001","svd_talk_normal","1","0.2","1007001071","",""
"","93","","3","1007001","","","","1007001072","",""
"1","3","","113411","1007001","svd_idle_normal","1","0.2","1007001073","",""
"1","12","0","113511","1007001","7","","0","1007001074","",""
"1","3","","113511","1007001","svd_talk_memory","","0.2","1007001075","",""
"","93","","3","1007001","","","","1007001076","",""
"1","3","","113511","1007001","svd_idle_memory","","0.2","1007001077","",""
"1","12","0","113411","1007001","10","","0","1007001078","",""
"1","3","","113411","1007001","svd_talk_memory","1","0.2","1007001079","",""
"","93","","3","1007001","","","","1007001080","",""
"1","3","","113411","1007001","svd_idle_memory","1","0.2","1007001081","",""
"","101","","1007001066","1007001","","","","1007001082","",""
"1","6","0","333","1007001","1","0","1","1007001083","1",""
"","4","","113511","1007001","1","","","1007001084","",""
"1","3","","113511","1007001","svd_run","","0.2","1007001085","",""
"-300","2","","113511","1007001","-750","0","","1007001086","0.8",""
"","4","","113411","1007001","0","","","1007001087","",""
"1","3","","113411","1007001","svd_run","","0.2","1007001088","",""
"-300","2","","113411","1007001","750","0","","1007001089","0.8",""
"","93","","0.6","1007001","","","","1007001090","",""
"1","6","0","113511","1007001","1","0","0.2","1007001091","1",""
"1","6","0","113411","1007001","1","0","0.2","1007001092","1",""
"","91","","0","1007001","","","","1007001093","",""
"100","5","0","2","1007002","113511","-300","2.08","1007002001","-650","svd_idle_normal"
"100","5","1","1","1007002","113411","-300","2.08","1007002002","650","svd_idle_normal"
"0","5","0","3","1007002","333","0","1","1007002003","0","svd_white_loop"
"1","6","0","333","1007002","1","0","0","1007002004","1",""
"1","6","0","113511","1007002","1","0","0","1007002005","1",""
"1","6","0","113411","1007002","1","0","0","1007002006","1",""
"","93","","1","1007002","","","","1007002007","",""
"1","6","0","333","1007002","1","0.4","0.8","1007002008","1",""
"1","3","","113511","1007002","svd_run","","0.2","1007002009","",""
"-300","2","","113511","1007002","-250","0","","1007002010","1.2",""
"1","6","0","113511","1007002","1","1","0.4","1007002011","1",""
"","93","","1.2","1007002","","","","1007002012","",""
"","91","","0","1007002","","","","1007002013","",""
