ac08fc9d13dba6c9a3901b36d0e22c6eac5ed611617afce16620840e3776feba,668e57216601c9e38b871918b0cc727219baa2460d0a2230b5e529291f93806f,5bd6378ca002080f0a2172635c29ff3bfd1136d670d66cd031c9b24547c5c071,73a1e71560b72f6e3f6c456c8260e630028c15ebda561fccbcc57006367127bf,639c6085b690ff17162026e7ef081bb3e7e8e70bfe456bbfca00e7b0f29eaf6f,821db0fe8fb5bec01f709c7cde8b9fc0a5d311d43a119a106df7aaba3983d06d,047c5235680d6943239836f2b9b1cdc3572c2d41034eb739e934d4da4df52c03,c5cfbbb3a60dc1f1dbec50017c2f309213a0b0c846024f30da3ffb34fc73350b
"-90","71","182","170","1","1","1","-401"
"-90","81","182","170","2","2","1","-401"
"90","121","182","255","3","3","1","-255"
"90","131","182","255","4","4","1","-255"
"90","141","182","255","5","5","1","-255"
"-80","191","176","229","6","6","1","-107"
"-80","201","176","229","7","7","1","-107"
"-85","271","151","218","8","8","1","136"
"-85","281","151","218","9","9","1","136"
"-85","291","151","218","10","10","1","136"
"80","331","219","156","11","11","1","280"
"80","341","219","156","12","12","1","280"
"80","351","219","156","13","13","1","280"
"-97","401","183","213","14","14","1","417"
"-97","411","183","213","15","15","1","417"
"-73","451","229","242","2","1","2","-259"
"124","481","179","226","4","2","2","-222"
"-67","501","192","219","6","3","2","-101"
"-27","521","190","168","8","4","2","-26"
"-50","551","260","192","11","5","2","117"
"120","601","138","159","14","6","2","241"
"120","611","138","159","14","7","2","241"
"-71","621","229","224","14","8","2","243"
"32","781","43","71","1","1","3","-353"
"-30","801","268","235","2","2","3","-228"
"144","831","45","80","3","3","3","-243"
"-76","851","225","221","4","4","3","20"
"-74","861","222","211","5","5","3","230"
"44","891","136","115","6","6","3","-100"
"44","901","136","115","7","7","3","-100"
"76","991","250","306","8","8","3","116"
"76","1001","250","306","9","9","3","116"
"76","1011","250","306","10","10","3","116"
"40","1041","188","96","11","11","3","322"
"40","1051","188","96","12","12","3","322"
"-6","1091","272","294","1","1","4","-211"
"129","1101","115","92","2","2","4","-288"
"129","1111","115","92","3","3","4","-288"
"128","1121","174","135","4","4","4","-58"
"133","1151","184","222","5","5","4","143"
"-129","1161","98","134","6","6","4","-277"
"-129","1171","98","134","7","7","4","-277"
"-12","1211","70","67","8","8","4","-60"
"-12","1221","70","67","9","9","4","-60"
"-55","1231","185","132","10","10","4","116"
"-103","1261","89","93","11","11","4","-17"
"-103","1271","89","93","12","12","4","-17"
"23","1311","239","150","13","13","4","232"
"-161","1391","72","114","1","1","5","-289"
"-161","1401","72","114","2","2","5","-289"
"80","1411","248","228","3","3","5","-261"
"-91","1431","211","223","4","4","5","-103"
"95","1471","181","186","5","5","5","-87"
"-122","1551","176","132","6","6","5","69"
"-122","1561","176","132","7","7","5","69"
"91","1611","184","143","8","8","5","54"
"45","1641","247","211","9","9","5","204"
"141","1651","167","137","10","10","5","308"
"-46","1661","174","175","11","11","5","282"
"-11","1741","240","222","1","1","6","-252"
"-96","1761","245","311","2","2","6","-19"
"95","1771","221","261","3","3","6","-46"
"83","1781","237","166","4","4","6","152"
"-100","1782","229","183","5","5","6","227"
"-46","1811","183","223","1","1","7","-249"
"54","1881","247","337","2","2","7","-159"
"-70","1921","191","202","3","3","7","30"
"0","1941","215","176","4","4","7","173"
"77","1981","236","204","5","5","7","292"
"89","2001","254","209","1","1","8","-472"
"-77","2031","282","250","2","2","8","-375"
"110","2051","223","241","3","3","8","-280"
"-85","2101","270","243","4","4","8","-148"
"74","2131","264","274","5","5","8","3"
"-36","2171","302","321","6","6","8","155"
"82","2201","277","199","7","7","8","283"
"0","2271","344","349","8","8","8","374"
"-30","2321","301","240","1","1","9","-275"
"-115","2361","108","106","2","2","9","-132"
"-115","2371","108","106","3","3","9","-132"
"32","2381","246","202","4","4","9","-73"
"-140","2411","84","114","5","5","9","-43"
"-140","2421","84","114","6","6","9","-43"
"65","2461","84","86","8","7","9","50"
"65","2471","84","86","9","8","9","50"
"-110","2481","137","185","10","9","9","80"
"-110","2491","137","185","11","10","9","80"
"24","2521","377","301","7","11","9","131"
"-50","2531","305","190","12","12","9","280"
"-137","2601","145","123","3","1","10","-527"
"-137","2611","145","123","4","2","10","-527"
"35","2621","295","408","1","3","10","-379"
"103","2622","192","171","2","4","10","-299"
"-64","2623","244","342","6","5","10","-138"
"9","2701","254","224","5","6","10","-47"
"-88","2781","204","253","8","7","10","131"
"23","2791","139","110","9","8","10","89"
"23","2801","139","110","10","9","10","89"
"42","2811","249","292","7","10","10","275"
"-120","2821","151","126","11","11","10","274"
"-120","2831","151","126","12","12","10","274"
"-17","2841","316","276","13","13","10","448"
"-87","2901","203","158","1","1","11","-292"
"123","3011","187","256","2","2","11","-224"
"-80","3031","225","144","3","3","11","-65"
"-84","3111","214","149","4","4","11","80"
"112","3131","194","201","5","5","11","227"
"-111","3141","111","161","6","6","11","159"
"-111","3151","111","161","7","7","11","159"
"-80","3171","209","166","8","8","11","307"
"-106","3211","206","364","3","1","12","-185"
"34","3221","277","160","1","2","12","-304"
"45","3231","275","249","2","3","12","-107"
"-46","3321","233","167","5","4","12","31"
"-122","3381","130","174","7","5","12","135"
"-122","3391","130","174","8","6","12","135"
"101","3431","223","244","4","7","12","127"
"-24","3441","246","235","6","8","12","254"
"-114","3461","156","167","9","9","12","303"
"-114","3471","156","167","10","10","12","303"
"152","3491","94","108","11","11","12","338"
"152","3501","94","108","12","12","12","338"
"-48","3531","270","210","3","1","13","-286"
"144","3541","103","92","2","2","13","-310"
"-90","3551","219","228","3","3","13","-152"
"99","3561","103","94","4","4","13","-148"
"-157","3571","71","110","5","5","13","-12"
"-2","3581","274","209","1","6","13","-5"
"-72","3691","292","219","6","7","13","141"
"143","3701","104","88","7","8","13","146"
"131","3741","135","160","8","9","13","299"
"131","3751","135","160","9","10","13","299"
"-82","3791","268","179","10","11","13","301"
"6","3801","286","197","2","1","14","-470"
