a538ed6b2d8dac501c7a6465659dc7801643b7beb9f74fca2476e23f37c96316,75d9094be475ac05b6a1b88a3a52271d6c02d328f47687e36106150607c34286,4c8569c89ebd1629411568c7403de1a4a963ea3dc015f9a51753a6cf434aa8c7,a847128b71912482c64b336d45b61e290a60f4bcbe2dcf5c71e978f236d79dc4,5a8bc77f59f494210e4c7bb04138771f0207646c95926eae710f6b0544117bd2
"1045","1025","1037","1048","1"
"1006","1003","1062","1004","2"
"1006","1003","1029","1007","3"
"1062","1047","1025","1045","4"
"1022","1043","1003","1013","5"
"1019","1006","1048","1004","6"
"1003","1062","1037","1033","7"
"1059","1056","1050","1053","8"
"1034","1001","1030","1011","9"
"1026","1063","1046","1023","10"
"1044","1020","1014","1038","11"
"1040","1017","1008","1049","12"
"1020","1023","1017","1044","13"
"1020","1017","1001","1038","14"
"1008","1030","1036","1048","15"
"1011","1044","1004","1038","16"
"1022","1043","1005","1011","17"
"1047","1046","1042","1016","18"
"1063","1014","1041","1028","19"
"1058","1052","1061","1055","20"
"1024","1025","1031","1001","21"
"1005","1024","1064","1063","22"
"1044","1040","1066","1000","23"
"1010","1000","1076","1038","24"
"1043","1003","1077","1019","25"
"1068","1070","1071","1069","26"
"1090","1092","1089","1091","27"
"1099","1098","1097","1100","28"
"1103","1102","1101","1104","29"
"1107","1106","1105","1108","30"
"1021","1012","1083","1006","31"
"1084","1087","1086","1085","32"
"1096","1094","1093","1095","33"
