eafe67edb5b3d0df7fca35a159c6b1011b8a7ff2541b0b410609a56f0049169b,63e12d9b9ca3e71c568e45aae7d7bb88e6f229fd659f7412e1db104aef4d26c0,54ab9336dc3698af7bc8b3785305c8479272270b4593c6a4958a0ee84b6798a5,e08d148e88578b646b7f82024ff11b371421183c4128123efe59a6e9b2d573e3,716273e34c9ca666f85e80e68ab2b8ca93d6429e0ec8a93e54058c13116d8176,91d88e9ba322d69244652db419c10cbe772d7b1712873509e124c1309427ddb6,0e10da44e524ea63563e7ea44120bf5977a588e4db57f704ece335b0073f9fe0,a1265d983a2c32101d95d2b7f452d4dce6aa74f187cd11ebb80752695ee2cd76,e0d00fa10770776d98f22a7e5a6f8c03a252fc7f33184869e7ac4567d2c8b26c,34934c59ce137c9d2e125d246eba5b25b59ebe7ed9bf8ee6bdedb44a36721ca1,d6535dad714bf3abed07ab2565c3387347b3bccb1b6cd5749c2a291e6889cf1c,e9afa76e7c2094d0d46b71f5b51a92488f53d96316abfab59fe6c2da1478c736,e67da82c04de9e54f95886194c16f6fb59cb5ffa6176af947c9549f2b0c8720d,9975ec6442de64fba24746345d3c57adaf51a5ce56406e154fcde53c52e0101e,cdd6372283382736109882091321e0e74dc5dacd179fafab5e11ce5b7a344288,0a847e30969452ad935289d7fbf465c3b1f8e79d397615e5bd9ccff9dd5903a1,a8573d2368ebf4dbc70eef160a95de6ca1531b9ae8a5fb56a586c1c1656d0ed8,48c94656aa978e5ae9e22e7f24ce7cfdd9ebf9efbc9ffc4d81bc8f07de849672
"5","22003","20","1","0","5","94002","2","12","8","2","0","150","1","0","150000","91002","20003"
"9","22003","15","2","0","2","94002","2","12","8","2","0","145","6","0","100000","91002","20003"
"19","22002","11","3","0","5","94002","2","12","8","2","0","140","10","0","80000","91002","20003"
"29","22002","10","4","0","5","94002","2","12","8","2","0","130","20","0","80000","91002","20003"
"39","22002","9","5","0","4","94002","2","12","8","2","0","120","30","0","70000","91002","20003"
"49","22002","8","6","0","4","94002","2","12","8","2","0","110","40","0","70000","91002","20003"
"99","22002","7","7","0","3","94002","2","12","8","2","0","100","50","0","60000","91002","20003"
"499","22002","2","8","0","2","94002","2","12","8","2","0","80","100","0","40000","91002","20003"
"999","22002","7","9","0","1","94002","2","12","8","2","0","50","500","0","20000","91002","20002"
"4999","22001","4","10","0","3","94002","2","12","8","2","0","20","1000","0","16000","91002","20002"
"9999","22001","3","11","0","2","94002","2","12","8","2","0","15","5000","0","9000","91002","20002"
"11999","22001","8","12","0","1","94002","2","12","8","2","0","10","10000","0","4000","91002","20001"
"13999","22001","7","13","0","1","94002","2","12","8","2","0","5","12000","0","3000","91002","20001"
"14999","22001","6","14","0","1","94002","2","12","8","2","0","4","14000","0","2000","91002","20001"
"30000","22001","5","15","0","1","94002","2","12","8","2","0","3","15000","0","1800","91002","20001"
