4fed60ec6af98c3f9f4265e5e0ddd168fa71555c7066a26c2d54547ca5816fdc,ff6a1c54a2a18d71b20b1a10c75a5228c70197b20ef8070f57d60cffdada8953,d9302908e28046e17a6a6d690e5169411bdbaa5bc593ac7a90e6dd438907068f,7ba3c6fdb8bc7587a5c30d60846c10fc9afba16638c63e07ec104e477c158c7e,aa8a72a02e71094c9b504ba9b855ed9cd92dbee4e8c34db613e4e301bfa2a6c8,85ba9e35bc7d4a2c9459bb619b518f3aed94f8fe1a27c3ca0dc6ffafd6e7b763,e5fc9734c7c3fe4e3ac3b9426b70abd8d4535a5cd6157933f68dea7509bc2838,4e9e859e267b428d203ccc2d784e2d74299267734d08a95a78bcdd4212d0eefb,4d6265a8249e69a9c9641bd35711755b9d0421f70649de0db2f78c6e954df53c,e6d7427e1098bf14229269e3a304aec244b13e2c5780b88b4e5baab42279b4a1,4a0057eb664fb488e977715de45f575c229d619ed53b53118d72d73e357abc1d,128757dba1475323c27db81a141ca410046b2613dc7a318088a6a0b296b796b3,71ce2f9c298b5ac9c688b8029d1a6cffe6f2ba10a74b2f336f417f99c3fa48a6,6c6b2e1599446dad401c9767d410116fb476e0837c955dd34731672ff18477d4,102cc67ecaa04abd853544761050adebc1087a3d4044a3fd0f7eaf7c837e8dd0
"20014","2015/04/01 15:00:00","601","1004110","8006","9001","0","99001001","1","99001001","1","0","アクダイカンを1体倒そう（NORMAL限定）","2030/04/01 14:59:59","660014101"
"20014","2015/04/01 15:00:00","601","1004111","8007","9001","0","99001002","1","99001002","1","0","アクダイカンを1体倒そう（HARD限定）","2030/04/01 14:59:59","660014201"
"20014","2015/04/01 15:00:00","601","1004112","8010","9001","0","99001003","1","99001003","1","0","アクダイカンを1体倒そう（VERY HARD限定）","2030/04/01 14:59:59","660014301"
"10041","2015/04/01 15:00:00","601","1004113","6011","9001","0","99001004","1","99001004","1","0","アクダイカンを1体倒そう（SPECIAL限定）","2030/04/01 14:59:59","610041401"
"10153","2015/04/01 15:00:00","601","1005310","6006","9001","0","99001005","1","99001005","1","0","ペテルギウスを1体倒そう（NORMAL限定）","2030/04/01 14:59:59","610153101"
"10153","2015/04/01 15:00:00","601","1005311","6007","9001","0","99001006","1","99001006","1","0","ペテルギウスを1体倒そう（HARD限定）","2030/04/01 14:59:59","610153201"
"10153","2015/04/01 15:00:00","601","1005312","6010","9001","0","99001007","1","99001007","1","0","ペテルギウスを1体倒そう（VERY HARD限定）","2030/04/01 14:59:59","610153301"
"10153","2015/04/01 15:00:00","601","1005313","6011","9001","0","99001008","1","99001008","1","0","ペテルギウスを1体倒そう（SPECIAL限定）","2030/04/01 14:59:59","610153401"
"20015","2015/04/01 15:00:00","601","1004310","8006","9001","0","99001009","1","99001009","1","0","雨神様を1体倒そう（NORMAL限定）","2030/04/01 14:59:59","660015101"
"20015","2015/04/01 15:00:00","601","1004311","8007","9001","0","99001010","1","99001010","1","0","雨神様を1体倒そう（HARD限定）","2030/04/01 14:59:59","660015201"
"20015","2015/04/01 15:00:00","601","1004312","8010","9001","0","99001011","1","99001011","1","0","雨神様を1体倒そう（VERY HARD限定）","2030/04/01 14:59:59","660015301"
"10043","2015/04/01 15:00:00","601","1004313","6011","9001","0","99001012","1","99001012","1","0","雨神様を1体倒そう（SPECIAL限定）","2030/04/01 14:59:59","610043401"
"20016","2015/04/01 15:00:00","601","1004510","8006","9001","0","99001017","1","99001017","1","0","マジムンを1体倒そう（NORMAL限定）","2030/04/01 14:59:59","660016101"
"20016","2015/04/01 15:00:00","601","1004511","8007","9001","0","99001018","1","99001018","1","0","マジムンを1体倒そう（HARD限定）","2030/04/01 14:59:59","660016201"
