ace00e2de3d2651647fea221082d8961bf95deaeebde8c0296bbc12ffadded33,912f6055f46ba0d56d311ae0d6e62cff132b02ecbb4c77125a134de720b8b9b0,1226081196c8d456e3a490979f44a07a6349abeb89e37f59ce14b2840635a72e,fa2c9d69535be87883ca04e07e844c3c1c6054bf7d9b3b8c607f4b008cfd310d,55d03ddc04a925743d03636ca867c3e2a351f6d14a80cd01d1374fc41224793c,02591ad366009b8082c4e8615a30636b4ffc03e41be06141791e53af3c4db437,ded6b66dac50f85eddccd80e6b2a0c4d3b1b86d6b91fc8a00aaaf93d214de518,b8a8831b82c1076f40046cb530c1ff491ee82fae06643a5a7b497644f209ed1a,5d0d7a01262937326c635a1ac866a9d1cf39832b24e54e40499b3797bda9b884
"1","2","3","6","2","3","1","2","100101"
"3","1","3","5","1","2","2","1","100201"
"1","2","2","7","1","3","3","3","100301"
"1","2","2","13","2","3","3","2","100401"
"2","3","3","18","2","1","2","2","100501"
"1","3","3","25","1","2","2","2","100601"
"3","1","3","26","2","2","2","3","100701"
"3","1","2","40","2","1","3","3","100801"
"1","3","2","34","1","3","2","3","100901"
"3","1","3","8","1","2","2","1","101001"
"2","1","3","56","3","2","2","2","101101"
"1","2","1","43","3","3","2","2","101201"
"1","3","3","33","1","1","3","2","101301"
"3","2","2","11","1","1","2","1","101401"
"3","1","2","42","1","2","3","1","101501"
"2","1","3","46","3","1","3","2","101601"
"1","2","3","10","3","1","2","2","101701"
"3","2","2","45","1","1","3","1","101801"
"2","2","3","12","2","3","1","1","102001"
"1","2","3","30","1","2","3","1","102101"
"1","2","1","24","3","2","3","1","102201"
"1","3","3","31","2","3","1","2","102301"
"3","1","2","29","3","1","2","1","102501"
"3","1","3","51","2","2","1","1","102601"
"2","1","1","36","2","3","3","3","102701"
"2","1","2","28","2","1","3","1","102801"
"2","1","3","52","2","2","2","1","102901"
"2","2","3","39","1","1","3","2","103001"
"3","1","2","27","2","3","1","3","103101"
"3","1","1","19","2","3","2","2","103201"
"2","2","3","48","1","3","1","2","103301"
"2","3","1","20","2","2","2","1","103401"
"3","3","1","14","2","1","2","3","103601"
"1","3","2","17","2","1","3","3","103701"
"3","3","2","49","1","2","1","3","103801"
"2","3","1","44","3","2","1","1","104001"
"3","2","2","53","2","1","2","3","104201"
"1","1","2","9","3","3","2","3","104301"
"3","2","2","23","1","3","1","3","104401"
"2","3","2","38","1","2","2","1","104501"
"3","1","2","21","3","2","1","2","104601"
"1","3","2","15","3","1","2","3","104701"
"1","2","1","22","3","2","3","3","104801"
"2","1","2","55","2","3","2","1","104901"
"2","2","3","47","3","1","2","1","105001"
"3","2","1","35","3","1","1","3","105101"
"2","1","3","50","2","2","2","2","105201"
"1","1","2","37","2","3","3","3","105301"
"2","1","3","54","3","2","1","2","105401"
"2","3","2","41","1","3","1","1","105501"
"1","1","3","32","3","2","2","3","105601"
"1","2","3","67","2","2","2","1","105701"
"2","1","3","1","2","2","2","2","105801"
"3","2","2","2","1","2","2","1","105901"
"2","3","2","3","3","1","1","3","106001"
"1","2","3","58","2","3","2","2","106101"
"1","2","3","68","2","3","1","1","106301"
"1","3","3","4","2","2","2","1","106401"
"1","3","3","61","2","1","2","3","106501"
"3","3","3","62","2","1","1","2","106601"
"2","2","2","60","1","1","2","3","106701"
"1","3","1","57","2","1","2","1","106801"
"3","2","1","59","1","2","1","3","107001"
"1","2","1","16","2","2","3","3","107101"
"2","2","2","70","1","2","2","1","109201"
"2","1","3","72","3","2","2","2","109301"
"1","2","2","71","3","1","3","3","109401"
"1","2","2","64","3","2","2","1","110801"
"2","1","2","65","2","1","3","2","110901"
"3","2","3","63","1","1","1","3","111001"
"2","3","2","69","3","2","1","2","111401"
"3","2","1","66","3","1","2","2","118001"
