0f5c3a008585809e9cbcb48d15780f7026421a5ebc00c265c16fcc115a171218,7302ba13f1d291c80c9b2288dab2bf2d4d3e4f56f6c90ba6f91506e54d30ee18,446cfdc80ed82a0aa3b6f387a70506ecc1ffc88290e789ba8bd11a16c10f2899,f4b6395613ed17a05b998f05817a6bb5532e15a5bfadd698b1e2456d6efdd543,eb77dc68490f83e17f4c2baa4fdab6facc1bf5e281aba445b204dcfa6a70970f,1517babe304edb25594427f1f419c2c5ed6223433f44a22ab0b052054aab5508,f173981dcf39fdd4b955bd2d7288c7733c02d6fa7d7c8db3be02b2ff5b528778,3e1f17468cdc5bb6ef984b0e0fed1bbf9191e296e61ca05a238fac276b6511be,a9d427432a331ae936a05a0a7b08dc8307fe2053a3865e765eb1fbb39e45c024,8e53c222f72c23360af647b87614a2cbc7f76524af9914c6e9db4f5e33033ec6,65264313e87bf66b2253f0ccc66721cf409557bdcc4249f3ed0991c6f17a0cb7
"0","1","0","1","0","10116111","10143105","207300","10116","0","イワアライグマの生態メモ①"
"0","1","0","2","0","10116112","0","207300","10116","0","イワアライグマの生態メモ②"
"0","1","0","3","0","10116113","0","207300","10116","0","イワアライグマの生態メモ③"
"0","1","0","4","0","10116114","0","207300","10116","0","イワアライグマの生態メモ④"
"91002","1","75","5","8","10116115","0","207300","10116","1","洗い物のお師匠さま"
"0","1","0","1","0","10116121","0","207000","10116","0","ワッパダヌキの生態メモ①"
"0","1","0","2","0","10116122","0","207000","10116","0","ワッパダヌキの生態メモ②"
"0","1","0","3","0","10116123","0","207000","10116","0","ワッパダヌキの生態メモ③"
"0","1","0","4","0","10116124","0","207000","10116","0","ワッパダヌキの生態メモ④"
"91002","1","75","5","8","10116125","0","207000","10116","1","小さな再会と一化かし"
"0","1","0","1","0","10116131","0","305700","10116","0","ゴブリングレートの生態メモ①"
"0","1","0","2","0","10116132","0","305700","10116","0","ゴブリングレートの生態メモ②"
"0","1","0","3","0","10116133","0","305700","10116","0","ゴブリングレートの生態メモ③"
"0","1","0","4","0","10116134","0","305700","10116","0","ゴブリングレートの生態メモ④"
"91002","1","75","5","8","10116135","0","305700","10116","1","学びはまず形から"
"0","2","0","1","0","10116211","10143105","206900","10116","0","スリーピィオウルの生態メモ①"
"0","2","0","2","0","10116212","0","206900","10116","0","スリーピィオウルの生態メモ②"
"0","2","0","3","0","10116213","0","206900","10116","0","スリーピィオウルの生態メモ③"
"0","2","0","4","0","10116214","0","206900","10116","0","スリーピィオウルの生態メモ④"
"91002","2","75","5","8","10116215","0","206900","10116","1","天にも昇る寝心地"
"0","2","0","1","0","10116221","0","304600","10116","0","ライライの生態メモ①"
"0","2","0","2","0","10116222","0","304600","10116","0","ライライの生態メモ②"
"0","2","0","3","0","10116223","0","304600","10116","0","ライライの生態メモ③"
"0","2","0","4","0","10116224","0","304600","10116","0","ライライの生態メモ④"
"91002","2","75","5","8","10116225","0","304600","10116","1","それぞれの在り方を大切に"
"0","2","0","1","0","10116231","0","215300","10116","0","ニャットの生態メモ①"
"0","2","0","2","0","10116232","0","215300","10116","0","ニャットの生態メモ②"
"0","2","0","3","0","10116233","0","215300","10116","0","ニャットの生態メモ③"
"0","2","0","4","0","10116234","0","215300","10116","0","ニャットの生態メモ④"
"91002","2","75","5","8","10116235","0","215300","10116","1","あなたが教えてくれたこと"
