1842bf49456ee9a5016eb873bd501716522460a290a57835c41b90911038e40b,b10c5180d11b2e1163b570dc226d86fea7ef579ddc99d15adf67ea0d35dcf95a,5095a1bfa5d9783d385fa2e04dae83254302aac7fb8ec18b61801670c5ddc0f4,7c0bddbbc20e97a9246f44e1e5ee9d6d12d427666ca61a673ddabdab1a57c826,3c3c21474c29d1df878ae9f1f780e547870bbdad1738ccfe0bab2a90cab8d15d,1aef07d9cfa455f2a4c9703db6b7951e647deaf1cf0aa1c38d3d93be458bdc0b,dd8773d76fcb476033c15791b45e13b8238f68d7b4b14c700bbfffda7f7dbae0,25e6f8fdfc6a863f7c55f102f20f133c4535205102824af468c8d0413f1b3d59,2c4f04e83b93453dfc94d328a273140e132605236cfd7f8398438d34210cb853,13037ff4ca3451ee5b079b69afdc5d5bf68414401bec3a38414333b817ce305d
"バグ","0","パグ","バク","0","2110001","0","0","ハグ","1"
"テクノロジー","0","手首","テクニック","0","2110003","0","0","テイク","1"
"なだれ","0","ゆきやけ","ふぶき","0","2110005","0","0","じひびき","1"
"磁石","0","大理石","化石","0","2110006","0","0","黒曜石","1"
"オーシャン","0","ミスト","リバー","0","2110007","0","0","ガルフ","1"
"アットマーク","0","カットマーク","ラットマーク","0","2110008","0","0","バットマーク","1"
"太陽の日があたる場所","0","建物の中の場所","太陽があたらない場所","0","2110010","0","0","いつもすずしい場所","1"
"アップデート","0","バレンタインデート","ダブルデート","0","2110011","0","0","ハッピーデート","1"
"ブリザード","0","バリケード","ブルドーザー","0","2110012","0","0","オブリガード","1"
"太陽","0","火星","月","0","2110014","0","0","地球","1"
"地平線","0","新幹線","放物線","0","2110016","0","0","電話線","1"
"黒歴史","0","青歴史","白歴史","0","2110018","0","0","赤歴史","1"
"しょうゆ","0","みそ","みりん","0","2110019","0","0","お酢","1"
"背中","0","顔","お腹","0","2110021","0","0","手のひら","1"
"鉄板","0","看板","ガラス板","0","2110022","0","0","ベニヤ板","1"
"ドレスコード","0","エンコード","プレスコード","0","2110023","0","0","バーコード","1"
"こけらおとし","0","まくおとし","だるまおとし","0","2110024","0","0","やくおとし","1"
"コイン","0","ライン","コイル","0","2110025","0","0","ライス","1"
"アパレル","0","パラソル","パラレル","0","2110026","0","0","ナチュラル","1"
"透かし","0","薄塗り","ぼかし","0","2110028","0","0","上塗り","1"
"目薬","0","胃薬","風邪薬","0","2110031","0","0","塗り薬","1"
"ぬか","0","石の上","のれん","0","2110032","0","0","馬の耳","1"
"金棒","0","豆腐","なみだ","0","2110034","0","0","カナブン","1"
"水","0","サイダー","レモネード","0","2110035","0","0","コーラ","1"
"三度","0","四度","一度","0","2110036","0","0","二度","1"
"たんこぶ","0","メガネ","髪の毛","0","2110037","0","0","手ぬぐい","1"
"闇","0","天国","光","0","2110038","0","0","極楽","1"
"ぼた餅","0","あんみつ","団子","0","2110039","0","0","ようかん","1"
"はち","0","あぶ","はえ","0","2110040","0","0","か","1"
"馬","0","猫","猿","0","2110041","0","0","羊","1"
"水","0","土","風","0","2110042","0","0","火","1"
"冷","0","水","寒","0","2110043","0","0","氷","1"
"朝","0","脇","韓","0","2110044","0","0","散","1"
"生姜","0","生卵","生麦","0","2110045","0","0","生米","1"
"宣誓","0","占星","先生","0","2110046","0","0","先制","1"
"起床","0","気性","気象","0","2110047","0","0","希少","1"
"不","0","未","非","0","2110049","0","0","無","1"
"非","0","未","不","0","2110050","0","0","無","1"
"無","0","未","不","0","2110051","0","0","非","1"
"未","0","無","不","0","2110052","0","0","非","1"
"三日坊主","0","有名無実","馬耳東風","0","2110053","0","0","一日千秋","1"
"たぬき","0","きつね","ねこ","0","2110054","0","0","いぬ","1"
"たび","0","あしのうら","くつひも","0","2110056","0","0","てぶくろ","1"
"百","0","万 ","十","0","2110058","0","0","千","1"
"十","0","七","九","0","2110060","0","0","八","1"
"ハッピーエンド","0","ハイテンション","ジャッジメント","0","2111001","0","0","アジテーション","1"
"どるるるる～ん★","0","夢はスーパースター☆☆★","ちぇる～ん☆","0","2111002","0","0","やばいですね★","1"
"尖った長い耳","0","二つの角を頭部に持つ","獣の耳と尻尾がある","0","2111003","0","0","最も人口が多い","1"
"カォン","0","キャォン","クォン","0","2111004","0","0","パォン","1"
"成長","0","教育","輝く","0","2111005","0","0","高価","1"
"銀","0","金","銅","0","2120002","0","0","鉄","1"
"レバー","0","モツ","ラバー","0","2120004","0","0","ハツ","1"
"トラウマ","0","ストレス","タケウマ","0","2120005","0","0","バシャウマ","1"
"時雨","0","雷雨","秒雨","0","2120006","0","0","分雨","1"
"鉄","0","金","銀","0","2120009","0","0","銅","1"
"大黒柱","0","大白柱","大赤柱","0","2120011","0","0","大青柱","1"
"電報","0","電灯","電車","0","2120012","0","0","電源","1"
"みりん","0","みそ","しょうゆ","0","2120013","0","0","お酢","1"
"でがらし","0","こいめ","ですぎ","0","2120014","0","0","しぶみ","1"
"かみて","0","じょうず","うわて","0","2120016","0","0","じょうしゅ","1"
"よせ","0","よるせき","よりせき","0","2120017","0","0","よせき","1"
"フリーウェイ","0","レールウェイ","ロングウェイ","0","2120018","0","0","フライアウェイ","1"
"かすがい","0","念仏","釘","0","2120021","0","0","腕押し","1"
"爪","0","尻","眉","0","2120022","0","0","鼻","1"
"論語","0","かすがい","小判","0","2120023","0","0","念仏","1"
"ひょうたん","0","巾着","とっくり","0","2120025","0","0","花瓶","1"
"雀","0","虎","馬","0","2120026","0","0","牛","1"
"一朝一夕","0","一兆一億","一鳥一石","0","2120027","0","0","一長一短","1"
"4つ","0","8つ","2つ","0","2120028","0","0","6つ","1"
"hello","0","harro","hallo","0","2120029","0","0","herro","1"
"優柔不断","0","日進月歩","不言実行","0","2120031","0","0","一進一退","1"
"金曜日","0","月曜日","木曜日","0","2120033","0","0","日曜日","1"
"水曜日","0","火曜日","金曜日","0","2120034","0","0","木曜日","1"
"ダイイングメッセージ","0","ダイビングメッセージ","ダビングメッセージ","0","2120035","0","0","ダンシングメッセージ","1"
"馬","0","獅子","牛","0","2120036","0","0","犬","1"
"トイレ","0","キッチン","川","0","2120037","0","0","クローゼット","1"
"かんがみる","0","こころみる","かんがえる","0","2120038","0","0","かいまみる","1"
"八百万","0","二百万","三百万","0","2120039","0","0","五百万","1"
"蛇","0","猪","熊","0","2120042","0","0","猿","1"
"一死","0","すべて正しい","瀕死","0","2120045","0","0","状態","1"
"不信","0","すべて正しい","人物","0","2120046","0","0","追跡","1"
"硬化","0","すべて正しい","紙幣","0","2120047","0","0","両替","1"
"きゅうしいっしょう","0","さんしゃさんよう","はちめんろっぴ","0","2120048","0","0","しぶんごれつ","1"
"せんざいいちぐう","0","いちもうだじん","ひゃっぱちひゃくちゅう","0","2120049","0","0","しめんそか","1"
"図る","0","測る","謀る","0","2120050","0","0","計る","1"
"就く","0","付く","着く","0","2120051","0","0","突く","1"
"青","0","白","赤","0","2120053","0","0","黒","1"
"五分","0","二分","三分","0","2120054","0","0","七分","1"
"敵同士","0","師弟","家族","0","2120055","0","0","カップル","1"
"タケノコ","0","アスパラ","マツタケ","0","2120056","0","0","シイタケ","1"
"金","0","命","女","0","2120057","0","0","仕事","1"
"真綿","0","糸","麻","0","2120058","0","0","髪の毛","1"
"眉","0","うなじ","耳","0","2120059","0","0","あご","1"
"亀","0","猫","鶴","0","2120060","0","0","犬","1"
"狐","0","兎","狸","0","2120061","0","0","猫","1"
"バイバイぼっち団","0","バイトばっかり団","ばたんきゅー冒険団","0","2121001","0","0","ぼくらの防衛団","1"
"ジ・オーダー・オブ・ゲヘナ・イモータルズ","0","ジ・オーダー・オブ・ハデス・イモータル","ザ・バタリオン・オブ・ハデス・イモータル","0","2121002","0","0","ザ・バタリオン・オブ・ゲヘナ・イモータルズ","1"
"絶対妻君","0","獰猛女君","誓約女君","0","2121003","0","0","聖夜女君","1"
"しっぷうのヘカーテ","0","しっぷうのダークプリンセス","しっぷうのめいひめ","0","2121004","0","0","しっぷうのめいひ","1"
"1000000","0","100000000","10000000","0","2121005","0","0","1000","1"
"薬指","0","中指","親指","0","2130004","0","0","小指","1"
"中指","0","人差し指","薬指","0","2130005","0","0","親指","1"
"人差し指","0","親指","中指","0","2130006","0","0","薬指","1"
"酒","0","米","肉","0","2130007","0","0","野菜","1"
"世間知らず","0","料理人","貧乏人","0","2130008","0","0","頑固者","1"
"床","0","尾","病","0","2130009","0","0","原","1"
"南","0","北","東","0","2130011","0","0","西","1"
"台所","0","納戸","トイレ","0","2130014","0","0","居間","1"
"九","0","八","七","0","2130015","0","0","六","1"
"三味線","0","ピアノ","琴","0","2130016","0","0","ギター","1"
"天衣無法","0","馬耳東風","再三再四","0","2130018","0","0","千変万化","1"
"格下","0","穀物","貢献","0","2130019","0","0","貴重","1"
"掛軸","0","木刀","貝殻","0","2130020","0","0","金券","1"
"羊頭苦肉","0","汚名返上","器用貧乏","0","2130021","0","0","無芸大食","1"
"秋","0","冬","春","0","2130022","0","0","夏","1"
"ハン","0","タン","ホン","0","2130023","0","0","チュウ","1"
"タン","0","コン","イツ","0","2130024","0","0","サン","1"
"シン","0","テン","イン","0","2130025","0","0","キン","1"
"木乃伊","0","乃伊木","伊乃木","0","2130026","0","0","木伊乃","1"
"ぬるまゆ","0","ねっとう","さらゆ","0","2130027","0","0","ちょうおんとう","1"
"自鳴琴","0","鉄琴","手風琴","0","2130028","0","0","口風琴","1"
"素描","0","寸描","点描","0","2130029","0","0","線描","1"
"用心しすぎ","0","平凡","大胆","0","2130030","0","0","不注意","1"
"囲碁","0","双六","将棋","0","2130031","0","0","麻雀","1"
"釣り","0","女性","賭け事","0","2130033","0","0","食事","1"
"鰯","0","鰹","鮪","0","2130034","0","0","鯵","1"
"良いときの邪魔者","0","災難続き","悪いときの助け船","0","2130035","0","0","突然のチャンス","1"
"蓮","0","百合","菊","0","2130036","0","0","薔薇","1"
"菊","0","松","桜","0","2130037","0","0","梅","1"
"いちる","0","いっぺん","いちまつ","0","2130039","0","0","いっき","1"
"サイコロ博打","0","指圧","タコ漁","0","2130041","0","0","生け花","1"
"クモ","0","ヤモリ","カマキリ","0","2130044","0","0","カエル","1"
"カラス","0","スズムシ","カエル","0","2130045","0","0","ネコ","1"
"江戸っ子","0","武士","盗人","0","2130046","0","0","居候","1"
"キジ","0","サギ","カラス","0","2130047","0","0","カモ","1"
"苔","0","芽","カビ","0","2130048","0","0","草","1"
"すいこう","0","すいさつ","ついかく","0","2130049","0","0","ずいし","1"
"翼","0","獅子","刀","0","2130050","0","0","車","1"
"味噌をつける","0","辛子をつける","塩をつける","0","2130052","0","0","酢をつける","1"
"筆まめ","0","筆あわ","筆むぎ","0","2130053","0","0","筆いね","1"
"ようやく","0","ことごとく","しばらく","0","2130054","0","0","あまねく","1"
"詩人","0","詩を書く","詩集","0","2130055","0","0","詩","1"
"いちじく","0","ざくろ","びわ","0","2130058","0","0","あけび","1"
"うど","0","つくし","わらび","0","2130059","0","0","ぜんまい","1"
"かきつばた","0","さるすべり","しょうぶ","0","2130061","0","0","おみなえし","1"
"エターナルアビス＝ディヴァイダー","0","エターナルアビス＝エアスラッシャー","ディープエターナル＝エアスラッシャー","0","2131001","0","0","ディープエターナル＝ディヴァイダー","1"
"ギアスアポクリフォ・タイラントコード","0","ギアスグリモワール・ナンバーオブサタン","アポカリプスコード・スリーシックス","0","2131002","0","0","アビステクノロジー・ヘルコード","1"
