39263402e7133b3a97ab160c3a75f790c18d4f3688c3f5b6a288ea2002b41fe8,9552aef433953d100768e30b1a375b02f8c26ecd939df89d1c536d3eacdf021c,9d0198055bfc607838f8c77fe6cac260da5b1140626e43b5bf13b1cbf03c58cc,e59fca5cd8dbe8043e0b938928747f57e50218da95269062fe2d5fb04d3eacea,fa976bc7d6c3305b0756dca04316a20109f3889666cf52feec41c39ee873e9e2,00cf1221b130f1c9b30e3fa2cb5977f6404bc957e6d5aa7f06336f67a793766e,1a2e74d0ab628ed4703281c32f34b4e842ea16391afbccaa30b417ddfa08c3bd,8dcc0661198b9d00a98bada70fcb661548a556b38e43f0f459fe0158b8887822,43a62c04ed1fa7199504b99aea58305c11bc3165bf1add74b3fb026bdce577e6,757d8faf6571cd6036bd546436193be8718e4906ca2b17abf25b05de3844acb6,b37ce5e7bbb273b908a87bcad9e58750e17ceda5145e3eeed07737a06d7f225b,d0e1eaf33d238eccf3e5c0e4af05442bedb0f992ad28ff67cb3fa404f2e23b6f,889cd0877b9394f4388806613ad0ade4b6414edb36b99fb18a2350ec43ef5624,c000c12d5be41a7a0485840d433f70d3702611b9722c27c444860b311ea6bfff,53006303f971adb83018125b5790b3fa96de0f9a4e036caf866207c9840083e3,4abf16763ef384e853ac7daad86a86867b75a19cde8ed55e96625673a46f9ff1,c596ad3c4948327e7dc0ce528638b3308e746192ea9e52c36b96f8a08aab558c,f0d0ef118a1c65fb8fce2552f740176324a60767777c519e48061403b577fdd8
"1","2","91002","30","12","300000","100","2","94002","150003","90005","3","4","3","8","20004","1001","8"
"2","4","91002","30","12","400000","150","2","94002","150004","90005","3","4","3","8","140001","1001","60"
"3","2","91002","30","12","500000","150","2","94002","150005","90005","3","4","3","8","20004","1001","10"
"4","4","91002","30","12","750000","200","2","94002","150006","90005","3","4","3","8","140001","1001","90"
"5","2","91002","30","12","1000000","200","2","94002","150007","90005","3","4","3","8","21951","1001","1"
"1","2","91002","30","12","300000","100","2","94002","150003","90005","3","4","3","8","20004","1002","8"
"2","4","91002","30","12","400000","150","2","94002","150004","90005","3","4","3","8","140001","1002","60"
"3","2","91002","30","12","500000","150","2","94002","150005","90005","3","4","3","8","20004","1002","10"
"4","4","91002","30","12","750000","200","2","94002","150006","90005","3","4","3","8","140001","1002","90"
"5","2","91002","30","12","1000000","200","2","94002","150007","90005","3","4","3","8","21951","1002","1"
"1","2","91002","100","12","300000","50","4","94002","150003","150004","3","4","100","8","20004","1003","8"
"2","4","91002","50","12","400000","100","2","94002","150005","90005","3","4","5","8","140001","1003","60"
"3","2","91002","50","0","0","100","12","0","150006","94002","3","4","500000","8","20004","1003","10"
"4","4","91002","50","12","750000","150","2","94002","150007","90005","3","4","10","8","140001","1003","90"
"5","2","91002","50","0","0","150","12","0","150008","94002","3","4","1000000","8","21951","1003","1"
"1","2","91002","100","12","300000","50","4","94002","150003","150004","3","4","100","8","20004","1004","8"
"2","4","91002","50","12","400000","100","2","94002","150005","90005","3","4","5","8","140001","1004","60"
"3","2","91002","50","0","0","100","12","0","150006","94002","3","4","500000","8","20004","1004","10"
"4","4","91002","50","12","750000","150","2","94002","150007","90005","3","4","10","8","140001","1004","90"
"5","2","91002","50","0","0","150","12","0","150008","94002","3","4","1000000","8","21951","1004","1"
"1","2","91002","100","12","300000","50","4","94002","150003","150004","3","4","100","8","20004","1005","8"
"2","4","91002","50","12","400000","100","2","94002","150005","90005","3","4","5","8","140001","1005","60"
"3","2","91002","50","0","0","100","12","0","150006","94002","3","4","500000","8","20004","1005","10"
"4","4","91002","50","12","750000","150","2","94002","150007","90005","3","4","10","8","140001","1005","90"
"5","2","91002","50","0","0","150","12","0","150008","94002","3","4","1000000","8","21951","1005","1"
"1","2","91002","100","12","300000","50","4","94002","150004","150005","3","4","100","8","20004","1006","8"
"2","4","91002","50","12","400000","100","2","94002","150006","90005","3","4","5","8","140001","1006","60"
"3","2","91002","50","0","0","100","12","0","150007","94002","3","4","500000","8","20004","1006","10"
"4","4","91002","50","12","750000","150","2","94002","150008","90005","3","4","10","8","140001","1006","90"
"5","2","91002","50","0","0","150","12","0","150009","94002","3","4","1000000","8","21951","1006","1"
"1","4","91002","100","12","300000","50","2","94002","150005","25015","3","4","5000","8","150004","1007","100"
"2","2","91002","50","12","400000","100","2","94002","150006","25013","3","4","5000","8","20004","1007","15"
"3","4","91002","50","12","500000","100","2","94002","150007","25014","3","4","5000","8","140001","1007","150"
"4","2","91002","50","12","750000","150","2","94002","150008","25012","3","4","5000","8","90005","1007","15"
"5","2","91002","50","12","1000000","150","2","94002","150009","25011","3","4","5000","8","21953","1007","1"
