98f148b10a1239fd7ecb6bb1ef1fc973dfff555d59e2ececb858ec07f3e922ae,59000996fe4f7c2544cfb1e55132e80b8cbd831c37844b96122da00828418a68,7200f5d9c0a25e9379dea0027eadac05c070f7fac0de37aabfe65b565cd733bb
"装備中","通常時","106101"
"特殊スキル","通常時","106701"
"権能解放中","通常時","106801"
"特殊スキル","通常時","106901"
"パターン変化中","通常時","114401"
"変身中","通常時","115801"
"特殊スキル","通常時","116401"
"特殊スキル","通常時","118201"
"特殊スキル","通常時","118501"
"特殊スキル","通常時","118601"
"初回発動時","通常時","120801"
"特殊スキル","通常時","122001"
"共闘中","通常時","122301"
"特殊スキル","通常時","122701"
"特殊スキル","通常時","123001"
"共闘中","通常時","125001"
"特殊スキル","通常時","125801"
"特殊スキル","通常時","126001"
"特殊スキル","通常時","126101"
"特殊スキル","通常時","126201"
"【フルチャージ】中","通常時","126401"
"特殊スキル","通常時","126501"
"特殊スキル","通常時","129001"
"特殊スキル","通常時","129301"
"特殊スキル","通常時","129401"
"初回発動時","通常時","129501"
"特殊スキル","通常時","129601"
"特殊スキル","通常時","129701"
"特殊スキル","通常時","130001"
"特殊スキル","通常時","130101"
"特殊スキル","通常時","131201"
"特殊スキル","通常時","131801"
"特殊スキル","通常時","132001"
"鬼化中","通常時","132101"
"初回発動時","通常時","132401"
"初回発動時","通常時","132901"
"特殊スキル","通常時","133101"
"召喚体スキル","通常時","133801"
"特殊スキル","通常時","134501"
"特殊スキル","通常時","134901"
"特殊スキル","通常時","135001"
"特殊スキル","通常時","135101"
"特殊効果","通常時","135201"
"特殊スキル","通常時","135601"
"初回発動時","通常時","135901"
"特殊スキル","通常時","136001"
"特殊スキル","通常時","136101"
"初回発動時","通常時","136401"
"特殊効果","通常時","136501"
"パターン変化後","通常時","137401"
"特殊スキル","通常時","181201"
