2469bbca4e4b0e410cb51779ee29c9c68d6049ec7c3fa04c9b74f2e2a71bdf15,caa9032344e510a19b2ba34f26bc4626e2744f8993c1a45c1e5ed94755b60fc9,67e8cc0d19c025a1b9ac8b3f1dab190fee98835a5ca234ef91ab0f2ee8291921,9b435fc4637edf3373b94e474ee173d9e7397ca3efdd2719eacd7a3a5fac8829
"2","1","190801","3"
"1","7","0","1"
"1","8","0","1"
"2","9","0","2"
"3","10","0","3"
"1","11","0","1"
"1","12","0","1"
"1","13","0","2"
"1","14","0","2"
"1","15","0","2"
"2","16","0","3"
"1","17","0","1"
"1","18","0","1"
"3","20","0","4"
"1","21","0","2"
"1","22","0","2"
"4","25","0","4"
"4","26","0","4"
"1","27","0","2"
"2","28","0","3"
"1","29","0","1"
"1","30","0","1"
"3","32","0","4"
"1","33","0","2"
"1","34","0","2"
"4","37","0","4"
"4","38","0","4"
"1","39","0","2"
"2","40","0","3"
"1","41","0","1"
"1","42","0","1"
"2","43","0","2"
"2","44","0","3"
"3","45","0","4"
"1","46","0","2"
"1","47","0","2"
"2","48","0","3"
"1","51","0","2"
"2","52","0","3"
"1","53","0","1"
"1","54","0","1"
"2","55","0","2"
"2","56","0","3"
"3","57","0","4"
"1","58","0","2"
"1","59","0","2"
"2","60","0","3"
"4","63","0","4"
"4","64","0","4"
"1","65","0","2"
"2","66","0","3"
"1","67","0","1"
"1","68","0","1"
"2","69","0","2"
"2","70","0","3"
"3","71","0","4"
"1","72","0","2"
"1","73","0","2"
"2","74","0","3"
"4","77","0","4"
"4","78","0","4"
"2","79","0","2"
"2","80","0","3"
"2","81","0","3"
"4","83","0","4"
"4","84","0","4"
"1","85","0","1"
"2","86","0","2"
"2","87","0","3"
"1","88","0","1"
"1","89","0","1"
"1","90","0","1"
"1","91","0","1"
"2","92","0","3"
"2","93","0","3"
"1","94","0","2"
"1","95","0","2"
"1","96","0","2"
"1","97","0","1"
"1","98","0","1"
"1","99","0","1"
"1","100","0","1"
"2","101","0","2"
"1","102","0","1"
"1","103","0","1"
"1","104","0","1"
"1","105","0","1"
"1","106","0","1"
"1","107","0","1"
"2","108","0","2"
"2","109","0","2"
"2","110","0","2"
"2","111","0","2"
"1","112","0","2"
"1","113","0","2"
"1","114","0","2"
"1","115","0","2"
"2","131","0","3"
"1","132","0","1"
"1","133","0","1"
"1","134","0","1"
"1","135","0","1"
"1","136","0","1"
"1","137","0","1"
"1","138","0","1"
"1","139","0","1"
"1","140","0","1"
"1","141","0","1"
"1","142","0","1"
"1","143","0","2"
"1","144","0","1"
"1","145","0","1"
"1","146","0","1"
"1","147","0","1"
"1","148","0","1"
"1","149","0","2"
"1","150","0","1"
"3","151","0","3"
"1","152","0","1"
"2","153","0","2"
"1","154","0","1"
"4","157","0","4"
"4","158","0","4"
"1","201","0","1"
"2","202","0","3"
"1","203","0","1"
"8","204","0","8"
"1","205","0","2"
"1","206","0","1"
"2","207","0","3"
"1","208","0","1"
"3","209","0","3"
"1","301","0","1"
"1","302","0","1"
"1","303","0","1"
"2","304","0","3"
"3","305","0","3"
"1","306","0","1"
"2","307","0","2"
"1","308","0","1"
"4","401","0","4"
"4","402","0","4"
"1","403","0","1"
"1","404","0","2"
"2","405","0","3"
"3","406","0","2"
"1","407","0","2"
"2","408","0","2"
"3","501","0","4"
"1","502","0","2"
"2","503","0","2"
"2","504","0","3"
"1","505","0","2"
"1","506","0","2"
"1","507","0","2"
"1","508","0","1"
"1","509","0","1"
"2","510","0","2"
"1","511","0","2"
"2","512","0","3"
"4","601","0","4"
"3","602","0","3"
"3","603","0","3"
"1","604","0","1"
"1","605","0","2"
"2","606","0","2"
"2","607","0","2"
"3","611","0","3"
"3","612","0","3"
"2","701","0","2"
"2","702","0","2"
"1","703","0","2"
"2","704","0","2"
"1","705","0","1"
"4","706","0","4"
"2","707","0","2"
"3","708","0","2"
"2","709","0","1"
"2","801","0","2"
"3","802","0","4"
"2","803","0","2"
"2","804","0","2"
"1","805","0","1"
"2","806","0","2"
"1","807","0","1"
"1","808","0","1"
"2","809","0","2"
"3","810","0","4"
"1","811","0","2"
"1","812","0","2"
"1","813","0","2"
"1","816","0","1"
"2","901","0","3"
"1","902","0","2"
"1","903","0","1"
"2","904","0","3"
"1","905","0","1"
"2","906","0","3"
"1","907","0","2"
"1","908","0","2"
"2","909","0","2"
"2","910","0","2"
"4","913","0","4"
"3","1001","0","3"
"2","1002","0","2"
"2","1003","0","2"
"2","1004","0","3"
"2","1005","0","3"
"1","1006","0","2"
"1","1007","0","2"
"3","1008","0","4"
"1","1009","0","2"
"1","1010","0","2"
"1","1011","0","1"
"1","1012","0","1"
"2","1013","0","3"
"2","1014","0","2"
"3","1015","0","4"
"1","1018","0","1"
"1","1019","0","1"
"4","1101","0","4"
"2","1102","0","2"
"3","1103","0","3"
"1","1104","0","1"
"1","1105","0","1"
"2","1106","0","2"
"2","1107","0","2"
"3","1108","0","6"
"1","1109","0","2"
"1","1113","0","1"
"3","1201","0","4"
"3","1202","0","3"
"1","1203","0","1"
"2","1204","0","3"
"1","1205","0","1"
"1","1206","0","1"
"1","1207","0","1"
"1","1208","0","1"
"1","1211","0","1"
"2","1301","0","3"
"2","1302","0","2"
"2","1303","0","2"
"1","1304","0","1"
"3","1305","0","4"
"1","1306","0","2"
"3","1401","0","3"
"1","1402","0","2"
"2","1403","0","3"
"1","1405","0","1"
"3","1501","0","4"
"1","1502","0","2"
"1","1503","0","2"
"1","1504","0","1"
"1","1505","0","1"
"1","1506","0","1"
"2","1507","0","2"
"2","1508","0","3"
"2","1509","0","3"
"1","1510","0","1"
"1","1511","0","2"
"2","1512","0","3"
"2","1513","0","3"
"2","1514","0","3"
"3","1601","0","4"
"1","1602","0","2"
"1","1603","0","1"
"1","1604","0","1"
"2","1605","0","2"
"2","1606","0","3"
"1","1607","0","2"
"1","1608","0","2"
"1","1609","0","2"
"2","1610","0","3"
"3","1701","0","3"
"2","1702","0","2"
"1","1703","0","1"
"1","1704","0","1"
"1","1705","0","1"
"1","1706","0","1"
"1","1707","0","1"
"2","1801","0","2"
"2","1802","0","2"
"2","1803","0","2"
"4","1902","0","4"
"3","1903","0","4"
"1","1905","0","2"
"1","1906","0","2"
"1","1907","0","2"
"1","1908","0","1"
"1","1909","0","1"
"2","1910","0","3"
"3","1911","0","3"
"2","1912","0","3"
"3","1913","0","3"
"3","2001","0","3"
"2","2002","0","2"
"1","2003","0","1"
"1","2004","0","1"
"2","2101","0","2"
"2","2102","0","2"
"2","2103","0","2"
"2","2201","0","2"
"2","2202","0","2"
"1","2203","0","1"
"6","2205","0","6"
"1","2206","0","1"
"2","2301","0","2"
"2","2302","0","2"
"2","2303","0","2"
"2","2304","0","2"
"4","2305","0","4"
"4","2306","0","4"
"1","2307","0","1"
"1","2308","0","1"
"2","2401","0","3"
"1","2402","0","1"
"2","2403","0","2"
"3","2404","0","3"
"3","2405","0","4"
"2","2501","0","2"
"2","2502","0","3"
"2","2503","0","2"
"2","2504","0","2"
"1","2505","0","1"
"3","2506","0","4"
"1","2507","0","2"
"6","2601","0","5"
"3","2602","0","3"
"1","2603","0","1"
"1","2604","0","1"
"2","2605","0","2"
"2","2606","0","2"
"2","2607","0","3"
"4","2608","0","4"
"2","2609","0","2"
"5","2701","0","5"
"3","2702","0","4"
"1","2703","0","2"
"1","2704","0","2"
"4","2705","0","4"
"4","2706","0","6"
"1","2801","0","1"
"1","2802","0","1"
"4","2803","0","4"
"4","2804","0","6"
"2","2805","0","2"
"3","2806","0","3"
"1","2807","0","1"
"2","2808","0","3"
"1","2809","0","1"
"1","2810","0","1"
"4","2811","0","4"
"1","2812","0","1"
"1","2813","0","1"
"1","2814","0","2"
"2","2815","0","2"
"2","2816","0","3"
"1","2817","0","1"
"4","2818","0","6"
"2","2819","0","2"
"2","2820","0","2"
"2","2821","0","2"
"3","2826","0","3"
"1","2827","0","1"
"4","2828","0","6"
"1","2829","0","2"
"1","2830","0","1"
"1","2831","0","1"
"1","2832","0","1"
"2","2833","0","2"
"2","2834","0","3"
"1","2835","0","1"
"3","2836","0","4"
"4","2838","0","3"
"2","2839","0","2"
"2","2840","0","2"
"1","2841","0","1"
"1","2842","0","1"
"2","2843","0","2"
"1","2844","0","1"
"1","2845","0","1"
"1","2846","0","1"
"2","2847","0","3"
"2","2848","0","2"
"3","2849","0","3"
