a5f9993127a80fc82ab34a438b8d05e8db1e663ac60abb3bd159e1360c8df119,afff72428ad80edc732bb704427b6ea68be11185093cfe7da956293edae4b164,34f8cba71d8a0a212d2977712167b8538971d814b8ec915dfa61c9f01a18e356,30de6564073c7e179343055715a284e8855a19d62a1c425867381324583f1918,47feb7ace0327f85f3d3460c8ba9c3abb4da462e6fc3be3133dff175063ca9de,b2e174a14df737b5af660703478d7fbe80a540a716e12cd7f6d51416625bcfdb,caa937701c9d8f2dcd76b6d5ebd66ccedca100dbaccc31f2071ad8e148d5d442,fc8ebd0a4936d85299297eeab309dd4f5d8d5a010206fa03c68ad5210b7a0a8a,61412e568b457c8161599becc3785f6f0dd2994522b1ff978d817db5d2879d37,c5793636f42dfebf4d8d5639da9e9efa33d143aa84df97f8d2d318e595e07ffb,eb74f27657ccdbd8fa2c3e334cbd9080530e1141516ce46b2921c3071c2015db,214ca6c51a4405aebb93c42c972905bbbe4ff5651de814d04f4e3aa8020cbd4a,9814d1a89321dba57f4c86102d135b2b7f1a614c556d001554ba73078d2de1b3
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか","130011","2","3001100","1","-416.5","100","ヤマト","2.1","3001"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか","130011","2","3001101","4","-416.5","101","ヤマト","5.68","3001"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。","130011","1","3001102","1","-416.5","102","ヤマト","0","3001"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？","130211","1","3002100","1","-416.5","100","フブキ","0","3002"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡","130211","1","3002101","1","-416.5","101","フブキ","0","3002"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ","130211","2","3002102","5","-416.5","102","フブキ","8.53","3002"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？","130211","1","3002103","7","-416.5","103","フブキ","5.67","3002"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？","130211","1","3002104","1","-416.5","104","フブキ","0","3002"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？","130211","3","3002300","3","-416.5","300","フブキ","0","3004"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡","130211","7","3002400","7","-416.5","301","フブキ","0","3005"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪","130211","1","3003200","2","-416.5","200","フブキ","4.4","3003"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ","130211","7","3003201","7","-416.5","201","フブキ","0","3003"
"0","2030/01/01 14:59:59","2024/10/31 12:00:00","お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪","130211","2","3003202","1","-416.5","202","フブキ","5.6","3003"
