889a2c6f1a24fc0535ece1d12028dd43b6df061d6142efd4759eacdabc4c3f98,cb60a9e2d979b24c2b435e379b6334baecfe9a0e6a4abc550335c7637e1d73c0,89c3aeefd95ee91d6d6fa57be1d3e6c5603f8e952c6e9854311fa9bd90280030,805df3802c911f109e11cd81a29a2598f6ce9415c6fbae6f7da2aa7e4388fd90,9347b004cbab360277bf918d7627068a1d941339f9e5cede567e2e2da0afd1af
"0","1","999","30","20"
"24","2","999","30","20"
"32","3","999","30","21"
"40","4","999","30","21"
"48","5","999","30","22"
"64","6","999","30","22"
"80","7","999","30","23"
"96","8","999","30","23"
"120","9","999","30","24"
"168","10","999","30","24"
"224","11","999","30","25"
"280","12","999","30","25"
"344","13","999","30","26"
"420","14","999","30","26"
"502","15","999","30","27"
"584","16","999","30","28"
"666","17","999","30","30"
"748","18","999","30","35"
"830","19","999","30","40"
"930","20","999","30","45"
"1040","21","999","30","50"
"1178","22","999","30","55"
"1316","23","999","30","60"
"1458","24","999","30","70"
"1604","25","999","30","80"
"1755","26","999","30","85"
"1910","27","999","30","85"
"2070","28","999","30","86"
"2235","29","999","30","87"
"2405","30","999","30","88"
"2579","31","999","30","89"
"2760","32","999","30","90"
"2945","33","999","30","91"
"3136","34","999","30","92"
"3333","35","999","30","93"
"3535","36","999","30","94"
"3744","37","999","30","95"
"3974","38","999","30","96"
"4226","39","999","30","97"
"4504","40","999","30","98"
"4810","41","999","30","99"
"5152","42","999","30","100"
"5535","43","999","30","101"
"5965","44","999","30","102"
"6446","45","999","30","103"
"7004","46","999","30","104"
"7651","47","999","30","105"
"8401","48","999","30","106"
"9272","49","999","30","107"
"10282","50","999","30","108"
"11454","51","999","30","109"
"12813","52","999","30","110"
"14389","53","999","30","111"
"16159","54","999","30","112"
"17929","55","999","30","113"
"19699","56","999","30","114"
"21469","57","999","30","115"
"23239","58","999","30","116"
"25009","59","999","30","117"
"26779","60","999","30","118"
"28549","61","999","30","119"
"30319","62","999","30","120"
"32089","63","999","30","121"
"33859","64","999","30","122"
"35629","65","999","30","123"
"38284","66","999","30","124"
"40939","67","999","30","125"
"43594","68","999","30","126"
"46249","69","999","30","127"
"48904","70","999","30","128"
"51559","71","999","30","129"
"54214","72","999","30","130"
"56869","73","999","30","131"
"59524","74","999","30","132"
"62179","75","999","30","133"
"64834","76","999","30","134"
"68374","77","999","30","135"
"71914","78","999","30","136"
"75454","79","999","30","137"
"78994","80","999","30","138"
"82534","81","999","30","139"
"86074","82","999","30","140"
"89614","83","999","30","141"
"93154","84","999","30","142"
"96694","85","999","30","143"
"100234","86","999","30","144"
"103774","87","999","30","145"
"107314","88","999","30","146"
"110854","89","999","30","147"
"114394","90","999","30","148"
"117934","91","999","30","149"
"121474","92","999","30","150"
"125014","93","999","30","151"
"128554","94","999","30","152"
"132094","95","999","30","153"
"135634","96","999","30","154"
"139174","97","999","30","155"
"142714","98","999","30","156"
"146254","99","999","30","157"
"149794","100","999","30","158"
"153334","101","999","30","159"
"157759","102","999","30","160"
"162184","103","999","30","161"
"166609","104","999","30","162"
"171034","105","999","30","163"
"175459","106","999","30","164"
"179884","107","999","30","165"
"184309","108","999","30","166"
"188734","109","999","30","167"
"193159","110","999","30","168"
"197584","111","999","30","169"
"202009","112","999","30","170"
"206434","113","999","30","171"
"210859","114","999","30","172"
"215284","115","999","30","173"
"219709","116","999","30","174"
"224134","117","999","30","175"
"228559","118","999","30","176"
"232984","119","999","30","177"
"237409","120","999","30","178"
"241834","121","999","30","179"
"246259","122","999","30","180"
"250684","123","999","30","181"
"255109","124","999","30","182"
"259534","125","999","30","183"
"263959","126","999","30","184"
"268384","127","999","30","185"
"272809","128","999","30","186"
"277234","129","999","30","187"
"281659","130","999","30","188"
"286084","131","999","30","189"
"290509","132","999","30","190"
"294934","133","999","30","191"
"299359","134","999","30","192"
"303784","135","999","30","193"
"308209","136","999","30","194"
"312634","137","999","30","195"
"317059","138","999","30","196"
"321484","139","999","30","197"
"325909","140","999","30","198"
"330334","141","999","30","199"
"334759","142","999","30","200"
"339184","143","999","30","201"
"343609","144","999","30","202"
"348034","145","999","30","203"
"352459","146","999","30","204"
"356884","147","999","30","205"
"361309","148","999","30","206"
"365734","149","999","30","207"
"370159","150","999","30","208"
"374584","151","999","30","209"
"379009","152","999","30","210"
"383434","153","999","30","211"
"387859","154","999","30","212"
"392284","155","999","30","213"
"396709","156","999","30","214"
"401134","157","999","30","215"
"405559","158","999","30","216"
"409984","159","999","30","217"
"414409","160","999","30","218"
"418834","161","999","30","219"
"423259","162","999","30","220"
"427684","163","999","30","221"
"432109","164","999","30","222"
"436534","165","999","30","223"
"440959","166","999","30","224"
"445384","167","999","30","225"
"449809","168","999","30","226"
"454234","169","999","30","227"
"458659","170","999","30","228"
"463084","171","999","30","229"
"467509","172","999","30","230"
"471934","173","999","30","231"
"476359","174","999","30","232"
"480784","175","999","30","233"
"485209","176","999","30","234"
"489634","177","999","30","235"
"494059","178","999","30","236"
"498484","179","999","30","237"
"502909","180","999","30","238"
"507334","181","999","30","239"
"511759","182","999","30","240"
"516184","183","999","30","241"
"520609","184","999","30","242"
"525034","185","999","30","243"
"529459","186","999","30","244"
"533884","187","999","30","245"
"538309","188","999","30","246"
"542734","189","999","30","247"
"547159","190","999","30","248"
"551584","191","999","30","249"
"556009","192","999","30","250"
"560434","193","999","30","251"
"564859","194","999","30","252"
"569284","195","999","30","253"
"573709","196","999","30","254"
"578134","197","999","30","255"
"582559","198","999","30","256"
"586984","199","999","30","257"
"591409","200","999","30","258"
"595834","201","999","30","259"
"600259","202","999","30","260"
"604684","203","999","30","261"
"609109","204","999","30","262"
"613534","205","999","30","263"
"617959","206","999","30","264"
"622384","207","999","30","265"
"626809","208","999","30","266"
"631234","209","999","30","267"
"635659","210","999","30","268"
"640084","211","999","30","269"
"644509","212","999","30","270"
"648934","213","999","30","271"
"653359","214","999","30","272"
"657784","215","999","30","273"
"662209","216","999","30","274"
"666634","217","999","30","275"
"671059","218","999","30","276"
"675484","219","999","30","277"
"679909","220","999","30","278"
"684334","221","999","30","279"
"688759","222","999","30","280"
"693184","223","999","30","281"
"697609","224","999","30","282"
"702034","225","999","30","283"
"706459","226","999","30","284"
"710884","227","999","30","285"
"715309","228","999","30","286"
"719734","229","999","30","287"
"724159","230","999","30","288"
"728584","231","999","30","289"
"733009","232","999","30","290"
"737434","233","999","30","291"
"741859","234","999","30","292"
"746284","235","999","30","293"
"750709","236","999","30","294"
"755134","237","999","30","295"
"759559","238","999","30","296"
"763984","239","999","30","297"
"768409","240","999","30","298"
"772834","241","999","30","299"
"777259","242","999","30","300"
"781684","243","999","30","301"
"786109","244","999","30","302"
"790534","245","999","30","303"
"794959","246","999","30","304"
"799384","247","999","30","305"
"803809","248","999","30","306"
"808234","249","999","30","307"
"812659","250","999","30","308"
"817084","251","999","30","309"
"821509","252","999","30","310"
"825934","253","999","30","311"
"830359","254","999","30","312"
"834784","255","999","30","313"
"839209","256","999","30","314"
"843634","257","999","30","315"
"848059","258","999","30","316"
"852484","259","999","30","317"
"856909","260","999","30","318"
"861334","261","999","30","319"
"865759","262","999","30","320"
"870184","263","999","30","321"
"874609","264","999","30","322"
"879034","265","999","30","323"
"883459","266","999","30","324"
"887884","267","999","30","325"
"892309","268","999","30","326"
"896734","269","999","30","327"
"901159","270","999","30","328"
"905584","271","999","30","329"
"910009","272","999","30","330"
"914434","273","999","30","331"
"918859","274","999","30","332"
"923284","275","999","30","333"
"927709","276","999","30","334"
"932134","277","999","30","335"
"936559","278","999","30","336"
"940984","279","999","30","337"
"945409","280","999","30","338"
"949834","281","999","30","339"
"954259","282","999","30","340"
"958684","283","999","30","341"
"963109","284","999","30","342"
"967534","285","999","30","343"
"971959","286","999","30","344"
"976384","287","999","30","345"
"980809","288","999","30","346"
"985234","289","999","30","347"
"989659","290","999","30","348"
"994084","291","999","30","349"
"998509","292","999","30","350"
"1002934","293","999","30","351"
"1007359","294","999","30","352"
"1011784","295","999","30","353"
"1016209","296","999","30","354"
"1020634","297","999","30","355"
"1025059","298","999","30","356"
"1029484","299","999","30","357"
"1033909","300","999","30","358"
"1038334","301","999","30","359"
"1042759","302","999","30","360"
"1047184","303","999","30","361"
"1051609","304","999","30","362"
"1056034","305","999","30","363"
"1060459","306","999","30","364"
"1064884","307","999","30","365"
"1069309","308","999","30","366"
"1073734","309","999","30","367"
"1078159","310","999","30","368"
"1082584","311","999","30","369"
"1087009","312","999","30","370"
"1091434","313","999","30","371"
"1095859","314","999","30","372"
"1100284","315","999","30","373"
"1104709","316","999","30","374"
"1109134","317","999","30","375"
"1113559","318","999","30","376"
"1117984","319","999","30","377"
"1122409","320","999","30","378"
"1126834","321","999","30","379"
"1131259","322","999","30","380"
"1135684","323","999","30","381"
"1140109","324","999","30","382"
"1144534","325","999","30","383"
"1148959","326","999","30","384"
"1153384","327","999","30","385"
"1157809","328","999","30","386"
"1162234","329","999","30","387"
"1166659","330","999","30","388"
"1171084","331","999","30","389"
"1175509","332","999","30","390"
